"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0072001","renal system development","79/1333","395/25730",0.2,3.86046511627907,13.3916183703547,1.5285163221866e-25,8.39002609248227e-22,5.57988905825594e-22,"Hmgcs2/Cyp26b1/Col4a4/Col4a3/Erbb4/Gpc3/Gcnt1/Bmp4/Bicc1/Fbn1/Nkx3-1/Nid1/Pdgfra/Lrp4/Spry1/Hs3st3a1/Cys1/Ptch1/Frem2/Gsta3/Tns2/Klf15/Pdgfrb/Smad9/Hs3st3b1/Ace/Podxl/Cd34/Akr1b1/Egr1/Slc22a1/Pecam1/Id3/Zbtb16/Hdac5/Robo2/Klhl3/Aqp1/Tek/Pgf/Pkhd1/Il6ra/Epha7/Shh/Dchs1/Nrp1/Fgf2/Fgf10/Prickle1/Mme/Arg2/Tcf21/Prdm1/Abcc2/Magi2/Osr2/Aqp11/Enpep/Ret/Tiparp/Acvr2b/Foxf1/Sfrp1/Ednrb/Plxnd1/Ednra/Mef2c/Aldh1a2/Eya1/Wnt2b/Pdgfd/Gli2/Gimap6/Ren1/Ren2/Sox17/Heyl/Acta2/Anks6",79
"GO:0001822","kidney development","76/1333","382/25730",0.198952879581152,3.84025325703154,13.0729985755605,1.82769327218516e-24,5.01610418551218e-21,3.33602119365165e-21,"Hmgcs2/Cyp26b1/Col4a4/Col4a3/Erbb4/Gpc3/Gcnt1/Bmp4/Bicc1/Fbn1/Nkx3-1/Nid1/Pdgfra/Lrp4/Spry1/Hs3st3a1/Cys1/Ptch1/Frem2/Gsta3/Tns2/Klf15/Pdgfrb/Smad9/Hs3st3b1/Ace/Podxl/Cd34/Akr1b1/Egr1/Slc22a1/Pecam1/Id3/Zbtb16/Robo2/Klhl3/Aqp1/Tek/Pgf/Pkhd1/Il6ra/Epha7/Shh/Dchs1/Nrp1/Fgf2/Fgf10/Mme/Arg2/Tcf21/Prdm1/Abcc2/Magi2/Osr2/Aqp11/Enpep/Ret/Tiparp/Acvr2b/Sfrp1/Ednrb/Plxnd1/Ednra/Mef2c/Aldh1a2/Eya1/Wnt2b/Pdgfd/Gli2/Gimap6/Ren1/Ren2/Sox17/Heyl/Acta2/Anks6",76
"GO:0030198","extracellular matrix organization","63/1333","323/25730",0.195046439628483,3.76484988120095,11.6883831235449,5.0773623176184e-20,6.46894114018581e-17,4.30224810849726e-17,"Pmp22/Col4a4/Col4a3/Lama2/Vit/Crispld2/Egfl6/Loxl4/Nid1/Pdgfra/Tnxb/Lama1/Col27a1/Col3a1/Axin2/Col6a1/Tgfbr3/Col6a5/Csgalnact1/Col1a2/Adamts5/Apbb1/Efemp2/Lcp1/Dpp4/Dpt/Ddr2/Adamdec1/Plod1/Adamtsl1/Lox/Col5a2/Ero1b/Creb3l1/Flrt2/Fkbp10/Mfap4/Emilin1/Prickle1/Fbln5/Sfrp2/Ecm2/Reck/Aebp1/Col1a1/Col5a1/Egflam/Tie1/Col5a3/Adamts4/Foxf1/Abi3bp/Myh11/Eln/Il6/Aplp1/Optc/Adamts8/Col6a6/Col11a2/Eng/Adamts2/Angptl7",63
"GO:0061138","morphogenesis of a branching epithelium","53/1333","235/25730",0.225531914893617,4.35329045027214,12.0707959978441,5.42095032019338e-20,6.46894114018581e-17,4.30224810849726e-17,"Egf/Gpc3/Bmp4/Flt1/Igf1/Nkx3-1/Pdgfra/Lama1/Spry1/Hs3st3a1/Cxcl12/Ptch1/Hhip/Etv4/Gdf7/Fzd5/Hs3st3b1/Kdr/Mgp/Llgl2/Tek/Pgf/Pkhd1/Adm/Etv5/Dll4/Shh/Dchs1/Rspo3/Nrp1/Fgf2/Fgf10/Pgr/Sfrp2/Tcf21/Nfatc4/Notch4/Tie1/Foxf1/Sfrp1/Plxnd1/Ednra/Csmd1/Wnt2/Eya1/Wnt2b/Il6/Gli2/Hhex/Rasip1/Ccl11/Eng/Il10",53
"GO:0045229","external encapsulating structure organization","63/1333","324/25730",0.194444444444444,3.75322997416021,11.657492973355,5.99412934623597e-20,6.46894114018581e-17,4.30224810849726e-17,"Pmp22/Col4a4/Col4a3/Lama2/Vit/Crispld2/Egfl6/Loxl4/Nid1/Pdgfra/Tnxb/Lama1/Col27a1/Col3a1/Axin2/Col6a1/Tgfbr3/Col6a5/Csgalnact1/Col1a2/Adamts5/Apbb1/Efemp2/Lcp1/Dpp4/Dpt/Ddr2/Adamdec1/Plod1/Adamtsl1/Lox/Col5a2/Ero1b/Creb3l1/Flrt2/Fkbp10/Mfap4/Emilin1/Prickle1/Fbln5/Sfrp2/Ecm2/Reck/Aebp1/Col1a1/Col5a1/Egflam/Tie1/Col5a3/Adamts4/Foxf1/Abi3bp/Myh11/Eln/Il6/Aplp1/Optc/Adamts8/Col6a6/Col11a2/Eng/Adamts2/Angptl7",63
"GO:0043062","extracellular structure organization","63/1333","325/25730",0.193846153846154,3.74168157423971,11.6267252360178,7.07116903645744e-20,6.46894114018581e-17,4.30224810849726e-17,"Pmp22/Col4a4/Col4a3/Lama2/Vit/Crispld2/Egfl6/Loxl4/Nid1/Pdgfra/Tnxb/Lama1/Col27a1/Col3a1/Axin2/Col6a1/Tgfbr3/Col6a5/Csgalnact1/Col1a2/Adamts5/Apbb1/Efemp2/Lcp1/Dpp4/Dpt/Ddr2/Adamdec1/Plod1/Adamtsl1/Lox/Col5a2/Ero1b/Creb3l1/Flrt2/Fkbp10/Mfap4/Emilin1/Prickle1/Fbln5/Sfrp2/Ecm2/Reck/Aebp1/Col1a1/Col5a1/Egflam/Tie1/Col5a3/Adamts4/Foxf1/Abi3bp/Myh11/Eln/Il6/Aplp1/Optc/Adamts8/Col6a6/Col11a2/Eng/Adamts2/Angptl7",63
"GO:0001763","morphogenesis of a branching structure","55/1333","255/25730",0.215686274509804,4.16324669402645,11.8660007593536,9.73420665265277e-20,7.63300861663015e-17,5.07642536412027e-17,"Egf/Gpc3/Bmp4/Flt1/Igf1/Nkx3-1/Pdgfra/Lama1/Spry1/Hs3st3a1/Cxcl12/Ptch1/Hhip/Etv4/Gdf7/Fzd5/Hs3st3b1/Kdr/Mgp/Llgl2/Tek/Pgf/Pkhd1/Adm/Etv5/Epha7/Dll4/Shh/Dchs1/Rspo3/Nrp1/Fgf2/Fgf10/Pgr/Sfrp2/Tcf21/Prdm1/Nfatc4/Notch4/Tie1/Foxf1/Sfrp1/Plxnd1/Ednra/Csmd1/Wnt2/Eya1/Wnt2b/Il6/Gli2/Hhex/Rasip1/Ccl11/Eng/Il10",55
"GO:0060562","epithelial tube morphogenesis","71/1333","407/25730",0.174447174447174,3.36723615793383,11.2522540239956,1.52506469333213e-19,1.0463850127125e-16,6.95911099536291e-17,"Egf/Gpc3/Bmp4/Flt1/Smarca1/Igf1/Nkx3-1/Pdgfra/Lama1/Spry1/Hs3st3a1/Cxcl12/Cecr2/Dlc1/Ptch1/Hhip/Pthlh/Etv4/Gdf7/Hs3st3b1/Stard13/Kdr/Mgp/Podxl/Acvrl1/Hdac5/Klhl3/Zeb2/Tek/Pgf/Pkhd1/Adm/Etv5/Epha7/Dll4/Shh/Stox1/Dchs1/Mmrn2/Arl13b/Nrp1/Fgf2/Fgf10/Prickle1/Pgr/Sfrp2/Tcf21/Shank3/Nfatc4/Ret/Notch4/Tie1/Ntn1/Foxf1/Sfrp1/Plxnd1/Ednra/Csmd1/Mef2c/Aldh1a2/Nodal/Wnt2/Eya1/Wnt2b/Gli2/Hhex/Bmp5/Sox17/Rasip1/Ccl11/Eng",71
"GO:0048754","branching morphogenesis of an epithelial tube","46/1333","197/25730",0.233502538071066,4.50714201392988,11.5503157745698,3.64349650107398e-18,2.22212803271056e-15,1.4778533176286e-15,"Egf/Gpc3/Bmp4/Flt1/Igf1/Nkx3-1/Pdgfra/Lama1/Spry1/Hs3st3a1/Cxcl12/Ptch1/Hhip/Etv4/Gdf7/Hs3st3b1/Kdr/Mgp/Tek/Pgf/Pkhd1/Etv5/Dll4/Shh/Dchs1/Nrp1/Fgf2/Fgf10/Pgr/Sfrp2/Tcf21/Nfatc4/Notch4/Tie1/Foxf1/Plxnd1/Ednra/Csmd1/Wnt2/Eya1/Wnt2b/Gli2/Hhex/Rasip1/Ccl11/Eng",46
"GO:0050678","regulation of epithelial cell proliferation","70/1333","431/25730",0.162412993039443,3.13494847029623,10.4479881145966,1.47790369825e-17,8.11221339969425e-15,5.39512634266421e-15,"Col4a3/Egf/Erbb4/Gpc3/Jcad/Bmp4/Flt1/Zeb1/Irs2/Igf1/Nkx3-1/Twist2/Atoh8/Cxcl12/Ptch1/Itpr1/Klf9/Tgfbr3/Etv4/Tgfb3/Kdr/Erbb3/Tgm1/Acvrl1/Zfp36/Gata2/Ptprm/Tek/Pgf/Pkhd1/Dll4/Igf2/Shh/Nr4a1/Mmrn2/Isl1/Fgf2/Fgf10/Nr1d1/Pgr/Sfrp2/Ceacam2/Foxp2/Osr2/Aqp11/Lims2/Errfi1/Tie1/Ghrl/Ptprn/Egfl7/Ppp1r16b/Sfrp1/Ednrb/Ednra/Plxnb3/Mef2c/Aldh1a2/Nlrc3/Nodal/Wnt2/Eya1/Il6/Gli2/Prkd1/Bmp5/Eaf2/Ccl11/Eng/Il10",70
