"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","chromosome segregation","105/1138","438/25730",0.23972602739726,5.42016756145124,20.0710392944097,1.69272159514741e-47,8.89355926090451e-44,6.77445000500049e-44,"Mki67/Nusap1/Ncapd2/Nuf2/Kif23/Aspm/Racgap1/Knstrn/Dlgap5/Ncapg/Aurkb/Kif4/Prc1/Ube2c/Cdc20/Kif11/Gpsm2/Brip1/Kif22/Ncaph/Plk1/Incenp/Ccnb2/Kif14/Tubb5/Tacc3/Fam83d/Diaph3/Ndc80/Smc2/Kif15/Ran/Birc5/Cdca8/Chek2/Smc4/Ncapg2/Actl6a/Pttg1/Ska1/Nek6/Sgo2a/Cenpf/Cit/Cenpi/Mis18a/Mad2l1/Ttk/Nek2/Spc25/Bub3/Cenpn/Spag5/Kif18b/Cenpe/Top2a/Pinx1/Cenpk/Spc24/Aurka/Spdl1/Nup43/Tpx2/Espl1/Mad1l1/Trip13/Kifc1/Cdc6/Haspin/Cdca2/Kif18a/Tubg1/Cenpm/Knl1/Chtf18/Aaas/Rcc1/Ccne2/Zwilch/Sgo1/Gen1/Ccnb1ip1/Cenph/Hjurp/Bub1b/Ect2/Bub1/Rad18/Cdk1/Dsn1/Cenps/Kif2c/Cdt1/Pmf1/Ccne1/Fbxo5/Ccnb1/Ppp2r2c/Kifc5b/Fancd2/Uhrf1/Misp/Brca1/Kntc1/Cenpw",105
"GO:0000280","nuclear division","104/1138","467/25730",0.222698072805139,5.03516820147296,18.9305521465851,7.30587830156999e-44,1.91925422982244e-40,1.46194470013521e-40,"Mki67/Chek1/Nusap1/Ncapd2/Nuf2/Kif23/Aspm/Racgap1/Camk2b/Knstrn/Gja1/Ncapg/Aurkb/Kif4/Prc1/Ube2c/Cdc20/Kif11/Brip1/Kif22/Ncaph/Plk1/Incenp/Ccnb2/Msx2/Kif14/Ndc80/Mastl/Smc2/Kif15/Cks2/Ran/Birc5/Cdca8/Chek2/Smc4/Ncapg2/Pttg1/Ska1/Sgo2a/Cit/Cenpi/Mad2l1/Fanca/Lif/Ttk/Nek2/Spc25/Bub3/Spag5/Kif18b/Cenpe/Top2a/Pinx1/Cenpk/Fgfr3/Tnf/Spc24/Aurka/Spdl1/Tpx2/Ranbp1/Espl1/Mad1l1/Trip13/Kifc1/Haspin/Cdca2/Kif18a/Tubg1/Hspa2/Knl1/Chtf18/Aaas/Mybl1/Rcc1/Ccne2/Zwilch/Rad51ap1/Sgo1/Gen1/Ankle1/Ccnb1ip1/Bub1b/Btc/Bub1/Cdc25b/Cdk1/Cenps/Kif2c/Cdt1/Il1a/Rad51/Ccne1/Fbxo5/Ccnb1/Kifc5b/Fancd2/Uhrf1/Rad54b/Misp/Cdkn1c/Kntc1/Fignl1",104
"GO:0098813","nuclear chromosome segregation","86/1138","326/25730",0.263803680981595,5.96455950057684,19.405468290532,1.65993839139325e-42,2.90710543612671e-39,2.21441605757092e-39,"Nusap1/Ncapd2/Nuf2/Kif23/Aspm/Racgap1/Knstrn/Ncapg/Aurkb/Kif4/Prc1/Ube2c/Cdc20/Kif11/Brip1/Kif22/Ncaph/Plk1/Incenp/Ccnb2/Kif14/Tacc3/Fam83d/Ndc80/Smc2/Kif15/Ran/Birc5/Cdca8/Chek2/Smc4/Ncapg2/Actl6a/Pttg1/Ska1/Nek6/Cenpf/Cit/Cenpi/Mad2l1/Ttk/Nek2/Spc25/Bub3/Spag5/Kif18b/Cenpe/Top2a/Pinx1/Cenpk/Spc24/Aurka/Spdl1/Tpx2/Espl1/Mad1l1/Trip13/Kifc1/Cdc6/Haspin/Kif18a/Tubg1/Knl1/Aaas/Rcc1/Ccne2/Zwilch/Sgo1/Gen1/Ccnb1ip1/Bub1b/Ect2/Bub1/Cdk1/Dsn1/Kif2c/Cdt1/Pmf1/Ccne1/Fbxo5/Ccnb1/Kifc5b/Fancd2/Uhrf1/Misp/Kntc1",86
"GO:0000070","mitotic sister chromatid segregation","66/1138","189/25730",0.349206349206349,7.89550032080788,20.4674338761466,2.85877024926063e-41,3.75499472240384e-38,2.8602748651813e-38,"Nusap1/Ncapd2/Nuf2/Kif23/Racgap1/Knstrn/Ncapg/Aurkb/Kif4/Prc1/Ube2c/Cdc20/Kif11/Kif22/Ncaph/Plk1/Incenp/Kif14/Ndc80/Smc2/Kif15/Ran/Birc5/Cdca8/Chek2/Smc4/Ncapg2/Ska1/Cit/Cenpi/Mad2l1/Ttk/Nek2/Spc25/Bub3/Spag5/Kif18b/Cenpe/Pinx1/Cenpk/Spc24/Spdl1/Tpx2/Espl1/Mad1l1/Trip13/Kifc1/Haspin/Kif18a/Tubg1/Knl1/Aaas/Rcc1/Zwilch/Gen1/Bub1b/Bub1/Cdk1/Kif2c/Cdt1/Fbxo5/Ccnb1/Kifc5b/Uhrf1/Misp/Kntc1",66
"GO:0000819","sister chromatid segregation","71/1138","229/25730",0.310043668122271,7.01003829594554,19.6517863671845,2.33775067935292e-40,2.45650841386405e-37,1.87118485955785e-37,"Nusap1/Ncapd2/Nuf2/Kif23/Racgap1/Knstrn/Ncapg/Aurkb/Kif4/Prc1/Ube2c/Cdc20/Kif11/Kif22/Ncaph/Plk1/Incenp/Kif14/Tacc3/Ndc80/Smc2/Kif15/Ran/Birc5/Cdca8/Chek2/Smc4/Ncapg2/Actl6a/Ska1/Nek6/Cit/Cenpi/Mad2l1/Ttk/Nek2/Spc25/Bub3/Spag5/Kif18b/Cenpe/Top2a/Pinx1/Cenpk/Spc24/Spdl1/Tpx2/Espl1/Mad1l1/Trip13/Kifc1/Cdc6/Haspin/Kif18a/Tubg1/Knl1/Aaas/Rcc1/Zwilch/Gen1/Bub1b/Bub1/Cdk1/Kif2c/Cdt1/Fbxo5/Ccnb1/Kifc5b/Uhrf1/Misp/Kntc1",71
"GO:0140014","mitotic nuclear division","76/1138","281/25730",0.270462633451957,6.11511736267035,18.5463760451065,1.76409450550579e-38,1.54475875532124e-35,1.17668198419878e-35,"Mki67/Chek1/Nusap1/Ncapd2/Nuf2/Kif23/Racgap1/Knstrn/Ncapg/Aurkb/Kif4/Prc1/Ube2c/Cdc20/Kif11/Kif22/Ncaph/Plk1/Incenp/Kif14/Ndc80/Smc2/Kif15/Ran/Birc5/Cdca8/Chek2/Smc4/Ncapg2/Ska1/Cit/Cenpi/Mad2l1/Ttk/Nek2/Spc25/Bub3/Spag5/Kif18b/Cenpe/Pinx1/Cenpk/Fgfr3/Tnf/Spc24/Aurka/Spdl1/Tpx2/Ranbp1/Espl1/Mad1l1/Trip13/Kifc1/Haspin/Cdca2/Kif18a/Tubg1/Knl1/Aaas/Rcc1/Zwilch/Gen1/Bub1b/Btc/Bub1/Cdk1/Kif2c/Cdt1/Il1a/Fbxo5/Ccnb1/Kifc5b/Uhrf1/Misp/Cdkn1c/Kntc1",76
"GO:0044772","mitotic cell cycle phase transition","91/1138","453/25730",0.200883002207506,4.54193290579887,16.3610934941945,1.14117418762589e-34,8.56532740255203e-32,6.52442746068215e-32,"Chek1/Anxa1/Nuf2/Ccna2/Iqgap3/Camk2b/Gpnmb/Abcg2/Aurkb/Foxm1/Ube2c/Cdc20/Plk1/Incenp/Ccnb2/Ak1/Kif14/Cdc25c/Rrm2/Tacc3/E2f7/Myb/Ndc80/Mastl/Cks2/Adamts1/Birc5/Tfdp1/Cdk4/Cdca8/Rrm1/Chek2/Rbl1/Pole/Cdc7/Actl6a/E2f3/Ska1/Nek6/Cenpf/Ezh2/Id4/Cit/Rnaseh2b/Lmnb1/Tcf19/Mad2l1/Psme2/Ttk/Spc25/Bub3/Cenpe/Pinx1/Cdkn2c/Spc24/Spdl1/Mad1l1/Trip13/Bard1/Cdc6/Clspn/Haspin/Pkmyt1/Hspa2/Knl1/Dtl/Tjp3/Rcc1/Ccne2/Cks1b/Zwilch/Inip/Gen1/E2f1/Bub1b/Bub1/Cdc25b/Cdk1/Muc1/Skp2/Hacd1/Ccnf/Miip/Ccne1/Fbxo5/Ccnb1/Brca1/Blm/Cdkn1c/Kntc1/Fbxl15",91
"GO:0090068","positive regulation of cell cycle process","67/1138","277/25730",0.24187725631769,5.46880650707746,16.0859830206827,7.92384518513129e-31,5.20398532533498e-28,3.96400781498279e-28,"Chek1/Anxa1/Nusap1/Ncapd2/Kif23/Racgap1/Camk2b/Gja1/Ncapg/Aurkb/Ube2c/Cdc20/Gpsm2/Ncaph/E2f8/Incenp/Kif20b/Plcg2/Msx2/Kif14/Cdc25c/Rrm2/Fam83d/E2f7/Ndc80/Smc2/Adamts1/Birc5/Tfdp1/Cdk4/Cdca8/Gipc1/Rrm1/Chek2/Smc4/Ncapg2/Fen1/Cdc7/Ska1/Sgo2a/Ezh2/Cit/Lmnb1/Mad2l1/Spag5/Cenpe/Tnf/Sox15/Ranbp1/Mad1l1/Cdc6/Hspa2/Knl1/Dtl/Ccne2/Rad51ap1/Gen1/Ect2/Btc/Bub1/Cdc25b/Rad18/Cdk1/Il1a/Ccne1/Fbxo5/Ccnb1",67
"GO:0045787","positive regulation of cell cycle","74/1138","357/25730",0.207282913165266,4.68663388026564,15.0891184476209,2.86286478413093e-29,1.67127684175821e-26,1.27305402447553e-26,"Chek1/Smoc2/Anxa1/Nusap1/Ncapd2/Kif23/Racgap1/Camk2b/Gja1/Ncapg/Aurkb/Ube2c/Cdc20/Gpsm2/Ncaph/E2f8/Incenp/Kif20b/Plcg2/Msx2/Kif14/Cdc25c/Rrm2/Fam83d/E2f7/Nupr1/Ndc80/Smc2/Adamts1/Birc5/Tfdp1/Cdk4/Cdca8/Gipc1/Rrm1/Chek2/Smc4/Ncapg2/Fen1/Cdc7/Ska1/Sgo2a/Ezh2/Cit/Lmnb1/Mad2l1/Lgmn/Psmd10/Spag5/Cenpe/Tnf/Aurka/Sox15/Ranbp1/Mad1l1/Bard1/Cdc6/Hspa2/Knl1/Dtl/Ccne2/Rad51ap1/Gen1/Ect2/Btc/Bub1/Cdc25b/Rad18/Cdk1/Il1a/Ccne1/Fbxo5/Ccnb1/Brca1",74
"GO:1901987","regulation of cell cycle phase transition","83/1138","458/25730",0.181222707423581,4.09741675044704,14.3879272964538,2.16833914064539e-28,1.13924538449509e-25,8.67792148708819e-26,"Chek1/Anxa1/Nuf2/Gpnmb/Aurkb/Tcim/Ube2c/Cdc20/Plk1/Incenp/Plcg2/Ak1/Kif14/Cdc25c/Rrm2/Fam83d/E2f7/Ndc80/Adamts1/Birc5/Tfdp1/Cdk4/Cdca8/Rrm1/Chek2/H2ax/Rbl1/Cdc7/Actl6a/Ska1/Nek6/Cenpf/Ezh2/Rnaseh2b/Lmnb1/Mad2l1/Psme2/Ttk/Spc25/Bub3/Cenpe/Pinx1/Lyn/Cdkn2c/Spc24/Spdl1/Dtx3l/Mad1l1/Trip13/Bard1/Cdc6/Clspn/Haspin/Pkmyt1/Hspa2/Knl1/Dtl/Parp9/Tjp3/Ccne2/Zwilch/Inip/Gen1/Timeless/E2f1/Dna2/Bub1b/Bub1/Cdc25b/Cdk1/Muc1/Cdt1/Hacd1/Miip/Rad51/Ccne1/Fbxo5/Ccnb1/Fancd2/Brca1/Blm/Cdkn1c/Kntc1",83
