"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031012","extracellular matrix","40/460","478/25856",0.0836820083682008,4.70365653993087,10.9997923017704,5.46189193798516e-16,1.22737703750599e-13,9.54074458304253e-14,"Col4a3/Tgm2/Pmp22/Col4a4/Prelp/Spon2/Mamdc2/Ogn/Vwa2/Adamtsl1/Vcan/Col23a1/Lamc3/Fbln2/Tinagl1/Fcgbpl1/Egfl6/Lama2/Frem2/Tgm4/Lama1/Shh/Ccbe1/Wnt6/Plod1/Crispld2/Sned1/Reln/Igf1/Fgf1/Igf2/Col27a1/Angptl4/Slit2/Vit/Col6a5/Fmod/Coch/Svep1/Tnn",40
"GO:0030312","external encapsulating structure","40/460","480/25856",0.0833333333333333,4.68405797101449,10.9648834320718,6.29424121797945e-16,1.22737703750599e-13,9.54074458304253e-14,"Col4a3/Tgm2/Pmp22/Col4a4/Prelp/Spon2/Mamdc2/Ogn/Vwa2/Adamtsl1/Vcan/Col23a1/Lamc3/Fbln2/Tinagl1/Fcgbpl1/Egfl6/Lama2/Frem2/Tgm4/Lama1/Shh/Ccbe1/Wnt6/Plod1/Crispld2/Sned1/Reln/Igf1/Fgf1/Igf2/Col27a1/Angptl4/Slit2/Vit/Col6a5/Fmod/Coch/Svep1/Tnn",40
"GO:0045211","postsynaptic membrane","31/460","417/25856",0.0743405275779376,4.17858408925034,8.8068427657955,2.4986184203838e-11,3.24820394649893e-09,2.52491966691415e-09,"Tenm2/Kcnk2/Mdga2/Cacna2d1/Slc6a4/Kcnma1/Grid2/Shank1/Adam22/Magee1/Apbb1/Olfm1/Syt1/Dgki/Akap5/Epha7/Grik4/Erbb4/Grik5/Dagla/Adgrl3/Robo2/Lrrc7/Magi2/Pcdh10/Adcy1/Glrb/Ntrk3/Gnao1/Fbxo2/Atp2b2",31
"GO:0014069","postsynaptic density","31/460","491/25856",0.0631364562118126,3.54881785176658,7.67415630732407,1.40680901212909e-09,1.37163878682586e-07,1.06621314603468e-07,"Kcnk2/Mdga2/Camk2n1/Lrp4/Dst/Ablim1/Grid2/Shank1/Adam22/Apbb1/Olfm1/Syt1/Dgki/Akap5/Epha7/Grik4/Erbb4/Grik5/Brsk1/Dagla/Mapk10/Robo2/Lrrc7/Magi2/Adcy1/Pcdh7/Homer2/Cpeb1/Dlgap3/Opcml/Atp2b2",31
"GO:0098839","postsynaptic density membrane","15/460","164/25856",0.0914634146341463,5.14103923647932,7.15979916769921,2.65169758712282e-07,2.0683241179558e-05,1.60776611598184e-05,"Kcnk2/Mdga2/Grid2/Adam22/Olfm1/Dgki/Epha7/Grik4/Erbb4/Grik5/Dagla/Robo2/Lrrc7/Adcy1/Atp2b2",15
"GO:0150034","distal axon","24/460","433/25856",0.0554272517321016,3.11549352344613,5.9746267256103,1.09770961712706e-06,7.13511251132588e-05,5.5463222760104e-05,"Tenm2/Kcnk2/Cplx2/Kcnma1/Dpysl3/Brsk2/Apbb1/Unc13c/Olfm1/Rapgef3/Dgki/Pgr/Tspoap1/Palld/Grik4/Penk/Grik5/Brsk1/Syt7/Kcnip3/Cpeb1/Kif5c/Slc2a13/Tnn",24
"GO:0043197","dendritic spine","17/460","237/25856",0.0717299578059072,4.03184736745551,6.31057521835993,1.36167004463451e-06,7.58644739153513e-05,5.89715748653743e-05,"Tenm2/Slc1a3/Lama2/Grid2/Shank1/Apbb1/Dgki/Pgr/Akap5/Cttnbp2/Dagla/Atp1a2/Lrrc7/Dlgap3/Fbxo2/Opcml/Atp2b2",17
"GO:0044309","neuron spine","17/460","242/25856",0.0702479338842975,3.94854473589651,6.20219232816453,1.81286537933357e-06,8.83771872425117e-05,6.86980564800091e-05,"Tenm2/Slc1a3/Lama2/Grid2/Shank1/Apbb1/Dgki/Pgr/Akap5/Cttnbp2/Dagla/Atp1a2/Lrrc7/Dlgap3/Fbxo2/Opcml/Atp2b2",17
"GO:0098686","hippocampal mossy fiber to CA3 synapse","9/460","70/25856",0.128571428571429,7.22683229813665,7.02089903971259,4.10852402146901e-06,0.000161816442525244,0.000125784441153226,"Shh/Akap7/Syt1/Epha7/Grik4/Grik5/Syt7/Sh3gl2/Adcy1",9
"GO:0099634","postsynaptic specialization membrane","15/460","205/25856",0.0731707317073171,4.11283138918346,6.02211306391863,4.4469985649553e-06,0.000161816442525244,0.000125784441153226,"Kcnk2/Mdga2/Grid2/Adam22/Olfm1/Dgki/Epha7/Grik4/Erbb4/Grik5/Dagla/Robo2/Lrrc7/Adcy1/Atp2b2",15
