"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-MMU-2299718","Condensation of Prophase Chromosomes","33/433","77/8895",0.428571428571429,8.80402507423293,15.5573266928498,1.27660201709264e-23,5.45109061298558e-21,4.71670850525807e-21,"319185/319189/319178/319148/319172/319149/319153/319164/319181/260423/319170/319150/319187/319184/319152/319166/319165/319157/319169/319183/319191/326620/319173/97908/319180/319159/18817/319168/319160/15270/320332/14211/319167",33
"R-MMU-9909649","Regulation of PD-L1(CD274) transcription","31/433","70/8895",0.442857142857143,9.09749257670736,15.3850255478997,8.79975425880018e-23,1.87874753425384e-20,1.62563881307309e-20,"319185/319189/319178/319148/319172/319149/319153/319164/319181/260423/319170/319150/319187/319184/319152/319166/319165/319157/319169/319183/319191/326620/319173/97908/319180/319159/319168/319160/15270/320332/319167",31
"R-MMU-9841922","MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis","31/433","73/8895",0.424657534246575,8.72362301876048,14.9883895447352,4.16491149706034e-22,5.92805736414922e-20,5.12941731743221e-20,"319185/319189/319178/319148/319172/319149/319153/319164/319181/260423/319170/319150/319187/319184/319152/319166/319165/319157/319169/319183/319191/326620/319173/97908/319180/319159/319168/319160/15270/320332/319167",31
"R-MMU-606279","Deposition of new CENPA-containing nucleosomes at the centromere","31/433","78/8895",0.397435897435897,8.16441641499378,14.3755245758853,4.57589484694618e-21,4.88476774911505e-19,4.22668181915292e-19,"319185/319189/319178/319172/319164/319181/319170/319187/319184/319166/319165/319157/319169/319183/319191/326620/319173/319180/319159/319168/12615/319160/15270/102920/320332/66570/72155/26886/217653/319167/69928",31
"R-MMU-212300","PRC2 methylates histones and DNA","31/433","80/8895",0.3875,7.96030600461894,14.1454956300296,1.12360780332684e-20,9.59561064041122e-19,8.30287029405728e-19,"319185/319189/319178/319148/319172/319149/319153/319164/319181/260423/319170/319150/319187/319184/319152/319166/319165/319157/319169/319183/319191/326620/319173/97908/319180/319159/319168/319160/15270/320332/319167",31
"R-MMU-8936459","RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function","31/433","81/8895",0.382716049382716,7.86203062184586,14.0334560337975,1.74003308876402e-20,1.23832354817039e-18,1.07149405992311e-18,"319185/319189/319178/319148/319172/319149/319153/319164/319181/260423/319170/319150/319187/319184/319152/319166/319165/319157/319169/319183/319191/326620/319173/97908/319180/319159/319168/319160/15270/320332/319167",31
"R-MMU-9764725","Negative Regulation of CDH1 Gene Transcription","31/433","82/8895",0.378048780487805,7.76615219962823,13.9233199810792,2.67440872464841e-20,1.63138932203553e-18,1.41160520654375e-18,"319185/319189/319178/319148/319172/319149/319153/319164/319181/260423/319170/319150/319187/319184/319152/319166/319165/319157/319169/319183/319191/326620/319173/97908/319180/319159/319168/319160/15270/320332/319167",31
"R-MMU-9940951","Interaction of NuRD complexes with transcription factors","31/433","91/8895",0.340659340659341,6.99807121285181,13.0091313035561,9.45010796089105e-19,5.0439951241256e-17,4.36445775562205e-17,"319185/319189/319178/319148/319172/319149/319153/319164/319181/260423/319170/319150/319187/319184/319152/319166/319165/319157/319169/319183/319191/326620/319173/97908/319180/319159/319168/319160/15270/320332/319167",31
"R-MMU-110330","Recognition and association of DNA glycosylase with site containing an affected purine","25/433","59/8895",0.423728813559322,8.70454456491956,13.4307765590014,5.06177127695338e-18,2.40152926139899e-16,2.07799031369665e-16,"319185/319189/319178/319172/319164/319181/319170/319187/319184/319166/319165/319157/319169/319183/319191/326620/319173/319180/319159/319168/319160/15270/320332/234258/319167",25
"R-MMU-110331","Cleavage of the damaged purine","25/433","61/8895",0.409836065573771,8.41914966115171,13.152137850521,1.34298683532828e-17,5.73455378685174e-16,4.96198293894974e-16,"319185/319189/319178/319172/319164/319181/319170/319187/319184/319166/319165/319157/319169/319183/319191/326620/319173/319180/319159/319168/319160/15270/320332/234258/319167",25
"R-MMU-9670095","Inhibition of DNA recombination at telomere","24/433","61/8895",0.39344262295082,8.08238367470564,12.5551431975761,1.87899036679997e-16,7.29389896930534e-15,6.31124994016066e-15,"319185/319189/319178/319172/319164/319181/319170/319187/319184/319166/319165/319157/319169/319183/319191/326620/319173/319180/319159/319168/319160/15270/320332/319167",24
"R-MMU-2559586","DNA Damage/Telomere Stress Induced Senescence","25/433","70/8895",0.357142857142857,7.33668756186077,12.0395417599664,6.55585989097861e-16,2.33279347787322e-14,2.01851475590657e-14,"319185/319189/319178/319172/319164/319181/319170/319187/319184/319166/319165/319157/319169/12428/319183/319191/326620/319173/319180/319159/319168/319160/15270/320332/319167",25
"R-MMU-9843940","Regulation of endogenous retroelements by KRAB-ZFP proteins","31/433","120/8895",0.258333333333333,5.30687066974596,10.744467369869,6.36705317756898e-15,2.09133208217074e-13,1.8095835346775e-13,"319185/319189/319178/319148/319172/319149/319153/319164/319181/260423/319170/319150/319187/319184/319152/319166/319165/319157/319169/319183/319191/326620/319173/97908/319180/319159/319168/319160/15270/320332/319167",31
"R-MMU-3214858","RMTs methylate histone arginines","22/433","70/8895",0.314285714285714,6.45628505443748,10.3667998659998,7.68930697243732e-13,2.34523862659338e-11,2.02928326866579e-11,"319148/319172/319149/319153/319164/260423/319170/319150/319152/319166/319165/319157/319169/319191/326620/319173/97908/319159/319168/319160/320332/319167",22
"R-MMU-5693607","Processing of DNA double-strand break ends","23/433","91/8895",0.252747252747253,5.1921173514707,9.0922236715607,3.53445275675376e-11,1.0061408847559e-09,8.70591521137243e-10,"319185/319189/319178/12649/319181/319187/319184/319157/12428/319183/326620/26909/319180/319159/237911/319160/15270/19891/320332/327762/21853/12144/269582",23
"R-MMU-3214847","HATs acetylate histones","20/433","71/8895",0.28169014084507,5.78668314738314,9.15982350001613,8.15883090764818e-11,2.17738799847861e-09,1.88404582143718e-09,"319185/319189/319178/319148/319149/319153/319181/260423/319150/319187/319184/319152/319157/319183/326620/97908/319180/319159/319160/320332",20
