"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Regulation of endogenous retroelements by KRAB-ZFP proteins",1.28249544342859e-12,8.99029305843442e-10,0.910119734774459,0.833118480802014,2.31745647759577,103,"319173;319150;319148;319178;260423;319185;319172;319165;319157;319181;319169;319149;319189;319184;319153;319166;319170;326620;319183;319164;319187;319191;97908;319180;319152;319167;666532;68024;319160;320332;15270;319168;319159;319161;319176;319154;319158"
"Interaction of NuRD complexes with transcription factors",1.27544934937607e-10,4.47044996956312e-08,0.826657301178302,0.848910624765025,2.26624522191564,81,"319173;319150;319148;319178;260423;319185;319172;319165;319157;319181;319169;319149;319189;319184;319153;319166;319170;326620;319183;319164;319187;319191;97908;319180;319152;319167;68024;319160;320332;15270;319168;319159;15182;319161;319176;319154;319158;13445;319179;69386;234366;360198;622675;319156;15078;328977"
"MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis",2.57885394008399e-10,6.02592203999626e-08,0.814035837847908,0.874270355129921,2.25303198710089,63,"319173;319150;319148;319178;260423;319185;319172;319165;319157;319181;319169;319149;319189;319184;319153;319166;319170;326620;319183;319164;319187;319191;97908;319180;319152;319167;68024;319160;320332;15270;319168;319159;319161;319176;319154;319158;81004"
"Regulation of PD-L1(CD274) transcription",4.3138076324414e-10,7.55994787585356e-08,0.814035837847908,0.883971630452138,2.25452468799461,60,"319173;319150;319148;319178;260423;319185;319172;319165;319157;319181;319169;319149;319189;319184;319153;319166;319170;326620;319183;319164;319187;319191;97908;319180;319152;319167;68024;319160;320332;15270;319168;319159;319161;14056;319176;319154;319158"
"Condensation of Prophase Chromosomes",9.95672270091689e-10,1.16327710222379e-07,0.788186810800237,0.868635521836156,2.25521981171908,66,"319173;319150;319148;319178;260423;319185;319172;319165;319157;319181;319169;319149;319189;319184;319153;319166;319170;326620;319183;319164;319187;319191;18817;97908;319180;319152;319167;14211;68024;319160;320332;15270;319168;319159;70099;76044;319161;319176;319154;319158"
"PRC2 methylates histones and DNA",8.49899805524282e-10,1.16327710222379e-07,0.801215574617779,0.854893149347893,2.23107593606454,69,"319173;319150;319148;319178;260423;319185;319172;319165;319157;319181;319169;319149;319189;319184;319153;319166;319170;326620;319183;319164;319187;319191;97908;319180;319152;319167;68024;319160;320332;15270;319168;319159;319161;14056;319176;319154;319158;13433;319179"
"RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function",1.60640224694481e-09,1.60869710729759e-07,0.788186810800237,0.850272979456236,2.23058465076931,70,"319173;319150;319148;319178;260423;319185;319172;319165;319157;319181;319169;319149;319189;319184;319153;319166;319170;326620;319183;319164;319187;319191;97908;319180;319152;319167;68024;319160;320332;15270;319168;319159;319161;319176;319154;12400;319158"
"Cleavage of the damaged purine",2.23623080804276e-09,1.95949724554747e-07,0.774939030136436,0.885189387492088,2.2072030808614,50,"319173;319178;319185;319172;319165;319157;319181;319169;319189;319184;319166;319170;326620;319183;319164;319187;319191;319180;319167;68024;319160;234258;320332;15270;319168;319159;319161;319176;319158"
"Negative Regulation of CDH1 Gene Transcription",3.91620467519911e-09,3.05028830812731e-07,0.761460801445585,0.844523806574115,2.22180279944854,71,"319173;319150;319148;319178;260423;319185;319172;319165;319157;319181;319169;319149;319189;319184;319153;319166;319170;326620;319183;319164;319187;319191;97908;319180;319152;319167;68024;319160;320332;15270;319168;319159;15182;319161;14056;319176;319154;319158"
"Deposition of new CENPA-containing nucleosomes at the centromere",6.68416636244785e-09,4.25963692734176e-07,0.761460801445585,0.853576319678466,2.22364338309336,67,"319173;319178;319185;319172;319165;319157;319181;319169;319189;319184;319166;319170;326620;319183;319164;319187;319191;319180;319167;12615;68024;217653;319160;320332;15270;319168;319159;319161;102920;66578;319176;72155;319158;60411;319179;69386;66570;26886;56505;212427;319156"
