"gene","Subject 1 - CSU v3","Subject 1 - CSU v6","Subject 2 - CSU v3","Subject 2 - CSU v6","Subject 3 - CSU v3","Subject 3 - CSU v6","Subject 4 - CSU v3","Subject 4 - CSU v6","Subject 1 - non-CSU","Subject 2 - non-CSU","Subject 3 - non-CSU","Subject 4 - non-CSU","Subject 5 - non CSU","Subject 6 - non CSU","Subject 5 - CSU v3","Subject 5 - CSU v6","Subject 6 - CSU v3","Subject 6 - CSU v6","Subject 7 - CSU v3","Subject 7 - CSU v6","Subject 8 - CSU v3"
"ENSG00000001167",10.46774,10.24665,10.58107,10.66014,10.63158,10.65891,9.845091,10.30936,10.62399,10.5173,10.57749,10.78263,10.55727,11.03851,11.08702,10.89386,11.35798,10.79823,10.71614,10.5569,10.8946
"ENSG00000001629",11.79354,11.05187,11.79729,11.50674,11.58901,11.78708,11.07347,11.40469,11.51113,11.66817,11.10896,11.16832,12.73018,12.78486,13.20742,13.01579,13.12969,12.97019,13.03434,13.05404,12.97535
"ENSG00000001631",14.65238,13.93777,14.07662,14.38191,14.37625,14.30589,14.49771,14.35009,14.42608,14.0229,14.07362,14.34836,14.45618,14.41798,14.28454,14.36053,14.42689,14.31425,14.52757,14.52102,14.43927
"ENSG00000002549",10.2621,10.0712,10.45591,10.10175,10.23152,9.999457,9.166898,9.643081,9.117569,10.04303,9.176344,10.00835,11.11807,11.41791,11.58561,11.48982,11.96847,13.16651,11.27478,11.00522,11.13611
"ENSG00000002586",10.79076,10.63805,10.88003,11.70434,10.82772,10.76229,10.47386,10.25408,11.0406,10.7315,11.32729,10.35922,8.794161,8.765941,9.45863,9.674025,8.694415,8.813285,8.987287,9.081642,8.858277
"ENSG00000002834",13.22251,13.28925,13.23465,13.46148,13.55302,13.36519,12.93353,13.31569,13.21564,13.22191,13.272,13.21784,12.84509,13.237,13.19582,13.20724,12.91096,12.89491,13.10981,12.99011,13.19841
"ENSG00000002919",11.8025,11.74318,11.81643,11.57682,10.95794,10.98128,11.7551,11.72772,11.41138,11.74543,11.76868,11.12974,10.21725,9.827235,11.16256,11.21772,10.66039,10.59302,10.7912,10.8281,10.80509
"ENSG00000003402",15.76753,15.69448,16.27943,16.26595,16.03946,15.92033,15.66161,15.92471,15.37334,16.08072,15.53523,15.26671,16.34852,16.38732,16.4296,16.33002,16.20385,16.287,16.78341,16.72728,16.62871
"ENSG00000003756",13.35875,13.56003,13.77346,13.93869,13.7144,13.65531,13.17906,13.12474,12.86546,13.59528,13.2577,12.97476,14.87066,14.97492,14.70001,14.76581,14.62366,14.70417,14.90432,14.85935,14.86669
"ENSG00000004059",11.4818,11.59708,11.35806,11.17854,11.2389,11.20875,11.32543,11.36301,11.32279,11.43039,11.48019,11.34108,12.17514,12.20582,12.18427,12.31745,12.23223,12.27078,12.2226,12.23956,12.02371
