"gene","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000037386","Rims2",2654.54413031887,-4.60698487462409,0.321636411939784,-14.3235799915794,1.55881792411569e-46,2.82005750651769e-42
"ENSMUSG00000044352","Sowaha",475.794911468265,-6.12180015204055,0.429874914228828,-14.2408871730111,5.1074509352116e-46,3.0799631622971e-42
"ENSMUSG00000041670","Rims1",5481.49217891402,-5.16022522827595,0.361867655082369,-14.2599791824482,3.88570396434747e-46,3.0799631622971e-42
"ENSMUSG00000032355","Mlip",948.201193175496,-5.62334174456914,0.396972860848711,-14.1655571429913,1.49675123401768e-45,6.76943164365345e-42
"ENSMUSG00000049044","Rapgef4",6861.20874288339,-4.93362589910939,0.355465680998648,-13.8793311501938,8.45290313300127e-44,3.05842941158252e-40
"ENSMUSG00000025104","Hdgfl3",849.919850676591,-3.8390622265651,0.280013222381201,-13.7102890853444,8.81061010986538e-43,2.65654579162624e-39
"ENSMUSG00000048978","Nrsn1",972.33352425868,-5.47851820735425,0.403423705266552,-13.5800602092395,5.2583195837835e-42,1.35897513700325e-38
"ENSMUSG00000007682","Dio2",1275.82866969715,-5.15556039705033,0.383113597961733,-13.4570018513551,2.80050746542735e-41,6.33299756963077e-38
"ENSMUSG00000021750","Fam107a",5422.97217524643,-4.96158115482048,0.370479871771701,-13.3923096310019,6.70623904310462e-41,1.21322570528806e-37
"ENSMUSG00000039512","Bltp3a",693.248091526565,1.40333781467657,0.104763318435949,13.3953165633499,6.44008628271873e-41,1.21322570528806e-37
"ENSMUSG00000028132","Tlcd4",276.979860027069,-4.32347113197162,0.323890201511731,-13.348570323499,1.20744036430922e-40,1.98580033006529e-37
"ENSMUSG00000043252","Tmem64",299.345046133956,1.45883590346816,0.109460554833106,13.3275032790801,1.601687763752e-40,2.41467777783645e-37
"ENSMUSG00000067279","Ppp1r3c",773.932818287079,-4.75994297012351,0.35832381689029,-13.2839145648554,2.86989834434375e-40,3.99379468827098e-37
"ENSMUSG00000037148","Arhgap10",337.082405996734,-3.24640401036486,0.2449039598126,-13.2558249072371,4.17500735609609e-40,5.39500414850959e-37
"ENSMUSG00000058589","Anks1b",1626.56727586597,-3.90990104698946,0.295937716665412,-13.2119051638491,7.49042814331176e-40,9.0339557027102e-37
"ENSMUSG00000045868","Gvin1",822.812147995151,-13.2263858257203,1.00536211155471,-13.155842729409,1.57517394860646e-39,1.78102949401497e-36
"ENSMUSG00000031997","Trpc6",167.470492446015,-5.17990115966969,0.39565499593609,-13.0919644965292,3.66017098876508e-39,3.89506784457347e-36
"ENSMUSG00000000247","Lhx2",383.81615737059,-5.04573304596351,0.390969087720516,-12.9057084164425,4.17954006364825e-38,4.2006699606367e-35
"ENSMUSG00000046447","Camk2n1",5505.23084968612,-4.21931180196899,0.327112900544115,-12.8986407902307,4.58105970941606e-38,4.36189216858136e-35
"ENSMUSG00000046093","Hpcal4",4567.21902717368,-5.96008173399764,0.4632784084213,-12.8650108134926,7.08320117362805e-38,6.16190916339316e-35
"ENSMUSG00000031099","Smarca1",562.835798288152,-4.72015649782287,0.366920286965572,-12.8642559855672,7.15273298497907e-38,6.16190916339316e-35
"ENSMUSG00000032402","Smad3",1012.28223409843,1.51708421168817,0.118546587377136,12.7973672229115,1.69604351625302e-37,1.3946874205697e-34
"ENSMUSG00000031342","Gpm6b",6363.22730997508,-5.10629154076177,0.399699507895205,-12.77532606345,2.25201964822543e-37,1.77136032417593e-34
"ENSMUSG00000020684","Rasl10b",1951.01899991281,-5.34354461727588,0.421608196734892,-12.6741952804962,8.21979094321854e-37,6.19600991474027e-34
"ENSMUSG00000074657","Kif5a",68752.1095675338,-5.50798905241081,0.435373434090202,-12.6511831479126,1.10202620815446e-36,7.97470245268891e-34
"ENSMUSG00000026764","Kif5c",13133.1452919483,-5.29833219894568,0.4191542787696,-12.6405299129919,1.26200532218311e-36,8.78113010908254e-34
"ENSMUSG00000031647","Mfap3l",844.741494457623,-4.13143577641033,0.328385187846033,-12.5810661665635,2.68383052096592e-36,1.79826585017757e-33
"ENSMUSG00000037855","Zfp365",3570.55395548193,-6.02829271769963,0.482938199148283,-12.4825344698995,9.29791431051874e-36,5.91906895622037e-33
"ENSMUSG00000019699","Akt3",2471.83863603076,-3.04703401726103,0.244135355906096,-12.4809207005356,9.4883090890714e-36,5.91906895622037e-33
"ENSMUSG00000056596","Trnp1",448.127847861173,-5.3106290708638,0.426272963720116,-12.4582826565343,1.26055933846323e-35,7.37661443420705e-33
"ENSMUSG00000039278","Pcsk1n",2049.2678413097,-4.90209590169877,0.393487789971325,-12.4580635705519,1.26402657376827e-35,7.37661443420705e-33
"ENSMUSG00000024302","Dtna",1275.37547925121,-4.27874603663963,0.343899129305748,-12.4418635350355,1.54848511833334e-35,8.67803217517716e-33
