"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GENE4",592.269657892798,-8.03029264275632,1.20109595196072,-6.68580443523046,2.29659552485779e-11,4.61615700496415e-09
"GENE105",812.225905594401,4.71876169445781,0.920940597686097,5.12385023128951,2.99358799574711e-07,3.00855593572584e-05
"GENE161",978.925907171303,2.8029787890784,0.645595360144189,4.34169599430265,1.4138707493286e-05,0.000947293402050163
"GENE49",515.478158769273,-3.75745039644264,0.889919760191476,-4.22223504244269,2.41891669100321e-05,0.00121550563722911
"GENE12",723.142293397244,3.24045310786372,0.951832961302234,3.40443464306001,0.000663011641708183,0.0222108899972241
"GENE169",813.529715450149,2.94117747958601,0.859622145072799,3.42147709484256,0.00062281970892571,0.0222108899972241
"GENE27",535.394377000553,-2.63644646794428,0.87353334720542,-3.01814060834508,0.00254330869453296,0.0730292925144465
"GENE99",386.144481117234,-2.81049348957181,0.958148184022732,-2.93325556154801,0.00335427665034262,0.0842762008398584
"GENE93",922.411019315072,2.37374448395938,0.873279968110973,2.71819413090869,0.00656393133966716,0.1465944665859
"GENE188",946.092228582991,-1.7971609822282,0.681227461545124,-2.63812174886781,0.00833666455779656,0.167566957611711
"GENE110",899.043354923719,-1.87870941636869,0.76921616550385,-2.44236860926876,0.0145912398794263,0.266621746887698
"GENE74",376.347627781556,-2.04450204741747,0.882541735969858,-2.31660664203114,0.0205251692281948,0.31735069345132
"GENE40",866.967798793496,1.86204075780252,0.803060317989868,2.31868107051209,0.0204123356613995,0.31735069345132
"GENE80",508.479408718657,2.10970044723335,0.979546267018246,2.15375273049154,0.0312595684792892,0.415865877514298
"GENE131",541.44515843636,-2.01888700549557,0.976324924508129,-2.0678433529828,0.0386547555633957,0.415865877514298
"GENE170",408.8262506543,2.01746869759452,0.970639424455486,2.07849449215015,0.0376638376730347,0.415865877514298
"GENE87",591.240684851916,1.93542269277774,0.924442062779031,2.09361167206036,0.0362945869540277,0.415865877514298
"GENE107",533.874663252749,-1.81447683915497,0.880420944932822,-2.06091966530103,0.03931070483966,0.415865877514298
"GENE164",975.437753677089,-1.6774551381758,0.803818812615756,-2.0868572766008,0.0369010378268267,0.415865877514298
"GENE21",1172.78899904365,-1.20070333256117,0.603691515589742,-1.98893524516112,0.0467083508834673,0.469418926378847
"GENE22",1103.97094935175,-1.3403657586505,0.685789863059993,-1.95448464733758,0.0506439287615057,0.484734746717269
"GENE163",747.798409130896,1.80440587693217,0.959500904083748,1.88056714616152,0.0600308243951669,0.523577676495895
"GENE42",461.248346009036,1.78922846139826,0.961566394460993,1.8607435448087,0.0627804013766114,0.523577676495895
"GENE45",818.645825124807,1.62085175098925,0.867709732321922,1.86796539281861,0.0617668948646449,0.523577676495895
"GENE111",1033.9845394533,1.26056150047482,0.683445116924547,1.84442242582295,0.0651216015542159,0.523577676495895
"GENE67",770.334511395879,1.68051185289265,0.958854141650532,1.75262511772634,0.0796663768930266,0.533839024173918
"GENE64",732.009643159654,-1.67584022109554,0.935929884482525,-1.79056171715482,0.073363655012689,0.533839024173918
"GENE38",1043.7053105004,-1.3524847264346,0.746989050491965,-1.81058172880025,0.0702056226001825,0.533839024173918
"GENE78",1184.59626862297,-1.28722902582471,0.724392931649775,-1.77697623704459,0.0755721496580631,0.533839024173918
"GENE141",991.351807287243,1.11859431487532,0.638262860017043,1.75256055921137,0.0796774662946147,0.533839024173918
"GENE121",749.918486983043,1.61214497422901,0.937175930287724,1.72021594038812,0.0853931965325145,0.544891936704557
"GENE73",1079.47547821196,-1.05503289276283,0.615968961526192,-1.71280203818837,0.0867489650474916,0.544891936704557
"GENE58",729.014857818207,-2.10705834451938,1.31371591741932,-1.60389191953958,0.108737878265037,0.560965062313343
"GENE103",774.564986204424,1.72142456486108,1.07360163925666,1.6034108946154,0.108843967314529,0.560965062313343
"GENE177",855.795136090597,-1.69993661317903,1.0532322251908,-1.61401880090696,0.106523348311716,0.560965062313343
