"gene","15","s29","BB7","s7"
"ACTB",1564,484,1138,1450
"GENE1",1889,1250,1368,1794
"GENE10",1400,1244,682,1977
"GENE100",1140,1876,1715,1076
"GENE101",1285,1623,874,1316
"GENE102",432,1221,473,382
"GENE103",1522,1148,753,79
"GENE104",473,1603,936,1920
"GENE105",1801,1708,31,101
"GENE106",1157,677,1683,636
"GENE107",306,225,602,1253
"GENE108",252,1594,605,627
"GENE109",1325,1725,871,1594
"GENE11",932,430,1690,320
"GENE110",609,258,1657,1533
"GENE111",1501,1765,996,394
"GENE112",1170,1147,772,1277
"GENE113",526,1218,1587,192
"GENE114",907,1322,102,1263
"GENE115",1825,1647,1370,1607
"GENE116",723,654,167,1444
"GENE117",628,1734,931,1785
"GENE118",276,323,693,53
"GENE119",983,1301,1323,429
"GENE12",1714,1225,229,87
"GENE120",328,1127,1266,1889
"GENE121",1791,758,323,505
"GENE122",1763,913,1985,1314
"GENE123",1190,202,1181,761
"GENE124",1687,267,383,1324
"GENE125",1360,1661,1049,753
"GENE126",611,743,1325,1079
"GENE127",591,430,1421,494
"GENE128",417,659,1707,914
"GENE129",1189,163,689,1505
"GENE13",889,71,283,1029
"GENE130",1545,1158,1752,599
"GENE131",328,155,399,1526
"GENE132",1807,262,1003,266
"GENE133",1689,261,1281,162
"GENE134",1476,1812,1463,538
"GENE135",1683,612,1507,1665
"GENE136",970,1239,1710,374
"GENE137",39,869,362,1767
"GENE138",1733,750,617,1421
"GENE139",906,193,1325,1454
"GENE14",1940,932,1616,1834
"GENE140",140,1552,1067,1651
"GENE141",1700,1348,666,741
"GENE142",1448,128,462,1037
"GENE143",1885,1514,1631,381
"GENE144",560,532,1499,1072
"GENE145",422,1496,1276,1793
"GENE146",1117,251,1777,368
"GENE147",109,1599,901,1289
"GENE148",259,1441,810,1993
"GENE149",1271,1878,1585,1686
"GENE15",1646,1258,882,1028
"GENE150",175,1554,1206,790
"GENE151",624,1282,395,368
"GENE152",1748,1518,1181,1515
"GENE153",644,1442,411,889
"GENE154",294,756,680,839
"GENE155",952,66,684,1688
"GENE156",866,1084,205,775
"GENE157",1939,1096,40,1443
"GENE158",1539,762,63,1661
"GENE159",504,1838,726,774
"GENE16",532,993,758,495
"GENE160",1586,275,59,1520
"GENE161",1851,1985,257,295
"GENE162",677,1425,1824,1650
"GENE163",748,1841,512,246
"GENE164",869,183,1357,1975
"GENE165",214,233,357,353
"GENE166",1069,1149,1901,892
"GENE167",1853,1500,1709,381
"GENE168",908,1828,1502,434
"GENE169",1691,1538,292,135
"GENE17",1986,23,194,384
"GENE170",517,946,307,65
"GENE171",220,627,779,624
"GENE172",894,1439,495,910
"GENE173",1457,113,1879,1990
"GENE174",580,1777,505,1832
"GENE175",1320,493,123,788
"GENE176",1488,454,1029,249
"GENE177",849,66,1972,1006
"GENE178",1684,246,335,352
"GENE179",1137,1720,1214,968
"GENE18",1938,1384,1763,401
"GENE180",1884,367,329,1339
"GENE181",1708,531,521,1053
"GENE182",1556,565,1648,1032
"GENE183",1410,1257,961,1072
"GENE184",1989,791,1889,1581
"GENE185",364,1746,766,358
"GENE186",505,272,678,226
"GENE187",1088,1959,1928,1883
"GENE188",487,461,1356,1939
"GENE189",1652,415,1472,1012
"GENE19",1441,739,978,7
"GENE190",884,994,1090,1829
"GENE191",1584,81,1525,630
"GENE192",675,1199,1968,132
"GENE193",1027,473,1827,930
"GENE194",1710,1761,200,1521
"GENE195",1580,1657,1975,1522
"GENE196",1667,1415,590,1699
"GENE197",1400,1362,1946,1471
"GENE198",677,603,655,335
"GENE199",162,1513,1566,331
"GENE2",1156,1551,1667,450
"GENE20",1235,1660,1327,308
"GENE200",788,1838,1674,1193
"GENE21",1067,535,1929,1760
"GENE22",372,1019,1879,1694
"GENE23",1415,1279,84,1483
"GENE24",947,182,488,1082
"GENE25",1453,1015,1225,1742
"GENE26",1372,722,1286,1196
"GENE27",216,118,1320,775
"GENE28",1196,646,451,300
"GENE29",763,1632,801,758
"GENE3",111,600,570,1747
"GENE30",1150,1957,784,1179
"GENE31",878,1210,891,1275
"GENE32",1094,1352,1913,301
"GENE33",1123,880,715,479
"GENE34",104,804,1652,193
"GENE35",812,1935,1902,430
"GENE36",15,1343,28,600
"GENE37",994,1748,185,1324
"GENE38",1066,263,1691,1690
"GENE39",965,1889,1213,1807
"GENE4",0,10,999,1642
"GENE40",1921,1139,561,290
"GENE41",1125,384,1500,1855
"GENE42",490,1104,98,361
"GENE43",754,1768,1939,1283
"GENE44",1166,1139,121,752
"GENE45",1966,821,426,478
"GENE46",1426,76,1938,1752
"GENE47",1135,935,1522,1095
"GENE48",954,644,893,1502
"GENE49",110,50,1440,744
"GENE5",262,1594,238,935
"GENE50",1607,60,1814,245
"GENE51",831,1934,217,1315
"GENE52",1455,856,158,1047
"GENE53",866,1745,1364,688
"GENE54",116,1180,559,1367
"GENE55",1727,710,1806,1038
"GENE56",1061,1530,1578,1818
"GENE57",1998,302,825,1866
"GENE58",615,10,1152,1505
"GENE59",1486,1621,1287,273
"GENE6",1632,606,683,556
"GENE60",1694,837,1694,1630
"GENE61",1940,28,1732,1256
"GENE62",970,1586,1904,1026
"GENE63",174,1451,461,452
"GENE64",385,397,1819,726
"GENE65",212,358,789,692
"GENE66",620,1896,1733,1146
"GENE67",1972,680,275,543
"GENE68",178,1904,437,888
"GENE69",404,1960,316,1031
"GENE7",1438,509,1980,890
"GENE70",1901,1042,1797,1793
"GENE71",1535,1485,1153,1161
"GENE72",1662,853,1891,1756
"GENE73",748,823,1428,1845
"GENE74",193,137,496,859
"GENE75",325,1039,1082,1901
"GENE76",1491,501,1572,1612
"GENE77",1359,1352,620,1434
"GENE78",269,1259,1842,1943
"GENE79",596,665,1237,796
"GENE8",956,1009,1165,1106
"GENE80",1462,405,337,101
"GENE81",938,425,599,1830
"GENE82",1628,1680,1186,224
"GENE83",1493,1207,1817,958
"GENE84",346,1189,912,1318
"GENE85",751,613,250,1922
"GENE86",1510,931,468,1256
"GENE87",824,1270,180,367
"GENE88",1469,123,1355,823
"GENE89",6,1528,1399,1630
"GENE9",1018,1991,1615,1585
"GENE90",1790,1459,1682,226
"GENE91",1836,1826,1388,1604
"GENE92",1482,1755,1778,1046
"GENE93",1632,1831,594,93
"GENE94",340,60,869,40
"GENE95",517,505,1413,497
"GENE96",1899,375,1943,1134
"GENE97",487,77,611,1180
"GENE98",218,332,229,1355
"GENE99",176,42,911,621
