gene,gene_name,GO_term
GENE1,GENE1,GO:0008150
GENE2,GENE2,GO:0008150
GENE3,GENE3,GO:0008150
GENE4,GENE4,GO:0008150
GENE5,GENE5,GO:0008150
GENE6,GENE6,GO:0008150
GENE7,GENE7,GO:0008150
GENE8,GENE8,GO:0008150
GENE9,GENE9,GO:0008150
GENE10,GENE10,GO:0008150
GENE11,GENE11,GO:0008150
GENE12,GENE12,GO:0008150
GENE13,GENE13,GO:0008150
GENE14,GENE14,GO:0008150
GENE15,GENE15,GO:0008150
GENE16,GENE16,GO:0008150
GENE17,GENE17,GO:0008150
GENE18,GENE18,GO:0008150
GENE19,GENE19,GO:0008150
GENE20,GENE20,GO:0008150
GENE21,GENE21,GO:0008150
GENE22,GENE22,GO:0008150
GENE23,GENE23,GO:0008150
GENE24,GENE24,GO:0008150
GENE25,GENE25,GO:0008150
GENE26,GENE26,GO:0008150
GENE27,GENE27,GO:0008150
GENE28,GENE28,GO:0008150
GENE29,GENE29,GO:0008150
GENE30,GENE30,GO:0008150
GENE31,GENE31,GO:0008150
GENE32,GENE32,GO:0008150
GENE33,GENE33,GO:0008150
GENE34,GENE34,GO:0008150
GENE35,GENE35,GO:0008150
GENE36,GENE36,GO:0008150
GENE37,GENE37,GO:0008150
GENE38,GENE38,GO:0008150
GENE39,GENE39,GO:0008150
GENE40,GENE40,GO:0008150
GENE41,GENE41,GO:0008150
GENE42,GENE42,GO:0008150
GENE43,GENE43,GO:0008150
GENE44,GENE44,GO:0008150
GENE45,GENE45,GO:0008150
GENE46,GENE46,GO:0008150
GENE47,GENE47,GO:0008150
GENE48,GENE48,GO:0008150
GENE49,GENE49,GO:0008150
GENE50,GENE50,GO:0008150
GENE51,GENE51,GO:0008150
GENE52,GENE52,GO:0008150
GENE53,GENE53,GO:0008150
GENE54,GENE54,GO:0008150
GENE55,GENE55,GO:0008150
GENE56,GENE56,GO:0008150
GENE57,GENE57,GO:0008150
GENE58,GENE58,GO:0008150
GENE59,GENE59,GO:0008150
GENE60,GENE60,GO:0008150
GENE61,GENE61,GO:0008150
GENE62,GENE62,GO:0008150
GENE63,GENE63,GO:0008150
GENE64,GENE64,GO:0008150
GENE65,GENE65,GO:0008150
GENE66,GENE66,GO:0008150
GENE67,GENE67,GO:0008150
GENE68,GENE68,GO:0008150
GENE69,GENE69,GO:0008150
GENE70,GENE70,GO:0008150
GENE71,GENE71,GO:0008150
GENE72,GENE72,GO:0008150
GENE73,GENE73,GO:0008150
GENE74,GENE74,GO:0008150
GENE75,GENE75,GO:0008150
GENE76,GENE76,GO:0008150
GENE77,GENE77,GO:0008150
GENE78,GENE78,GO:0008150
GENE79,GENE79,GO:0008150
GENE80,GENE80,GO:0008150
GENE81,GENE81,GO:0008150
GENE82,GENE82,GO:0008150
GENE83,GENE83,GO:0008150
GENE84,GENE84,GO:0008150
GENE85,GENE85,GO:0008150
GENE86,GENE86,GO:0008150
GENE87,GENE87,GO:0008150
GENE88,GENE88,GO:0008150
GENE89,GENE89,GO:0008150
GENE90,GENE90,GO:0008150
GENE91,GENE91,GO:0008150
GENE92,GENE92,GO:0008150
GENE93,GENE93,GO:0008150
GENE94,GENE94,GO:0008150
GENE95,GENE95,GO:0008150
GENE96,GENE96,GO:0008150
GENE97,GENE97,GO:0008150
GENE98,GENE98,GO:0008150
GENE99,GENE99,GO:0008150
GENE100,GENE100,GO:0008150
GENE101,GENE101,GO:0008150
GENE102,GENE102,GO:0008150
GENE103,GENE103,GO:0008150
GENE104,GENE104,GO:0008150
GENE105,GENE105,GO:0008150
GENE106,GENE106,GO:0008150
GENE107,GENE107,GO:0008150
GENE108,GENE108,GO:0008150
GENE109,GENE109,GO:0008150
GENE110,GENE110,GO:0008150
GENE111,GENE111,GO:0008150
GENE112,GENE112,GO:0008150
GENE113,GENE113,GO:0008150
GENE114,GENE114,GO:0008150
GENE115,GENE115,GO:0008150
GENE116,GENE116,GO:0008150
GENE117,GENE117,GO:0008150
GENE118,GENE118,GO:0008150
GENE119,GENE119,GO:0008150
GENE120,GENE120,GO:0008150
GENE121,GENE121,GO:0008150
GENE122,GENE122,GO:0008150
GENE123,GENE123,GO:0008150
GENE124,GENE124,GO:0008150
GENE125,GENE125,GO:0008150
GENE126,GENE126,GO:0008150
GENE127,GENE127,GO:0008150
GENE128,GENE128,GO:0008150
GENE129,GENE129,GO:0008150
GENE130,GENE130,GO:0008150
GENE131,GENE131,GO:0008150
GENE132,GENE132,GO:0008150
GENE133,GENE133,GO:0008150
GENE134,GENE134,GO:0008150
GENE135,GENE135,GO:0008150
GENE136,GENE136,GO:0008150
GENE137,GENE137,GO:0008150
GENE138,GENE138,GO:0008150
GENE139,GENE139,GO:0008150
GENE140,GENE140,GO:0008150
GENE141,GENE141,GO:0008150
GENE142,GENE142,GO:0008150
GENE143,GENE143,GO:0008150
GENE144,GENE144,GO:0008150
GENE145,GENE145,GO:0008150
GENE146,GENE146,GO:0008150
GENE147,GENE147,GO:0008150
GENE148,GENE148,GO:0008150
GENE149,GENE149,GO:0008150
GENE150,GENE150,GO:0008150
GENE151,GENE151,GO:0008150
GENE152,GENE152,GO:0008150
GENE153,GENE153,GO:0008150
GENE154,GENE154,GO:0008150
GENE155,GENE155,GO:0008150
GENE156,GENE156,GO:0008150
GENE157,GENE157,GO:0008150
GENE158,GENE158,GO:0008150
GENE159,GENE159,GO:0008150
GENE160,GENE160,GO:0008150
GENE161,GENE161,GO:0008150
GENE162,GENE162,GO:0008150
GENE163,GENE163,GO:0008150
GENE164,GENE164,GO:0008150
GENE165,GENE165,GO:0008150
GENE166,GENE166,GO:0008150
GENE167,GENE167,GO:0008150
GENE168,GENE168,GO:0008150
GENE169,GENE169,GO:0008150
GENE170,GENE170,GO:0008150
GENE171,GENE171,GO:0008150
GENE172,GENE172,GO:0008150
GENE173,GENE173,GO:0008150
GENE174,GENE174,GO:0008150
GENE175,GENE175,GO:0008150
GENE176,GENE176,GO:0008150
GENE177,GENE177,GO:0008150
GENE178,GENE178,GO:0008150
GENE179,GENE179,GO:0008150
GENE180,GENE180,GO:0008150
GENE181,GENE181,GO:0008150
GENE182,GENE182,GO:0008150
GENE183,GENE183,GO:0008150
GENE184,GENE184,GO:0008150
GENE185,GENE185,GO:0008150
GENE186,GENE186,GO:0008150
GENE187,GENE187,GO:0008150
GENE188,GENE188,GO:0008150
GENE189,GENE189,GO:0008150
GENE190,GENE190,GO:0008150
GENE191,GENE191,GO:0008150
GENE192,GENE192,GO:0008150
GENE193,GENE193,GO:0008150
GENE194,GENE194,GO:0008150
GENE195,GENE195,GO:0008150
GENE196,GENE196,GO:0008150
GENE197,GENE197,GO:0008150
GENE198,GENE198,GO:0008150
GENE199,GENE199,GO:0008150
GENE200,GENE200,GO:0008150
ACTB,ACTB,GO:0008150
ACTB,ACTB,GO:0008150
