"gene","baseMean","log2FoldChange","stat","pvalue","padj"
"ILMN_140",6.57375,-8.2626,-4.43030622477714,1.11860526968287e-05,0.0033558158090486
"ILMN_285",7.580825,5.63715,2.9478969439747,0.00332384561061161,0.401974840765203
"ILMN_216",7.21755,-5.4864,-2.83211815102583,0.00477927168238095,0.401974840765203
"ILMN_179",7.334675,5.19805,2.65929628842735,0.00803949681530407,0.401974840765203
"ILMN_166",7.85805,5.0555,2.75006826764256,0.00613793763546636,0.401974840765203
"ILMN_117",8.11015,-4.7554,-2.67113876175763,0.00776455553127612,0.401974840765203
"ILMN_16",7.458675,4.81465,2.4667420964555,0.013913145462397,0.485727992150516
"ILMN_120",7.559025,-4.70655,-2.44996032083484,0.0145718397645155,0.485727992150516
"ILMN_262",8.219975,4.64785,2.51862187786298,0.0120404289529488,0.485727992150516
"ILMN_275",7.461975,4.57415,2.34430142423261,0.0193879709000575,0.537466139823931
"ILMN_230",5.82935,-4.5605,-2.27446507772822,0.0232901993923704,0.537466139823931
"ILMN_249",7.6272,-4.3534,-2.29814781054731,0.0218964196973119,0.537466139823931
"ILMN_91",6.706325,4.29705,2.30588663536966,0.0214570233112168,0.537466139823931
"ILMN_190",7.531425,4.33255,2.24261208653898,0.0252861975627125,0.541847090629554
"ILMN_138",7.84085,4.077,2.21246871415068,0.027310088481234,0.545071240658557
"ILMN_61",8.219825,4.03705,2.18778302463004,0.0290704661684564,0.545071240658557
"ILMN_145",7.413525,4.02695,2.05778699681655,0.0400420476866458,0.642390572414796
"ILMN_84",6.171525,4.01055,2.0515114034126,0.0406507408493235,0.642390572414796
"ILMN_195",6.9667,-3.9097,-2.02904579175384,0.0428946182004848,0.642390572414796
"ILMN_74",7.1122,-3.8527,-1.99251499172481,0.0467671939380057,0.642390572414796
"ILMN_263",7.382825,3.81015,1.94554530915401,0.0521760248625852,0.642390572414796
"ILMN_23",6.910425,-3.77905,-1.9738594769407,0.0488560376476054,0.642390572414796
"ILMN_231",8.17695,3.6376,2.00750549792689,0.0451437797176773,0.642390572414796
"ILMN_281",8.157175,-3.50565,-1.94714219058686,0.0519838740194908,0.642390572414796
"ILMN_193",8.07795,-3.4297,-1.93440996192971,0.053532547701233,0.642390572414796
"ILMN_239",7.5417,3.5661,1.84953841892052,0.0648716906730211,0.707480100876498
"ILMN_19",7.646925,-3.47475,-1.84156999638332,0.0660314760818065,0.707480100876498
"ILMN_100",8.2097,3.3897,1.84533788208356,0.0654809516385983,0.707480100876498
"ILMN_196",8.523025,-3.71375,-1.80326205449296,0.0718486202855447,0.743261589160807
"ILMN_240",9.349225,3.70245,1.71536200780493,0.086795160745518,0.763812266673951
"ILMN_45",9.39255,-3.6045,-1.67524390493312,0.094407422772514,0.763812266673951
"ILMN_41",8.55315,-3.5736,-1.7252033729459,0.0850057522544101,0.763812266673951
"ILMN_170",9.28985,-3.5364,-1.63178941003063,0.103248562462559,0.763812266673951
"ILMN_14",7.45835,3.4462,1.76557153132995,0.0779763291830475,0.763812266673951
"ILMN_267",8.8991,3.4435,1.61624750519904,0.106566446426072,0.763812266673951
"ILMN_169",9.55135,-3.4072,-1.61455086436384,0.106933717334353,0.763812266673951
"ILMN_208",8.454875,3.38765,1.6716951684518,0.0951058416662091,0.763812266673951
"ILMN_78",7.211775,3.28605,1.69684514348227,0.0902445787237036,0.763812266673951
"ILMN_59",7.773225,-3.15585,-1.70082519284002,0.0894939715727477,0.763812266673951
"ILMN_172",7.594675,3.14225,1.64801724658615,0.0998726505352601,0.763812266673951
"ILMN_222",6.876725,-3.08365,-1.6187119332647,0.106034759226446,0.763812266673951
"ILMN_221",7.754975,-3.07515,-1.65440228425654,0.098568793825444,0.763812266673951
"ILMN_97",7.557675,3.05995,1.59238133337181,0.111825710221394,0.767598823222324
"ILMN_261",6.731375,-2.96515,-1.58902657501079,0.112581160739274,0.767598823222324
"ILMN_33",8.5783,3.1686,1.52231585968879,0.128456791843888,0.837761685938397
"ILMN_279",8.240975,-2.85225,-1.53109863206895,0.126272066572429,0.837761685938397
"ILMN_69",9.158275,-2.92225,-1.34576685027706,0.178886014230156,0.854269558121624
"ILMN_194",7.44635,2.7619,1.4132827587345,0.158091166950248,0.854269558121624
"ILMN_168",10.07135,2.7195,1.3550741959988,0.175903857982088,0.854269558121624
"ILMN_218",7.4995,2.6961,1.38700104571014,0.165956471121286,0.854269558121624
"ILMN_134",9.47665,-2.682,-1.25689948606501,0.209279106804215,0.854269558121624
"ILMN_92",7.419225,2.67725,1.36841165416296,0.171695427333007,0.854269558121624
"ILMN_35",8.883825,2.66635,1.25148208393671,0.211246347428801,0.854269558121624
"ILMN_188",8.408175,2.61615,1.30974759996878,0.190782496541117,0.854269558121624
"ILMN_60",8.6529,2.5984,1.23331305556241,0.217941932985168,0.854269558121624
"ILMN_2",9.165475,-2.58465,-1.18986895100322,0.2345685097599,0.854269558121624
"ILMN_154",9.619825,-2.57135,-1.23303776707928,0.218044544181566,0.854269558121624
"ILMN_128",8.913075,-2.56365,-1.20328024904699,0.229342445684312,0.854269558121624
"ILMN_153",8.706225,2.56005,1.20844417592322,0.227352500160475,0.854269558121624
