"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","extracellular matrix organization","35/662","323/25730",0.108359133126935,4.21160195673117,9.43901956762661,8.80905677485113e-13,1.64388406066252e-09,1.18826521065854e-09,"Lcp1/Tnxb/Dpp4/Vit/Col1a2/Nid1/Lama2/Col1a1/Mfap4/Crispld2/Col6a1/Pdgfra/Col5a2/Egfl6/Postn/Adamts5/Lox/Col27a1/Eng/Ddr2/Dpt/Ecm2/Creb3l1/Tie1/Emilin1/Col6a5/Adamts15/Col14a1/Angptl7/Pparg/Col5a3/Fbln5/Abi3bp/Egflam/Adamts4",35
"GO:0045229","external encapsulating structure organization","35/662","324/25730",0.108024691358025,4.19860318525978,9.4155420831599,9.64061243084066e-13,1.64388406066252e-09,1.18826521065854e-09,"Lcp1/Tnxb/Dpp4/Vit/Col1a2/Nid1/Lama2/Col1a1/Mfap4/Crispld2/Col6a1/Pdgfra/Col5a2/Egfl6/Postn/Adamts5/Lox/Col27a1/Eng/Ddr2/Dpt/Ecm2/Creb3l1/Tie1/Emilin1/Col6a5/Adamts15/Col14a1/Angptl7/Pparg/Col5a3/Fbln5/Abi3bp/Egflam/Adamts4",35
"GO:0043062","extracellular structure organization","35/662","325/25730",0.107692307692308,4.18568440622821,9.39215899108095,1.05467326389811e-12,1.64388406066252e-09,1.18826521065854e-09,"Lcp1/Tnxb/Dpp4/Vit/Col1a2/Nid1/Lama2/Col1a1/Mfap4/Crispld2/Col6a1/Pdgfra/Col5a2/Egfl6/Postn/Adamts5/Lox/Col27a1/Eng/Ddr2/Dpt/Ecm2/Creb3l1/Tie1/Emilin1/Col6a5/Adamts15/Col14a1/Angptl7/Pparg/Col5a3/Fbln5/Abi3bp/Egflam/Adamts4",35
"GO:0003018","vascular process in circulatory system","31/662","268/25730",0.115671641791045,4.49581773909907,9.3486850097508,3.2601984693943e-12,3.26049447085902e-09,2.35681593488098e-09,"Ace/Pde3a/Slc5a1/Ptprj/Ceacam1/Faah/Kdr/Mgll/Ednra/Cdh5/Zeb2/P2ry2/Pecam1/Slc22a1/Ednrb/Plvap/Abcb1a/Pde2a/Cd36/Slc6a4/Scarb1/Adora1/Sh3gl2/Flvcr2/Irag1/Itga9/Abcc9/Npr3/Atp1a2/Acta2/Adrb3",31
"GO:0001935","endothelial cell proliferation","25/662","174/25730",0.14367816091954,5.58434906413862,9.86021689285181,3.48641410485353e-12,3.26049447085902e-09,2.35681593488098e-09,"Egf/Flt1/Jcad/Kdr/Cd34/Igf1/Gata2/Zeb2/Tek/Atoh8/Scarb1/Eng/Col8a2/Mmrn2/Tie1/Wnt2/Fgf2/Flt4/Dysf/Pparg/Aldh1a2/Ppp1r16b/Egfl7/Mef2c/Dll4",25
"GO:0001822","kidney development","37/662","382/25730",0.0968586387434555,3.76461144240047,8.84656226575045,5.80360289460731e-12,4.5229411891973e-09,3.26936296396212e-09,"Ace/Fbn1/Slc5a1/Epcam/Erbb4/Nid1/Ass1/Akr1b1/Hmgcs2/Pdgfrb/Cd34/Ednra/Pdgfra/Basp1/Tek/Pecam1/Notch3/Slc22a1/Ednrb/Cyp26b1/Aqp1/Plxnd1/Pdgfd/Cys1/Nrp1/Osr2/Fgf2/Mme/Arg2/Smad9/Gfra1/Klhl3/Aldh1a2/Acta2/Mef2c/Gimap6/Sox17",37
"GO:0072001","renal system development","37/662","395/25730",0.0936708860759494,3.64071283796704,8.59488114693218,1.55569485315004e-11,1.03920416190423e-08,7.51178371949592e-09,"Ace/Fbn1/Slc5a1/Epcam/Erbb4/Nid1/Ass1/Akr1b1/Hmgcs2/Pdgfrb/Cd34/Ednra/Pdgfra/Basp1/Tek/Pecam1/Notch3/Slc22a1/Ednrb/Cyp26b1/Aqp1/Plxnd1/Pdgfd/Cys1/Nrp1/Osr2/Fgf2/Mme/Arg2/Smad9/Gfra1/Klhl3/Aldh1a2/Acta2/Mef2c/Gimap6/Sox17",37
"GO:0001936","regulation of endothelial cell proliferation","21/662","150/25730",0.14,5.44138972809668,8.86532881990432,3.06929010669927e-10,1.62895728901891e-07,1.17747554253291e-07,"Egf/Flt1/Jcad/Kdr/Igf1/Gata2/Tek/Atoh8/Eng/Mmrn2/Tie1/Wnt2/Fgf2/Flt4/Dysf/Pparg/Aldh1a2/Ppp1r16b/Egfl7/Mef2c/Dll4",21
"GO:0061437","renal system vasculature development","11/662","33/25730",0.333333333333333,12.9556898288016,11.1678867770071,3.48365545128081e-10,1.62895728901891e-07,1.17747554253291e-07,"Pdgfrb/Cd34/Ednra/Pdgfra/Tek/Pecam1/Notch3/Aqp1/Pdgfd/Nrp1/Acta2",11
"GO:0061440","kidney vasculature development","11/662","33/25730",0.333333333333333,12.9556898288016,11.1678867770071,3.48365545128081e-10,1.62895728901891e-07,1.17747554253291e-07,"Pdgfrb/Cd34/Ednra/Pdgfra/Tek/Pecam1/Notch3/Aqp1/Pdgfd/Nrp1/Acta2",11
"GO:0003158","endothelium development","21/662","152/25730",0.138157894736842,5.36979249483225,8.78071582506167,3.94257013800901e-10,1.67595072412092e-07,1.21144427877004e-07,"Zeb1/Ceacam1/Kdr/Cldn3/Cd34/Ednra/Cdh5/Atoh8/Pecam1/Ednrb/S1pr1/Notch4/S1pr3/Pde2a/Tie1/Flvcr2/Robo4/Ppp1r16b/Apold1/Dll4/Sox17",21
"GO:0045446","endothelial cell differentiation","19/662","127/25730",0.149606299212598,5.81475842709994,8.83917107762931,6.81287685606562e-10,2.65475101491357e-07,1.91896031445848e-07,"Zeb1/Ceacam1/Kdr/Cldn3/Ednra/Cdh5/Atoh8/Pecam1/Ednrb/S1pr1/Notch4/S1pr3/Pde2a/Tie1/Flvcr2/Robo4/Ppp1r16b/Apold1/Sox17",19
"GO:0050878","regulation of body fluid levels","33/662","392/25730",0.0841836734693878,3.27197268635551,7.3661503468605,3.02844678220544e-09,1.08058061617839e-06,7.81086929572913e-07,"Agr2/Prlr/Ptprj/Ceacam1/Scnn1a/Erbb4/Ubash3b/Pdia6/Akr1b1/Serping1/Fgl2/Pdgfra/P2ry2/Ednrb/Tfpi/Abcb1a/Cd36/Slc6a4/Adora1/Entpd2/Entpd1/Aqp1/Aqp5/Mertk/Chrm1/Cdo1/Emilin1/Vwf/Pear1/F13a1/Npr3/Tspan18/Angptl7",33
"GO:0072012","glomerulus vasculature development","10/662","31/25730",0.32258064516129,12.5377643504532,10.4453982886019,3.23527130592331e-09,1.08058061617839e-06,7.81086929572913e-07,"Pdgfrb/Cd34/Ednra/Pdgfra/Tek/Pecam1/Notch3/Aqp1/Pdgfd/Acta2",10
"GO:0042060","wound healing","34/662","419/25730",0.081145584725537,3.1538910800424,7.22365011767599,4.45253395359718e-09,1.38800325113469e-06,1.0033043175439e-06,"Ptprj/Ceacam1/Ubash3b/Pdia6/Kdr/Serping1/Cldn3/Cd34/Igf1/Fgl2/Gata2/Pdgfra/Pecam1/Tfpi/Cd36/Slc6a4/Eng/Entpd2/Entpd1/Ddr2/Aqp1/Nrp1/Mertk/Fgf2/Emilin1/Vwf/Dysf/Tincr/Pear1/F13a1/Cadm4/Angptl7/Pparg/Syt11",34
"GO:0031589","cell-substrate adhesion","32/662","383/25730",0.0835509138381201,3.24737917379884,7.20100415895052,6.31210822378019e-09,1.83047310395122e-06,1.32313924109391e-06,"Agr2/Pkp2/Tnxb/Ptprj/Vit/Nid1/Kdr/Col1a1/Cd34/Prkcz/Camsap3/Limch1/Egfl6/Tek/Postn/Pecam1/Itgbl1/Cd36/Micall2/Msln/Ecm2/Nrp1/Prex1/Parvb/Mertk/Emilin1/Vwf/Itga9/Atp1b2/Col5a3/Abi3bp/Egflam",32
"GO:0043542","endothelial cell migration","25/662","247/25730",0.101214574898785,3.93391391562802,7.52924053557363,6.65484233686285e-09,1.83047310395122e-06,1.32313924109391e-06,"Egf/Ceacam1/Dpp4/Jcad/Kdr/Igf1/Atp2b4/Cdh5/Gata2/Adgra2/Zeb2/Tek/Atoh8/Pecam1/Scarb1/Plxnd1/Nrp1/Mmrn2/Fgf2/Flt4/Robo4/Pparg/Mef2c/Dll4/Hspa12b",25
