"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005201","extracellular matrix structural constituent","30/664","148/23909",0.202702702702703,7.29882367307066,12.9911871607768,1.0133024618694e-17,8.18748389190472e-15,6.66646356493024e-15,"Fcgbp/Col15a1/Fbn1/Fcgbpl1/Col1a2/Nid1/Lama2/Col1a1/Mfap4/Col6a2/Col6a1/Col5a2/Lama4/Postn/Creld2/Aspn/Col27a1/Col8a2/Dpt/Igfbp6/Mmrn2/Emilin1/Vwf/Ntn1/Col6a5/Sspo/Col14a1/Col5a3/Hmcn2/Fbln5",30
"GO:0019838","growth factor binding","21/664","148/23909",0.141891891891892,5.10917657114946,8.47508752161298,9.27417431760093e-10,3.74676642431078e-07,3.05071523605294e-07,"Flt1/Erbb4/Col1a2/Erbb3/Rps2/Kdr/Pdgfrb/Col1a1/Acvr1c/Col6a1/Pdgfra/Tek/Cd36/Eng/Igfbp6/Nrp1/Flt4/Lrrc32/Igfbp3/Chrdl1/Hap1",21
"GO:0030020","extracellular matrix structural constituent conferring tensile strength","11/664","42/23909",0.261904761904762,9.43054360298336,9.24213260779379,1.36540682403334e-08,3.67749571272979e-06,2.99431321059943e-06,"Col15a1/Col1a2/Col1a1/Col6a2/Col6a1/Col5a2/Col27a1/Col8a2/Col6a5/Col14a1/Col5a3",11
"GO:0005518","collagen binding","14/664","81/23909",0.172839506172839,6.22352372452774,7.95890229555468,4.64419533262764e-08,9.38127457190782e-06,7.63847916550598e-06,"Tnxb/Dpp4/Nid1/Col6a2/Col6a1/Sparcl1/Coch/Lox/Pcolce/Ddr2/Ecm2/Vwf/Itga9/Podn",14
"GO:0019199","transmembrane receptor protein kinase activity","13/664","81/23909",0.160493827160494,5.7789863156329,7.28157603253805,3.44686187214905e-07,5.57012878539287e-05,4.53534456861717e-05,"Flt1/Erbb4/Bmpr1b/Kdr/Pdgfrb/Acvr1c/Pdgfra/Tek/Ddr2/Nrp1/Mertk/Tie1/Flt4",13
"GO:0022804","active transmembrane transporter activity","32/664","444/23909",0.0720720720720721,2.59513730598068,5.73416474061454,1.02786013395364e-06,0.00013841849803909,0.00011270396205632,"Slc9a2/Slc5a1/Slc38a1/Slc18a1/Slc16a10/Atp12a/Slc25a30/Slc7a8/Atp2b4/Atp6v1c2/Slco4c1/Slc44a4/Slc22a1/Slc46a3/Atp6v0e2/Slc15a2/Slc25a23/Abcb1a/Slc30a2/Slc6a4/Slc37a4/Slc37a1/Abca5/Slc28a3/Slc9a7/Abcg5/Slco1a5/Abcc9/Atp1a2/Atp1b2/Slc10a5/Abca9",32
"GO:0004714","transmembrane receptor protein tyrosine kinase activity","11/664","64/23909",0.171875,6.18879423945783,7.02503772522497,1.36243131305659e-06,0.000157263500135675,0.000128048055738402,"Flt1/Erbb4/Kdr/Pdgfrb/Pdgfra/Tek/Ddr2/Nrp1/Mertk/Tie1/Flt4",11
"GO:0005516","calmodulin binding","19/664","204/23909",0.0931372549019608,3.35364251122136,5.70593068407117,4.57874731143404e-06,0.000431058925010952,0.000350979453011784,"Unc13b/Ace/Ceacam1/Ceacam2/Esrrg/Myo5c/Myh14/Atp2b4/Camsap3/Iqgap2/Basp1/Sntb1/Cacna1a/Syt1/Cth/Kcnn3/Phkg1/Rasgrf2/Pde1a",19
"GO:0005539","glycosaminoglycan binding","21/664","243/23909",0.0864197530864197,3.11176186226387,5.59212070625161,4.8013989172012e-06,0.000431058925010952,0.000350979453011784,"Fbn1/Tnxb/Vit/Liph/Adgre5/Crispld2/Gpnmb/Dpysl3/Postn/Adamts5/Pcolce/Lpl/Eng/Ecm2/Nrp1/Fgf2/Adamts15/Rspo3/Slit3/Col5a3/Egflam",21
"GO:1901681","sulfur compound binding","23/664","290/23909",0.0793103448275862,2.85576963024512,5.37382101139779,7.23145155237922e-06,0.000584301285432241,0.000475753391603896,"Fbn1/Tnxb/Liph/Adgre5/Cd34/Crispld2/Gpnmb/Dpysl3/Postn/Gstm1/Adamts5/Sult1a1/Pcolce/Lpl/Ecm2/Nrp1/Gnmt/Gstm7/Fgf2/Adamts15/Rspo3/Slit3/Col5a3",23
"GO:0048407","platelet-derived growth factor binding","5/664","12/23909",0.416666666666667,15.0031375502008,8.20040258881999,1.09613918708024e-05,0.000805164057418938,0.000655585638205884,"Col1a2/Pdgfrb/Col1a1/Col6a1/Pdgfra",5
"GO:0005178","integrin binding","15/664","148/23909",0.101351351351351,3.64941183653533,5.46435442883712,1.67272812672521e-05,0.00112630360532831,0.000917065858950226,"Lcp1/Fbn1/Kdr/Igf1/Gpnmb/S1pr3/Itgbl1/Slc6a4/Jam2/Fgf2/Emilin1/Vwf/Itga9/Gfra1/Fbln5",15
"GO:0008201","heparin binding","16/664","171/23909",0.0935672514619883,3.36912562530825,5.25478523184002,2.41050800237818e-05,0.00149822343532429,0.00121989271375414,"Fbn1/Tnxb/Liph/Crispld2/Gpnmb/Postn/Adamts5/Pcolce/Lpl/Ecm2/Nrp1/Fgf2/Adamts15/Rspo3/Slit3/Col5a3",16
"GO:0044325","transmembrane transporter binding","16/664","184/23909",0.0869565217391304,3.13108957569408,4.90454127402343,5.88792500882132e-05,0.00339817386223402,0.00276688205301754,"Trf/Cdh5/Herpud1/Ank2/Pirt/Lrrc26/Sh3gl2/Gstm7/Cntnap2/Dynlt1b/Tcaf3/Abcc9/Kcnip3/Tspan18/Kcnb1/Hap1",16
"GO:0015291","secondary active transmembrane transporter activity","21/664","296/23909",0.0709459459459459,2.55458828557473,4.54858747113193,9.07244274137989e-05,0.0048870224900233,0.00397914155323679,"Slc9a2/Slc5a1/Slc38a1/Slc18a1/Slc16a10/Slc25a30/Slc7a8/Slco4c1/Slc44a4/Slc22a1/Slc46a3/Slc15a2/Slc25a23/Slc30a2/Slc6a4/Slc37a4/Slc37a1/Slc28a3/Slc9a7/Slco1a5/Slc10a5",21
"GO:0015101","organic cation transmembrane transporter activity","10/664","83/23909",0.120481927710843,4.33825664102192,5.14901417137945,0.000100073994236473,0.00489292021596917,0.00398394363598324,"Slc38a1/Slc16a10/Slc7a2/Slc7a8/Slc44a4/Slc22a1/Flvcr2/Slc22a21/Slc7a7/AU018091",10
"GO:0003779","actin binding","28/664","461/23909",0.0607375271149675,2.18700833703578,4.34952886427958,0.000103895909870456,0.00489292021596917,0.00398394363598324,"Lcp1/Syne1/Ace/Ceacam1/Ceacam2/Scnn1a/Mlph/Myo5c/Myh14/Daam2/Cgn/Camsap3/Sptb/Iqgap2/Shroom1/Cacnb2/Limch1/Wipf3/Sntb1/Dixdc1/Slc6a4/Micall2/Parvb/Rcsd1/Pdlim3/Shank3/Klhl3/Tmod2",28
"GO:0050839","cell adhesion molecule binding","25/664","392/23909",0.0637755102040816,2.29639860462257,4.37402757726881,0.000113147753803045,0.00489292021596917,0.00398394363598324,"Pkp2/Lcp1/Fbn1/Epcam/Cldn7/Ptprj/Ptprb/Kdr/Cldn3/Igf1/Gpnmb/Cdh5/Postn/Ptprt/S1pr3/Itgbl1/Slc6a4/Jam2/Fgf2/Emilin1/Nectin4/Vwf/Itga9/Gfra1/Fbln5",25
"GO:0008514","organic anion transmembrane transporter activity","20/664","279/23909",0.0716845878136201,2.58118495487326,4.48997375200182,0.000115056292207196,0.00489292021596917,0.00398394363598324,"Slc38a1/Ceacam1/Ceacam2/Slc16a10/Slc7a4/Slc7a2/Slc7a8/Slco4c1/Slc44a4/Slc22a1/Slc25a23/Abcb1a/Cd36/Slc37a4/Slc37a1/Slc43a3/Slco1a5/Slc7a7/AU018091/Slc10a5",20
"GO:0019911","structural constituent of myelin sheath","4/664","11/23909",0.363636363636364,13.0936473165389,6.78053171157981,0.000166497172828016,0.00672648578225185,0.00547688068513211,"Mal/Mal2/Cmtm8/Pllp",4
"GO:0031404","chloride ion binding","4/664","12/23909",0.333333333333333,12.0025100401606,6.44319971102172,0.000244265063306623,0.00939045460192279,0.00764595378608878,"Ace/Amy1/Npr3/Nudt16",4
"GO:0005319","lipid transporter activity","15/664","188/23909",0.0797872340425532,2.87294123301718,4.35740037732734,0.000256873925055021,0.00939045460192279,0.00764595378608878,"Ceacam1/Ceacam2/Atp8a1/Gramd1b/Slc22a1/Ano9/Abcb1a/Cd36/Abca5/Slc43a3/Abcg5/Slco1a5/Slc10a5/Spns2/Abca9",15
"GO:0042626","ATPase-coupled transmembrane transporter activity","11/664","111/23909",0.0990990990990991,3.56831379572343,4.58384825191028,0.000267302544361664,0.00939045460192279,0.00764595378608878,"Atp12a/Atp2b4/Atp6v1c2/Atp6v0e2/Abcb1a/Abca5/Abcg5/Abcc9/Atp1a2/Atp1b2/Abca9",11
"GO:0004115","3',5'-cyclic-AMP phosphodiesterase activity","5/664","22/23909",0.227272727272727,8.1835295728368,5.69717169092116,0.000289393045149123,0.00974289918668713,0.00793292338676324,"Pde3a/Pde9a/Pde2a/Pde8b/Pde1a",5
"GO:0030695","GTPase regulator activity","26/664","451/23909",0.057649667405765,2.07582213554885,3.89828999982477,0.000405263084969637,0.0128737166650462,0.0104821168781317,"Egf/Chn2/Arfgef3/Prex2/Spata13/Rgs5/Mcf2l/Pdgfrb/Rgl1/Iqgap2/Tbc1d30/Stard8/Deptor/Ngef/Rasgrf1/Nrp1/Prex1/Fgd5/Arhgap28/Rgs4/Arhgef38/Rasgrp1/Arhgef15/Dennd3/Rasgrf2/Prr5",26
"GO:0060589","nucleoside-triphosphatase regulator activity","26/664","452/23909",0.0575221238938053,2.07122960870029,3.8860325994369,0.000419023498978707,0.0128737166650462,0.0104821168781317,"Egf/Chn2/Arfgef3/Prex2/Spata13/Rgs5/Mcf2l/Pdgfrb/Rgl1/Iqgap2/Tbc1d30/Stard8/Deptor/Ngef/Rasgrf1/Nrp1/Prex1/Fgd5/Arhgap28/Rgs4/Arhgef38/Rasgrp1/Arhgef15/Dennd3/Rasgrf2/Prr5",26
"GO:0046873","metal ion transmembrane transporter activity","26/664","453/23909",0.0573951434878587,2.06665735790846,3.87380670074598,0.000433193379912609,0.0128737166650462,0.0104821168781317,"Slc9a2/Slc5a1/Slc38a1/Mcoln2/Slc18a1/Scnn1a/Atp12a/Atp2b4/Cacnb2/Slc22a1/Ano9/Slc46a3/Slc30a2/Slc6a4/Lrrc26/Aqp1/Slc28a3/Slc9a7/Cacna1a/Abcc9/Kcnip3/Atp1a2/Atp1b2/Kcnb1/Kcnn3/Slc10a5",26
"GO:0047555","3',5'-cyclic-GMP phosphodiesterase activity","5/664","24/23909",0.208333333333333,7.5015687751004,5.38582263287744,0.000446118894333284,0.0128737166650462,0.0104821168781317,"Pde3a/Pde9a/Pde2a/Pde8b/Pde1a",5
"GO:0005161","platelet-derived growth factor receptor binding","4/664","14/23909",0.285714285714286,10.2878657487091,5.87512779401975,0.000472546323740721,0.0131428658339473,0.0107012651722474,"Ptprj/Pdgfrb/Pdgfra/Pdgfd",4
"GO:0072341","modified amino acid binding","11/664","119/23909",0.092436974789916,3.32842715399413,4.30357923194408,0.00048797769185448,0.0131428658339473,0.0107012651722474,"Gsdma/Gramd1b/Syt10/Gstm1/Scarb1/Anxa13/Gnmt/Gstm7/Syt1/Mme/Cavin2",11
"GO:0004114","3',5'-cyclic-nucleotide phosphodiesterase activity","5/664","25/23909",0.2,7.20150602409639,5.24329787547835,0.00054499944799624,0.0137612360619051,0.0112047583880806,"Pde3a/Pde9a/Pde2a/Pde8b/Pde1a",5
"GO:0005112","Notch binding","5/664","25/23909",0.2,7.20150602409639,5.24329787547835,0.00054499944799624,0.0137612360619051,0.0112047583880806,"Notch4/Dner/Chac1/Egfl7/Dll4",5
"GO:0005085","guanyl-nucleotide exchange factor activity","16/664","225/23909",0.0711111111111111,2.56053547523427,3.97491884936223,0.000587421119401175,0.0143829171053379,0.0117109473564828,"Egf/Arfgef3/Prex2/Spata13/Mcf2l/Rgl1/Deptor/Ngef/Rasgrf1/Prex1/Fgd5/Arhgef38/Rasgrp1/Arhgef15/Dennd3/Rasgrf2",16
