"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0090068","positive regulation of cell cycle process","34/407","277/25730",0.122743682310469,7.7596927416422,14.3399762529636,2.08168340860226e-20,8.17685242898966e-17,6.2494327171933e-17,"Camk2b/Ncapd2/Ccnd2/Gja1/Chek1/Wnt4/Nusap1/Gpsm2/Kif23/Ccn2/Racgap1/Tbx2/Adamts1/E2f8/Aurkb/Edn1/Msx2/Mad2l1/Ncapg/Kif14/Cdc20/Rrm2/Ska1/Ndc80/Cdc25c/Ube2c/E2f7/Wnt5a/Incenp/Ncaph/Cdc7/Cenpe/Fam83d/Smc2",34
"GO:0045787","positive regulation of cell cycle","35/407","357/25730",0.0980392156862745,6.19790913908561,12.5379912542901,8.26059507358839e-18,1.62238087245276e-14,1.23995879736179e-14,"Smoc2/Camk2b/Ncapd2/Ccnd2/Gja1/Chek1/Wnt4/Nusap1/Gpsm2/Kif23/Ccn2/Racgap1/Tbx2/Adamts1/E2f8/Aurkb/Edn1/Msx2/Mad2l1/Ncapg/Kif14/Cdc20/Rrm2/Ska1/Ndc80/Cdc25c/Ube2c/E2f7/Wnt5a/Incenp/Ncaph/Cdc7/Cenpe/Fam83d/Smc2",35
"GO:0000280","nuclear division","38/407","467/25730",0.0813704496788009,5.14413186790061,11.4577838805679,1.61286817907392e-16,2.11178206913411e-13,1.61400001639257e-13,"Camk2b/Mki67/Ncapd2/Gja1/Chek1/Wnt4/Nusap1/Nuf2/Aspm/Kif23/Racgap1/Knstrn/Fgfr3/Aurkb/Edn1/Msx2/Cdkn1c/Kif4/Mad2l1/Ncapg/Kif14/Kif11/Cdc20/Ska1/Ndc80/Brip1/Ube2c/Plk1/Kif22/Wnt5a/Incenp/Ncaph/Kif15/Cenpe/Smc2/Lif/Ccnb2/Top2a",38
"GO:0140014","mitotic nuclear division","28/407","281/25730",0.099644128113879,6.29936957339093,11.3238233960361,1.16400647417624e-14,1.14305435764107e-11,8.73617490618591e-12,"Mki67/Ncapd2/Chek1/Nusap1/Nuf2/Kif23/Racgap1/Knstrn/Fgfr3/Aurkb/Edn1/Cdkn1c/Kif4/Mad2l1/Ncapg/Kif14/Kif11/Cdc20/Ska1/Ndc80/Ube2c/Plk1/Kif22/Incenp/Ncaph/Kif15/Cenpe/Smc2",28
"GO:0000070","mitotic sister chromatid segregation","23/407","189/25730",0.121693121693122,7.69327769327769,11.7085166457074,4.06999817699478e-14,3.1973905678471e-11,2.44371258963981e-11,"Ncapd2/Nusap1/Nuf2/Kif23/Racgap1/Knstrn/Aurkb/Kif4/Mad2l1/Ncapg/Kif14/Kif11/Cdc20/Ska1/Ndc80/Ube2c/Plk1/Kif22/Incenp/Ncaph/Kif15/Cenpe/Smc2",23
"GO:0051783","regulation of nuclear division","21/407","155/25730",0.135483870967742,8.56511056511057,11.9763474827043,6.16446387081659e-14,4.03566901409459e-11,3.08439490518753e-11,"Camk2b/Mki67/Gja1/Chek1/Wnt4/Nusap1/Nuf2/Fgfr3/Aurkb/Edn1/Msx2/Mad2l1/Cdc20/Ska1/Ndc80/Ube2c/Plk1/Wnt5a/Incenp/Cenpe/Lif",21
"GO:0098813","nuclear chromosome segregation","29/407","326/25730",0.0889570552147239,5.6237470041151,10.6513067327438,7.33761298633367e-14,4.11744911575981e-11,3.14689808075543e-11,"Ncapd2/Nusap1/Nuf2/Aspm/Kif23/Racgap1/Knstrn/Aurkb/Kif4/Mad2l1/Ncapg/Kif14/Cenpf/Kif11/Cdc20/Ska1/Ndc80/Brip1/Ube2c/Plk1/Kif22/Incenp/Ncaph/Kif15/Cenpe/Fam83d/Smc2/Ccnb2/Top2a",29
"GO:0007059","chromosome segregation","33/407","438/25730",0.0753424657534247,4.76305072195483,10.0701658099832,1.5151110584517e-13,7.43919529699787e-11,5.68565360355824e-11,"Mki67/Ncapd2/Nusap1/Nuf2/Gpsm2/Aspm/Kif23/Racgap1/Knstrn/Aurkb/Kif4/Mad2l1/Ncapg/Kif14/Cenpf/Dlgap5/Kif11/Cdc20/Diaph3/Ska1/Ndc80/Brip1/Ube2c/Plk1/Kif22/Incenp/Ncaph/Kif15/Cenpe/Fam83d/Smc2/Ccnb2/Top2a",33
"GO:0000819","sister chromatid segregation","24/407","229/25730",0.104803493449782,6.62553780457711,10.8406235568812,3.16832579642065e-13,1.38279819203781e-10,1.05684972764815e-10,"Ncapd2/Nusap1/Nuf2/Kif23/Racgap1/Knstrn/Aurkb/Kif4/Mad2l1/Ncapg/Kif14/Kif11/Cdc20/Ska1/Ndc80/Ube2c/Plk1/Kif22/Incenp/Ncaph/Kif15/Cenpe/Smc2/Top2a",24
"GO:0051304","chromosome separation","15/407","87/25730",0.172413793103448,10.8997712445988,11.726042128125,7.01913544396133e-12,2.75711640238801e-09,2.10721834591344e-09,"Ncapd2/Nuf2/Aurkb/Mad2l1/Ncapg/Cdc20/Ska1/Ndc80/Ube2c/Plk1/Incenp/Ncaph/Cenpe/Smc2/Top2a",15
