"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000775","chromosome, centromeric region","24/414","286/25856",0.0839160839160839,5.24090402351272,9.19968408470931,4.80136438617954e-11,1.64686798445958e-08,1.36459829922997e-08,"Mki67/Ncapd2/Nuf2/H2ac4/H2ac7/Knstrn/H4c6/H2ac15/H2ac11/Aurkb/Mad2l1/Ncapg/Cenpf/Cdc20/Ska1/Ndc80/H2ac22/Plk1/H2ac8/Incenp/H2ac13/Cenpe/Mis18bp1/Top2a",24
"GO:0031012","extracellular matrix","30/414","478/25856",0.0627615062761506,3.91971378327573,8.21906375602089,2.48845727371901e-10,3.14432486704306e-08,2.60539424306161e-08,"Smoc2/Gsto1/Adamts9/Col8a1/Thbs2/Ltbp1/Mmp15/Ptn/Wnt4/Serpinh1/Wnt6/Col16a1/Col17a1/Col7a1/Megf6/Matn2/Ccn2/Alpl/F3/Fn1/Adamts1/Vcan/Vwa2/Igfbp7/Phospho1/Reg3g/Fbln1/Emid1/Wnt5a/Adamtsl3",30
"GO:0030312","external encapsulating structure","30/414","480/25856",0.0625,3.90338164251208,8.19049180058228,2.75013836767615e-10,3.14432486704306e-08,2.60539424306161e-08,"Smoc2/Gsto1/Adamts9/Col8a1/Thbs2/Ltbp1/Mmp15/Ptn/Wnt4/Serpinh1/Wnt6/Col16a1/Col17a1/Col7a1/Megf6/Matn2/Ccn2/Alpl/F3/Fn1/Adamts1/Vcan/Vwa2/Igfbp7/Phospho1/Reg3g/Fbln1/Emid1/Wnt5a/Adamtsl3",30
"GO:0000786","nucleosome","16/414","135/25856",0.118518518518519,7.40196815172661,9.5133458689018,5.68438886022007e-10,4.87436344763871e-08,4.03890787436689e-08,"H2ac10/H3c2/H3c7/H3c3/H2bc3/H2ac4/H2ac7/H4c6/H2ac15/H2ac11/H2bc12/H2ac22/H2ac8/H2ac13/H3c8/H1f1",16
"GO:0072686","mitotic spindle","18/414","192/25856",0.09375,5.85507246376812,8.6135261159479,2.24470051613335e-09,1.1630478102268e-07,9.63703878352728e-08,"Nusap1/Gpsm2/Aspm/Kif23/Racgap1/Ckap2l/Knstrn/Ckap2/Aurkb/Mad2l1/Dlgap5/Kif11/Ska1/Plk1/Kif22/Cdc7/Cenpe/Fam83d",18
"GO:0043505","CENP-A containing nucleosome","8/414","24/25856",0.333333333333333,20.8180354267311,12.3903627909847,2.37356695964653e-09,1.1630478102268e-07,9.63703878352728e-08,"H2ac4/H2ac7/H4c6/H2ac15/H2ac11/H2ac22/H2ac8/H2ac13",8
"GO:0061638","CENP-A containing chromatin","8/414","24/25856",0.333333333333333,20.8180354267311,12.3903627909847,2.37356695964653e-09,1.1630478102268e-07,9.63703878352728e-08,"H2ac4/H2ac7/H4c6/H2ac15/H2ac11/H2ac22/H2ac8/H2ac13",8
"GO:0034506","chromosome, centromeric core domain","8/414","25/25856",0.32,19.9853140096618,12.1147371746833,3.44191830428959e-09,1.47572247296416e-07,1.22278676599762e-07,"H2ac4/H2ac7/H4c6/H2ac15/H2ac11/H2ac22/H2ac8/H2ac13",8
"GO:0098687","chromosomal region","25/414","413/25856",0.0605326876513317,3.78051490800201,7.26629310468085,1.65045260147245e-08,6.29005824783391e-07,5.21195558359723e-07,"Mki67/Ncapd2/Chek1/Nuf2/H2ac4/H2ac7/Knstrn/H4c6/H2ac15/H2ac11/Aurkb/Mad2l1/Ncapg/Cenpf/Cdc20/Ska1/Ndc80/H2ac22/Plk1/H2ac8/Incenp/H2ac13/Cenpe/Mis18bp1/Top2a",25
"GO:0005819","spindle","26/414","447/25856",0.058165548098434,3.63267732278529,7.16233161589018,1.91180274352793e-08,6.55748341030081e-07,5.43354463950044e-07,"Camk2b/Nusap1/Gpsm2/Aspm/Kif23/Racgap1/Ckap2l/Knstrn/Ckap2/Aurkb/Mad2l1/Kif14/Cenpf/Dlgap5/Kif11/Shcbp1/Cdc20/Diaph3/Ska1/Plk1/Kif22/Incenp/Cdc7/Kif15/Cenpe/Fam83d",26
