"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030527","structural constituent of chromatin","16/404","97/23909",0.164948453608247,9.7617638052465,11.336047319529,7.4902334790364e-12,4.9585345631221e-09,4.24183748602272e-09,"H2ac10/H3c2/H3c7/H3c3/H2bc3/H2ac4/H2ac7/H4c6/H2ac15/H2ac11/H2bc12/H2ac22/H2ac8/H2ac13/H3c8/H1f1",16
"GO:0008017","microtubule binding","22/404","282/23909",0.0780141843971631,4.61693350186082,8.0101927396897,3.24180353958651e-09,1.07303697160314e-06,9.1794226541976e-07,"Clip4/Gjb6/Nusap1/Nuf2/Kif23/Racgap1/Knstrn/Kif4/Kif14/Cenpf/Dlgap5/Kif11/Diaph3/Ska1/Ndc80/Plk1/Kif22/Kif21b/Kif15/Cenpe/Fam83d/Gas2l3",22
"GO:0046982","protein heterodimerization activity","25/404","372/23909",0.0672043010752688,3.97719711487278,7.58727253306285,5.80501524064862e-09,1.28097336310313e-06,1.09582392963823e-06,"Tenm4/H2ac10/Bhlhe41/Tfe3/H3c2/Jdp2/Pik3r1/H3c7/H3c3/H2bc3/P2ry1/H2ac4/H2ac7/H4c6/H2ac15/H2ac11/H2bc12/Hif1a/Gpha2/H2ac22/H2ac8/H2ac13/Nr4a2/H3c8/Top2a",25
"GO:0015631","tubulin binding","25/404","397/23909",0.0629722921914358,3.72674389605207,7.18252249510348,2.11547541318861e-08,3.50111180882716e-06,2.9950678218302e-06,"Clip4/Gjb6/Slc6a2/Gja1/Nusap1/Nuf2/Kif23/Racgap1/Knstrn/Ttll7/Kif4/Kif14/Cenpf/Dlgap5/Kif11/Diaph3/Ska1/Ndc80/Plk1/Kif22/Kif21b/Kif15/Cenpe/Fam83d/Gas2l3",25
"GO:0003777","microtubule motor activity","8/404","65/23909",0.123076923076923,7.28377760853008,6.65074208822167,1.34959165022926e-05,0.00178685934490354,0.00152859012173335,"Kif23/Kif4/Kif14/Kif11/Kif22/Kif21b/Kif15/Cenpe",8
"GO:0005201","extracellular matrix structural constituent","11/404","148/23909",0.0743243243243243,4.39856502542146,5.43721194960245,4.51814213573255e-05,0.00427287156264993,0.00365527890078814,"Col8a1/Ltbp1/Col16a1/Col17a1/Col7a1/Matn2/Fn1/Vcan/Igfbp7/Fbln1/Emid1",11
"GO:0019838","growth factor binding","11/404","148/23909",0.0743243243243243,4.39856502542146,5.43721194960245,4.51814213573255e-05,0.00427287156264993,0.00365527890078814,"Ntrk2/Igfbp5/Ltbp1/Il1r2/Ptn/Cntfr/Ntrk3/Igfbp4/Fgfr3/Tsku/Igfbp7",11
"GO:0042887","amide transmembrane transporter activity","6/404","41/23909",0.146341463414634,8.66058922965467,6.43618127796393,6.1148304436021e-05,0.00506002219208074,0.0043286562877078,"Abcc5/Gja1/Slco3a1/Abcg2/Slc14a1/Slc25a42",6
"GO:1901682","sulfur compound transmembrane transporter activity","7/404","63/23909",0.111111111111111,6.57563256325632,5.80950097754318,9.14894816003816e-05,0.00672955964660585,0.00575688200011758,"Abcc5/Gja1/Slc43a2/Slc1a4/Abcg2/Slc6a6/Slc25a42",7
"GO:0003774","cytoskeletal motor activity","9/404","113/23909",0.079646017699115,4.71350652764391,5.18744627235041,0.000130514280718979,0.00864004538359641,0.00739122979229586,"Myo7a/Kif23/Kif4/Kif14/Kif11/Kif22/Kif21b/Kif15/Cenpe",9
"GO:0120544","polypeptide conformation or assembly isomerase activity","9/404","117/23909",0.0769230769230769,4.5523610053313,5.04982964786247,0.000170193903952448,0.01024257858332,0.00876213591640353,"Myo7a/Kif23/Kif4/Kif14/Kif11/Kif22/Kif21b/Kif15/Cenpe",9
"GO:0015562","efflux transmembrane transporter activity","4/404","18/23909",0.222222222222222,13.1512651265126,6.76118413216834,0.000203699378368116,0.010881668525425,0.00930885302381718,"Abcc5/Gja1/Abcg2/Abcb5",4
"GO:0005125","cytokine activity","13/404","237/23909",0.0548523206751055,3.24619835401262,4.55603424723958,0.000213688354728889,0.010881668525425,0.00930885302381718,"Il33/Wnt4/Wnt10a/Wnt6/Bmp3/Edn1/Wnt7b/Hc/Wnt5a/Inhbb/Cxcl14/Lif/Ccl20",13
