"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000280","nuclear division","60/739","467/25730",0.12847965738758,4.47331743515892,13.0257371763498,1.91511339663925e-22,4.24701931422542e-19,3.1509215845446e-19,"Chek1/Ube2c/Il1a/Hspa2/Mki67/Fanca/Ccnb2/Ncapg/Kif22/Ncaph/Nuf2/Aurkb/Cdc20/Plk1/Kif4/Incenp/Brip1/Nusap1/Kif23/Kif11/Knstrn/Cks2/Tnf/Btc/Zwilch/Aurka/Racgap1/Tex15/Chtf18/Aspm/Cdca8/Cenpi/Birc5/Aaas/Ccnb1ip1/Pttg1/Smc2/Il1b/Spc25/Spc24/Kif15/Trip13/Cit/Cdt1/Fbxo5/Kifc1/Spag5/Rad51/Ttk/Kif14/Ndc80/Sgo1/Misp/Fancd2/Rad54b/Sgo2a/Espl1/Uhrf1/Nek2/Cenps",60
"GO:0007059","chromosome segregation","58/739","438/25730",0.132420091324201,4.6105127872418,13.1055789662142,2.18270930480154e-22,4.24701931422542e-19,3.1509215845446e-19,"Dlgap5/Ube2c/Tacc3/Mki67/Ccnb2/Ncapg/Kif22/Ncaph/Nuf2/Aurkb/Cdc20/Plk1/Kif4/Incenp/Brip1/Nusap1/Kif23/Kif11/Knstrn/Zwilch/Fam83d/Aurka/Racgap1/Tex15/Chtf18/Aspm/Cdca8/Cenpi/Birc5/Aaas/Ccnb1ip1/Pttg1/Smc2/Cenpm/Cenpn/Cdc6/Cenph/Spc25/Spc24/Kif15/Trip13/Cit/Cdt1/Fbxo5/Kifc1/Spag5/Ttk/Kif14/Dsn1/Ndc80/Sgo1/Misp/Fancd2/Sgo2a/Espl1/Uhrf1/Nek2/Cenps",58
"GO:0098813","nuclear chromosome segregation","50/739","326/25730",0.153374233128834,5.34007986252356,13.5611751307358,2.77764507143585e-22,4.24701931422542e-19,3.1509215845446e-19,"Ube2c/Tacc3/Ccnb2/Ncapg/Kif22/Ncaph/Nuf2/Aurkb/Cdc20/Plk1/Kif4/Incenp/Brip1/Nusap1/Kif23/Kif11/Knstrn/Zwilch/Fam83d/Aurka/Racgap1/Tex15/Aspm/Cdca8/Cenpi/Birc5/Aaas/Ccnb1ip1/Pttg1/Smc2/Cdc6/Spc25/Spc24/Kif15/Trip13/Cit/Cdt1/Fbxo5/Kifc1/Spag5/Ttk/Kif14/Dsn1/Ndc80/Sgo1/Misp/Fancd2/Espl1/Uhrf1/Nek2",50
"GO:0000070","mitotic sister chromatid segregation","37/739","189/25730",0.195767195767196,6.81608923828139,13.800183791938,1.7185305937208e-20,1.97072495834932e-17,1.46210773934193e-17,"Ube2c/Ncapg/Kif22/Ncaph/Nuf2/Aurkb/Cdc20/Plk1/Kif4/Incenp/Nusap1/Kif23/Kif11/Knstrn/Zwilch/Racgap1/Cdca8/Cenpi/Birc5/Aaas/Smc2/Spc25/Spc24/Kif15/Trip13/Cit/Cdt1/Fbxo5/Kifc1/Spag5/Ttk/Kif14/Ndc80/Misp/Espl1/Uhrf1/Nek2",37
"GO:0140014","mitotic nuclear division","44/739","281/25730",0.156583629893238,5.45182245893508,12.9032018339166,4.13881550326426e-20,3.79694934269463e-17,2.8170085309586e-17,"Chek1/Ube2c/Il1a/Mki67/Ncapg/Kif22/Ncaph/Nuf2/Aurkb/Cdc20/Plk1/Kif4/Incenp/Nusap1/Kif23/Kif11/Knstrn/Tnf/Btc/Zwilch/Aurka/Racgap1/Cdca8/Cenpi/Birc5/Aaas/Smc2/Il1b/Spc25/Spc24/Kif15/Trip13/Cit/Cdt1/Fbxo5/Kifc1/Spag5/Ttk/Kif14/Ndc80/Misp/Espl1/Uhrf1/Nek2",44
"GO:0000819","sister chromatid segregation","39/739","229/25730",0.170305676855895,5.9295873687445,12.8852117257033,2.79248386578065e-19,2.13485391538931e-16,1.58387725229278e-16,"Ube2c/Tacc3/Ncapg/Kif22/Ncaph/Nuf2/Aurkb/Cdc20/Plk1/Kif4/Incenp/Nusap1/Kif23/Kif11/Knstrn/Zwilch/Racgap1/Cdca8/Cenpi/Birc5/Aaas/Smc2/Cdc6/Spc25/Spc24/Kif15/Trip13/Cit/Cdt1/Fbxo5/Kifc1/Spag5/Ttk/Kif14/Ndc80/Misp/Espl1/Uhrf1/Nek2",39
"GO:0042742","defense response to bacterium","48/739","430/25730",0.111627906976744,3.88658463668691,10.3800660849641,1.02666209915798e-15,6.72757006976809e-13,4.99127603996655e-13,"Sprr2a3/Wfdc18/Krt6a/Ivl/Slc15a2/Wfdc2/Gsdmc2/Nlrp10/Gsdmc3/Naip6/Pglyrp1/Stab1/Reg3g/S100a14/Oas1a/Lgals9/Gsdmc4/Oas1g/Isg15/Syk/Evpl/Tlr2/Ltf/Cxcl5/Slpi/Tnf/Oas2/Bcl3/Colec12/Naip5/Iigp1/Clec4e/Mpeg1/Il22ra1/Il1b/Naip2/Cxcl13/Gbp3/Rnf213/Gbp5/Igtp/Gbp6/Irgm1/Gbp9/Nod2/Gbp2/Hp/Mmp7",48
"GO:0009615","response to virus","48/739","443/25730",0.108352144469526,3.77253136292409,10.1221211698716,3.28226035259046e-15,1.88196602966656e-12,1.39625627893749e-12,"Clu/Oasl2/Ifit3b/Mst1r/Ifit1bl1/Parp9/Oasl1/Dhx58/Oas1a/Dtx3l/Stat2/Lgals9/Mlkl/Bst2/Slfn8/Oas1g/Ifit1/Isg15/Mx2/Rsad2/Ifit3/Ddit4/Mx1/Rtp4/Trim30a/Rigi/Ifi44/Pmaip1/Usp18/Tnf/Oas2/Bcl3/Cxcl9/Cgas/Ifitm1/Il1b/Tgtp1/Ddx60/Slfn9/Gbp5/Igtp/Rnf135/Stat1/Irgm1/Nlrc5/Mapk11/Ptprc/Gbp2",48
"GO:0090068","positive regulation of cell cycle process","37/739","277/25730",0.133574007220217,4.65068904705842,10.5047832066267,7.769710067118e-15,3.95996223087447e-12,2.9379500171921e-12,"Anxa1/Chek1/Gipc1/Kif20b/Ube2c/Il1a/Hspa2/Ncapg/Ncaph/Aurkb/Fen1/Cdc20/Incenp/Nusap1/Sox15/Kif23/Tnf/Btc/Cdc25c/Fam83d/Racgap1/Dtl/Cdca8/Birc5/E2f7/Smc2/Il1b/Cdc6/Cenpv/Cit/Fbxo5/Spag5/Kif14/E2f8/Dyrk3/Ndc80/Sgo2a",37
"GO:1903046","meiotic cell cycle process","34/739","251/25730",0.135458167330677,4.71629045388136,10.174127516963,6.39783875969579e-14,2.93468863907246e-11,2.17728554843121e-11,"Hspa2/Fanca/Ccnb2/Ncaph/Nuf2/Cdc20/Plk1/Incenp/Brip1/Mcm6/Cks2/Cdc25c/Aurka/Tex15/Chtf18/Aspm/Birc5/Ccnb1ip1/Pttg1/Mcm2/Smc2/Trip13/Fbxo5/Rad51/Ttk/Ndc80/Sgo1/Fancd2/Rad54b/Sgo2a/Mcm3/Espl1/Cenps/Mcm5",34
