"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","mmu04518","Integrin signaling","18/237","153/11213",0.117647058823529,5.56614544551998,8.35625262930656,3.4380448781626e-09,9.21396027347576e-07,6.76751991806743e-07,"12828/12829/18590/12444/16001/23928/109700/104099/16773/242022/16772/15234/18654/19699/16000/18595/665033/329278",18
"Environmental Information Processing","Signal transduction","mmu04151","PI3K-Akt signaling pathway","27/237","368/11213",0.0733695652173913,3.47127820583379,7.08311737646024,1.60011824216747e-08,2.14415844450442e-06,1.57485321729115e-06,"16367/12828/12829/18590/12444/16001/23928/109700/104099/16773/16772/15234/18654/19699/17869/13869/16000/14164/16002/16193/18595/13874/665033/50791/18205/11876/329278",27
"Cellular Processes","Cellular community - eukaryotes","mmu04510","Focal adhesion","19/237","202/11213",0.0940594059405941,4.4501608388687,7.27101956353519,5.11639478485312e-08,4.57064600780212e-06,3.35707306935976e-06,"12828/12829/18590/12444/16001/23928/109700/104099/16773/16772/15234/18654/19699/107589/16000/26414/18595/665033/329278",19
"Environmental Information Processing","Signaling molecules and interaction","mmu04512","ECM-receptor interaction","12/237","89/11213",0.134831460674157,6.37917792632627,7.48641833037265,3.39143332201862e-07,2.27226032575248e-05,1.66894218741443e-05,"12828/12829/23928/109700/104099/16773/242022/16772/19699/665033/14723/329278",12
"Human Diseases","Cancer: specific types","mmu05217","Basal cell carcinoma","10/237","63/11213",0.158730158730159,7.50987877570156,7.61376399494761,7.04624064011591e-07,3.77678498310213e-05,2.77399368358247e-05,"12159/21415/12006/17873/20423/22420/22416/16842/22414/15245",10
"Environmental Information Processing","Signal transduction","mmu04310","Wnt signaling pathway","15/237","179/11213",0.0837988826815642,3.96471253801004,5.8753843767131,5.7706142145018e-06,0.00025775410158108,0.000189316641774006,"18795/12444/494504/21415/12006/93960/22420/20319/17869/22416/16842/26414/27412/319478/22414",15
"Human Diseases","Cancer: specific types","mmu05224","Breast cancer","13/237","147/11213",0.0884353741496599,4.18407531789087,5.71005557306431,1.37210282344305e-05,0.000525319366689626,0.000385839440577219,"16001/21415/12006/17873/22420/17869/18667/22416/16000/14164/16842/27412/22414",13
"Human Diseases","Cancer: specific types","mmu05225","Hepatocellular carcinoma","14/237","174/11213",0.0804597701149425,3.80673165526941,5.48282417016691,1.88673438513665e-05,0.000632056019020776,0.000464235960553359,"14862/16001/21415/12006/17873/15234/22420/17869/14859/22416/16002/16842/27412/22414",14
"Environmental Information Processing","Signal transduction","mmu04390","Hippo signaling pathway","13/237","158/11213",0.0822784810126582,3.89277893499973,5.38093919721949,2.96926230081274e-05,0.00088418032957535,0.000649417602633898,"12159/50523/12444/21415/12006/93960/22420/17869/238057/22416/14164/16842/22414",13
"Cellular Processes","Cellular community - eukaryotes","mmu04550","Signaling pathways regulating pluripotency of stem cells","12/237","140/11213",0.0857142857142857,4.05533453887884,5.34544426650849,4.02729506232998e-05,0.00107931507670443,0.000792741238584954,"12159/16001/12006/16880/15903/22420/17869/22416/16000/55994/11481/22414",12
"Human Diseases","Cancer: specific types","mmu05226","Gastric cancer","12/237","150/11213",0.08,3.78497890295359,5.04573864237832,7.91181947719089e-05,0.00180393111691856,0.00132496118956705,"21415/12006/17873/15234/20423/22420/17869/22416/14164/16842/27412/22414",12
"Human Diseases","Cardiovascular disease","mmu05412","Arrhythmogenic right ventricular cardiomyopathy","9/237","86/11213",0.104651162790698,4.9512805416544,5.40495043540406,8.07730350859055e-05,0.00180393111691856,0.00132496118956705,"12293/21415/109700/104099/16773/16772/20392/16842/53313",9
"Environmental Information Processing","Signal transduction","mmu04068","FoxO signaling pathway","11/237","133/11213",0.0827067669172932,3.91304209891818,4.96588170412475,0.000116612935265575,0.00231433445321651,0.00169984502259029,"16367/12444/16001/384783/17873/16000/67731/16193/26414/26557/16153",11
"Organismal Systems","Development and regeneration","mmu04360","Axon guidance","13/237","181/11213",0.0718232044198895,3.39811641839756,4.77942985012552,0.000120898068451609,0.00231433445321651,0.00169984502259029,"22066/226251/243743/20423/107449/20564/20315/65254/13841/238057/268902/20563/270190",13
"Environmental Information Processing","Signal transduction","mmu04010","MAPK signaling pathway","17/237","300/11213",0.0566666666666667,2.68102672292546,4.33667459185925,0.000213111046233088,0.00380758402603118,0.00279661513302369,"16180/18590/12293/16001/17873/15234/18654/17869/13869/16000/14164/16002/26414/18595/13874/18205/11876",17
"Environmental Information Processing","Signaling molecules and interaction","mmu04081","Hormone signaling","14/237","220/11213",0.0636363636363636,3.01077867280399,4.42599750790219,0.000239106971741589,0.00400504177667162,0.00294164498129455,"16367/18795/16001/384783/230103/223864/18162/19227/18619/16000/16002/432530/55994/14681",14
"Human Diseases","Cardiovascular disease","mmu05410","Hypertrophic cardiomyopathy","9/237","100/11213",0.09,4.25810126582279,4.80886505045747,0.000258697494034525,0.00407828990595603,0.00299544466776818,"12293/109700/104099/16773/16772/20392/16000/16193/53313",9
"Environmental Information Processing","Signal transduction","mmu04022","cGMP-PKG signaling pathway","12/237","172/11213",0.0697674418604651,3.30085369443627,4.46830377521151,0.000288317827364288,0.00429273209631274,0.00315294934018257,"16367/18795/384783/16531/230103/107589/98660/432530/60596/53313/54611/11941",12
"Human Diseases","Cardiovascular disease","mmu05414","Dilated cardiomyopathy","9/237","103/11213",0.087378640776699,4.13407889885707,4.69531979021215,0.000323129388519159,0.00455782505911234,0.00334765626886885,"12293/109700/104099/16773/16772/20392/16000/432530/53313",9
"Human Diseases","Infectious disease: parasitic","mmu05146","Amoebiasis","9/237","107/11213",0.0841121495327103,3.97953389329232,4.55045739686598,0.000429155303411438,0.00547934340494686,0.00402449810182664,"12828/18795/12829/23928/16773/16772/16193/432530/16153",9
"Cellular Processes","Cell motility","mmu04820","Cytoskeleton in muscle cells","14/237","233/11213",0.0600858369098712,2.84279531337716,4.17683729369771,0.000429351535462254,0.00547934340494686,0.00402449810182664,"12828/12829/13003/14115/109700/104099/16773/16772/20392/14199/373864/98660/665033/380698",14
"Human Diseases","Cancer: specific types","mmu05218","Melanoma","7/237","72/11213",0.0972222222222222,4.59980075011721,4.50273400946229,0.000790096110359352,0.00962480716255937,0.00706928098742578,"18590/16001/17873/15234/16000/14164/18595",7
"Organismal Systems","Endocrine system","mmu04916","Melanogenesis","8/237","100/11213",0.08,3.78497890295359,4.11054986324766,0.00123755197410818,0.0144201708287388,0.0105914059111318,"18795/21415/22420/22416/16842/432530/14681/22414",8
"Human Diseases","Cancer: overview","mmu05205","Proteoglycans in cancer","12/237","204/11213",0.0588235294117647,2.78307272275999,3.77662507647811,0.00131550283972879,0.0146897817103049,0.0107894311854949,"14734/16001/13345/15234/20423/22420/17869/13869/22416/16000/16002/22414",12
"Human Diseases","Drug resistance: antineoplastic","mmu01521","EGFR tyrosine kinase inhibitor resistance","7/237","80/11213",0.0875,4.13982067510548,4.14130676871866,0.00147754726404312,0.0158393066705423,0.0116337405632027,"100042150/18590/16001/15234/16000/16193/18595",7
"Human Diseases","Infectious disease: viral","mmu05165","Human papillomavirus infection","17/237","358/11213",0.0474860335195531,2.24667043820569,3.52266974291329,0.00156563190541745,0.0160284493158841,0.0117726630874718,"12828/12829/12444/21415/12006/23928/109700/104099/16773/16772/22420/19699/22416/140494/665033/22414/329278",17
"Organismal Systems","Nervous system","mmu04730","Long-term depression","6/237","60/11213",0.1,4.73122362869198,4.25818691887465,0.00161480646092862,0.0160284493158841,0.0117726630874718,"18795/16001/14804/16000/60596/14681",6
"Environmental Information Processing","Signal transduction","mmu04015","Rap1 signaling pathway","12/237","214/11213",0.0560747663551402,2.65302259552821,3.58758949856933,0.00197286499282683,0.0188831363599139,0.0138693892352863,"18795/18590/16001/15234/18654/223864/16000/14164/18595/50791/432530/14681",12
"Human Diseases","Cancer: overview","mmu05202","Transcriptional misregulation in cancer","12/237","219/11213",0.0547945205479452,2.59245130339287,3.49706754039265,0.00239089177244755,0.0214395086589158,0.0157470075381667,"14009/18590/12444/16001/17873/16909/17869/235320/16000/16193/18124/18612",12
"Organismal Systems","Digestive system","mmu04970","Salivary secretion","7/237","87/11213",0.0804597701149425,3.80673165526941,3.86175448552828,0.00239994499913236,0.0214395086589158,0.0157470075381667,"18795/16531/98660/77397/432530/60596/11941",7
"Environmental Information Processing","Signal transduction","mmu04350","TGF-beta signaling pathway","8/237","112/11213",0.0714285714285714,3.3794454490657,3.71875340762549,0.0025483275384501,0.0214523865393652,0.0157564661542078,"12159/17965/15903/17869/238057/14264/55994/11481",8
"Human Diseases","Cancer: specific types","mmu05210","Colorectal cancer","7/237","88/11213",0.0795454545454545,3.76347334100499,3.8241971540085,0.00256147898977495,0.0214523865393652,0.0157564661542078,"21415/12006/17873/17869/16842/26414/13874",7
"Environmental Information Processing","Signal transduction","mmu04024","cAMP signaling pathway","12/237","224/11213",0.0535714285714286,2.53458408679928,3.40901789687031,0.00287862624094848,0.0229339172156365,0.0168446289054361,"16526/12326/19218/223864/19013/26414/98660/432530/53313/54611/11941/15245",12
"Organismal Systems","Aging","mmu04211","Longevity regulating pathway","7/237","90/11213",0.0777777777777778,3.67984060009376,3.75070508236776,0.00290952681093896,0.0229339172156365,0.0168446289054361,"16367/12326/16001/384783/16000/432530/19017",7
"Environmental Information Processing","Signal transduction","mmu04020","Calcium signaling pathway","13/237","255/11213",0.0509803921568627,2.41199635972532,3.3514418433017,0.00300184835401969,0.0229855816822079,0.0168825757053137,"18795/18590/12326/19218/15234/107589/13869/14164/18595/432530/18213/53313/11941",13
"Organismal Systems","Nervous system","mmu04724","Glutamatergic synapse","8/237","117/11213",0.0683760683760684,3.23502470337913,3.57096589885122,0.00334102061882309,0.0248720423845719,0.018268153676021,"18795/20512/243961/110637/14809/432530/26557/14681",8
"Human Diseases","Cancer: specific types","mmu05222","Small cell lung cancer","7/237","94/11213",0.074468085106383,3.52325163838765,3.60981789857158,0.00371328162074654,0.0268962020097317,0.0197548695043984,"12828/12829/23928/17873/16773/16772/17869",7
"Human Diseases","Cancer: specific types","mmu05214","Glioma","6/237","75/11213",0.08,3.78497890295359,3.55584320831575,0.00499905493980573,0.0352564927333667,0.025895381544146,"18590/12326/16001/17873/16000/18595",6
"Organismal Systems","Environmental adaptation","mmu04710","Circadian rhythm","4/237","34/11213",0.117647058823529,5.56614544551998,3.91815299113926,0.0054852564788709,0.0376935573419847,0.0276853700822904,"225998/19883/19885/13170",4
