"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000086868",3518.56091571427,4.7600560827947,0.171700590213179,27.72300361277,3.68792976676043e-169,6.99637156052122e-165
"ENSMUSG00000052974",9452.88268314296,4.792048900803,0.174956801441322,27.3898977423303,3.61827365273599e-165,3.43211347330273e-161
"ENSMUSG00000024059",1260.09922404619,6.05504505816561,0.257341057158757,23.5292616149866,2.04719570825567e-122,1.29457832604394e-118
"ENSMUSG00000081684",1656.24531694144,7.88816067833548,0.348628392271471,22.6262715636571,2.38974377970117e-113,1.13339573111777e-109
"ENSMUSG00000026989",712.239121184036,6.16197317632457,0.293278875821627,21.0106273732183,5.24374262523723e-98,1.98958082686751e-94
"ENSMUSG00000020911",9217.24487640644,3.20815131746152,0.155176462869579,20.6742134608254,5.91225963672305e-95,1.86935795947122e-91
"ENSMUSG00000068196",1698.13233437522,5.0261269744203,0.246116550175307,20.4217350309852,1.07188950681957e-92,2.90497369055344e-89
"ENSMUSG00000044041",1950.43339850595,5.08159425270575,0.267929995357105,18.9661267523737,3.24988165595297e-80,7.70668811188548e-77
"ENSMUSG00000050335",517.441378801299,3.60593208462203,0.194873192015121,18.5039925057636,1.91730453518501e-76,4.04146492633275e-73
"ENSMUSG00000034634",1101.54122626465,4.3490730807092,0.238326702001734,18.2483668182408,2.13187828802705e-74,4.04438630021612e-71
"ENSMUSG00000015533",1045.07417026209,4.90274334392121,0.270395203210863,18.1317689282302,1.78910175485211e-73,3.08554994466358e-70
"ENSMUSG00000037379",2161.84993803062,-3.45750673911756,0.193275431676925,-17.8890131514338,1.43629510903488e-71,2.27066287612506e-68
"ENSMUSG00000058354",1037.57243111743,5.42989688784231,0.311383440515174,17.4379757602354,4.24857381254412e-68,6.19997644598266e-65
"ENSMUSG00000019359",574.422616424072,5.44404772771692,0.320466172275884,16.9879013720994,1.00936463364659e-64,1.36776117606496e-61
"ENSMUSG00000017204",396.678981472362,-5.01336174812826,0.301095003344581,-16.6504315662483,3.0042788151627e-62,3.79961156016343e-59
"ENSMUSG00000017897",1402.45976816764,2.66331238450446,0.161198676755987,16.5219246094434,2.55125211361499e-61,3.02498774046187e-58
"ENSMUSG00000025068",5953.64363280644,2.82686396568929,0.174330799913886,16.2155165185136,3.91770080265667e-59,4.37192364277645e-56
