"gene","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000074445","Sprr2a3",580.709060252099,6.37859652128374,0.310862349485258,20.5190385128522,1.45562768307686e-93,2.60076998135343e-89
"ENSMUSG00000050335","Lgals3",517.441378801299,3.87358932750844,0.201328125419142,19.2401797783796,1.70615650137728e-82,1.52419491050539e-78
"ENSMUSG00000000983","Wfdc18",320.191731005321,6.4525765060862,0.38425921558261,16.7922492016304,2.78102623220011e-63,1.65628652302398e-59
"ENSMUSG00000044041","Krt13",1950.43339850595,3.95591559951519,0.261728656217389,15.1145681053337,1.29819444112386e-51,5.79871001989002e-48
"ENSMUSG00000058354","Krt6a",1037.57243111743,4.50181869949806,0.300602262179249,14.9759974088739,1.05375006601995e-50,3.76547048591568e-47
"ENSMUSG00000038775","Vill",342.274246805592,3.4920699529472,0.234065870826314,14.9191761302888,2.47308007406351e-50,7.36442028054878e-47
"ENSMUSG00000081049","ENSMUSG00000081049",959.991205243821,3.3617905555677,0.244250288762321,13.7637116934549,4.213280267123e-43,1.0754096933241e-39
"ENSMUSG00000036880","Acaa2",2017.04286313909,-1.76841051303458,0.128779051184482,-13.7321287644932,6.51895894179415e-43,1.45592799266295e-39
"ENSMUSG00000029816","Gpnmb",328.816074586058,3.05794359904119,0.228499606915282,13.3827083570211,7.63150312809578e-41,1.51502295988541e-37
"ENSMUSG00000024659","Anxa1",5107.74816115826,1.99423702184802,0.14977533709279,13.3148558404682,1.89738332347342e-40,3.39005478404997e-37
"ENSMUSG00000049128","Ivl",199.723875107991,4.31442629735452,0.326200631543741,13.2262965799194,6.18611838537372e-40,1.00479433810429e-36
"ENSMUSG00000059668","Krt4",2810.5119775045,3.04351004104582,0.234324585586036,12.9884366740012,1.42304190514749e-38,2.11879080993918e-35
"ENSMUSG00000026989","Dapl1",712.239121184036,2.81226301758966,0.225614238568091,12.4649181516126,1.1599081549679e-35,1.59415992344704e-32
"ENSMUSG00000022899","Slc15a2",164.268853767096,4.25751554130597,0.360152341711171,11.8214295680475,3.02492724660231e-32,3.86045536536024e-29
"ENSMUSG00000027339","Rassf2",1551.97839003194,-2.07609859901273,0.177244618786129,-11.7131826806987,1.09105695662973e-31,1.2995943096069e-28
"ENSMUSG00000020911","Krt19",9217.24487640644,1.75996482296861,0.154239934234548,11.4105651801711,3.70315298343662e-30,4.13526464719138e-27
"ENSMUSG00000030717","Nupr1",267.774429203558,5.00884587254729,0.449767548826238,11.1365212666385,8.33102758451046e-29,8.75590999132049e-26
"ENSMUSG00000022037","Clu",3277.95235445151,3.21885491451367,0.29196180651589,11.0249177895071,2.89783158941937e-28,2.87641983378643e-25
"ENSMUSG00000028699","Tspan1",1954.43201608401,2.05357406242417,0.18770094647082,10.9406697250907,7.36537950027893e-28,6.92617029113072e-25
"ENSMUSG00000045763","Basp1",385.203962283838,4.03348072523426,0.36885352596479,10.9351827793542,7.82481404841618e-28,6.99029763015259e-25
"ENSMUSG00000029260","Ugt2b34",348.664788194059,3.95771516315381,0.365610747741303,10.8249420664028,2.62244943295281e-27,2.23120495326513e-24
"ENSMUSG00000022636","Alcam",1941.71913328501,1.84801210694566,0.170970028888883,10.8089828314103,3.12111531391445e-27,2.53477124153225e-24
"ENSMUSG00000017897","Eya2",1402.45976816764,1.6544281240887,0.157875865151609,10.4792972789093,1.07539819183209e-25,8.35397369281039e-23
"ENSMUSG00000055980","Irs1",2058.62477891517,-1.83512932081529,0.175229433930947,-10.4727229875003,1.15278408081792e-25,8.58199715498908e-23
"ENSMUSG00000024597","Slc12a2",11826.93374983,1.52175314703424,0.14578021983879,10.4386805611698,1.65089287498532e-25,1.17986011989451e-22
"ENSMUSG00000024059","Clip4",1260.09922404619,2.22986724612888,0.214498133476875,10.3957419581429,2.59261232278914e-25,1.78162324504899e-22
"ENSMUSG00000018569","Cldn7",673.479271696818,2.61461649407468,0.252347885199723,10.3611587313495,3.72422703905703e-25,2.46447275951229e-22
"ENSMUSG00000040270","Bach2",609.232894640924,-2.23646266931909,0.215932593721982,-10.3572259785782,3.88053231486202e-25,2.47619538820142e-22
"ENSMUSG00000020023","Tmcc3",565.322658715184,2.46160564286303,0.242141527989826,10.1659788112284,2.81282418796766e-24,1.73299068160062e-21
"ENSMUSG00000038065","Mturn",1394.66717190014,-1.84252277528133,0.182059726169489,-10.1204303337578,4.48439579866318e-24,2.67075665782384e-21
