"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005201","extracellular matrix structural constituent","44/1334","148/23909",0.297297297297297,5.32839661250456,12.8398871846007,1.18085124205541e-20,1.22454273801146e-17,9.80728031559704e-18,"Fcgbpl1/Col4a4/Col4a3/Lama2/Fcgbp/Prelp/Fbn1/Nid1/Lama1/Col15a1/Col27a1/Col3a1/Col6a2/Col6a1/Col6a5/Col1a2/Tinagl1/Ogn/Reln/Efemp2/Dpt/Fbln2/Spon1/Aspn/Col5a2/Sspo/Mmrn2/Igfbp6/Vwf/Mfap4/Emilin1/Lama4/Fbln5/Col8a2/Col1a1/Col5a1/Nid2/Col5a3/Ntn1/Eln/Mfap5/Col6a6/Col11a2/Mfap2",44
"GO:0005516","calmodulin binding","39/1334","204/23909",0.191176470588235,3.42641546873622,8.46049803163455,1.1788052905284e-11,6.11210543138975e-09,4.89514407487846e-09,"Myo5b/Plcb1/Unc13b/Iqgap2/Camk4/Sntb1/Syt1/Cnn2/Add3/Unc13c/Ace/Mylk/Myh10/Camsap3/Vamp2/Akap5/Kcnn4/Pla2g6/Kcnn3/Rasgrf2/Aebp1/Pde1a/Ceacam2/Esrrg/Akap12/Cacna1c/Syt7/Atp2b2/Myh11/Adcy1/Phkg1/Cacna1a/Atp2b3/Cth/Obscn/Rem1/Ttn/Slc8a2/Pde1c",39
"GO:0030020","extracellular matrix structural constituent conferring tensile strength","16/1334","42/23909",0.380952380952381,6.82772899264653,9.18884096451943,3.38175058266674e-10,9.07918908037882e-08,7.271461386001e-08,"Col4a4/Col4a3/Col15a1/Col27a1/Col3a1/Col6a2/Col6a1/Col6a5/Col1a2/Col5a2/Col8a2/Col1a1/Col5a1/Col5a3/Col6a6/Col11a2",16
"GO:0019199","transmembrane receptor protein kinase activity","22/1334","81/23909",0.271604938271605,4.8679178929054,8.4764034393592,3.50209800593204e-10,9.07918908037882e-08,7.271461386001e-08,"Erbb4/Igf1r/Insr/Flt1/Mertk/Pdgfra/Acvr1c/Pdgfrb/Tgfbr3/Kdr/Bmpr1b/Acvrl1/Nrg2/Ddr2/Tek/Epha7/Nrp1/Ephb1/Ret/Tie1/Acvr2b/Pdgfrl",22
"GO:0030695","GTPase regulator activity","57/1334","451/23909",0.126385809312639,2.26518614307037,6.59375589895567,7.05758728848005e-09,1.32193308958699e-06,1.05872730821107e-06,"Egf/Dock5/Prex2/Chn2/Plcb1/Tbc1d8/Rgs16/Iqgap2/Srgap2/Rasa3/Dlc1/Arfgef3/Deptor/Dennd5b/Pdgfrb/Rgl1/Stard8/Stard13/Fgd5/Arhgap22/Arhgap26/Rapgef3/Dock6/Arhgap20/Syde2/Tbc1d16/Llgl2/Dgki/Arhgap28/Ngef/Eps8l2/Prr5/Iqsec2/Syde1/Mcf2l/Rabgef1/Arhgap31/Arhgap18/Rgs9/Nrp1/Tbc1d9/Rasgrp1/Rasgrf1/Dennd4b/Rasgrf2/Rgs5/Rasgrp2/Dennd1c/Arhgef15/Garnl3/Arap3/Arhgef25/Obscn/Fgd3/Rgs4/Rgl3/Prex1",57
"GO:0060589","nucleoside-triphosphatase regulator activity","57/1334","452/23909",0.126106194690265,2.26017466930252,6.57505496926434,7.64860032547924e-09,1.32193308958699e-06,1.05872730821107e-06,"Egf/Dock5/Prex2/Chn2/Plcb1/Tbc1d8/Rgs16/Iqgap2/Srgap2/Rasa3/Dlc1/Arfgef3/Deptor/Dennd5b/Pdgfrb/Rgl1/Stard8/Stard13/Fgd5/Arhgap22/Arhgap26/Rapgef3/Dock6/Arhgap20/Syde2/Tbc1d16/Llgl2/Dgki/Arhgap28/Ngef/Eps8l2/Prr5/Iqsec2/Syde1/Mcf2l/Rabgef1/Arhgap31/Arhgap18/Rgs9/Nrp1/Tbc1d9/Rasgrp1/Rasgrf1/Dennd4b/Rasgrf2/Rgs5/Rasgrp2/Dennd1c/Arhgef15/Garnl3/Arap3/Arhgef25/Obscn/Fgd3/Rgs4/Rgl3/Prex1",57
"GO:0019838","growth factor binding","28/1334","148/23909",0.189189189189189,3.39079784432108,7.09213534489543,1.16141455083533e-08,1.72055269888034e-06,1.37797906858508e-06,"Erbb4/Igf1r/Insr/Flt1/Pdgfra/Lifr/Acvr1c/Col3a1/Col6a1/Pdgfrb/Tgfbr3/Col1a2/Tgfb3/Kdr/Erbb3/Acvrl1/Tek/Il6ra/Epha7/Igfbp6/Chrdl1/Nrp1/Cd36/Col1a1/Col5a1/Ntf3/Acvr2b/Eng",28
"GO:0003779","actin binding","56/1334","461/23909",0.121475054229935,2.17717171782872,6.20401784393566,3.84823185200876e-08,4.98827053816635e-06,3.99507227794067e-06,"Amotl2/Epb41l2/Scnn1a/Slc6a4/Tln2/Myo5b/Wipf1/Scin/Wipf3/Plekhh2/Sptb/Daam2/Iqgap2/Kcnma1/Sntb1/Syne1/Cacnb2/Cnn2/Add3/Tns1/Dst/Dixdc1/Ace/Mylk/Myh10/Ablim1/Camsap3/Lcp1/Pdlim3/Klhl3/Eps8l2/Tmod4/Akap5/Shroom1/Avil/Mlph/Shank3/Rcsd1/Limch1/Tmod2/Ceacam2/Ankrd24/Syne3/Pdlim2/Nrap/Homer2/Myo15a/Map1a/Myh11/Parvb/Gas7/Lmod1/Vinac1/Ttn/Coro2b/Myrip",56
"GO:0004714","transmembrane receptor protein tyrosine kinase activity","17/1334","64/23909",0.265625,4.76074072338831,7.32319123680426,5.03766408010387e-08,5.80450850118635e-06,4.64879176514848e-06,"Erbb4/Igf1r/Insr/Flt1/Mertk/Pdgfra/Pdgfrb/Kdr/Nrg2/Ddr2/Tek/Epha7/Nrp1/Ephb1/Ret/Tie1/Pdgfrl",17
"GO:0005518","collagen binding","18/1334","81/23909",0.222222222222222,3.98284191237714,6.53679114841459,3.89770283235624e-07,4.04191783715342e-05,3.23714477339902e-05,"Nid1/Tnxb/Itga9/Itga1/Coch/Sparcl1/Col6a2/Col6a1/Ccbe1/Dpp4/Ddr2/Lox/Vwf/Ecm2/Aebp1/Map1a/Spock1/Itga11",18
"GO:0005096","GTPase activator activity","34/1334","241/23909",0.141078838174274,2.52852619333487,5.79744030110767,6.17625186525533e-07,5.82252107660889e-05,4.66321791548943e-05,"Dock5/Prex2/Chn2/Plcb1/Tbc1d8/Rgs16/Iqgap2/Srgap2/Rasa3/Dlc1/Deptor/Pdgfrb/Stard8/Stard13/Arhgap22/Arhgap26/Arhgap20/Syde2/Tbc1d16/Llgl2/Arhgap28/Prr5/Syde1/Arhgap31/Arhgap18/Rgs9/Nrp1/Tbc1d9/Rgs5/Arhgef15/Garnl3/Arap3/Rgs4/Prex1",34
