"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000775","chromosome, centromeric region","77/1156","286/25856",0.269230769230769,6.02182592494011,18.4748966842826,1.73119947809383e-38,9.88514901991578e-36,8.10930281843953e-36,"Mki67/H2ac4/Ncapd2/Nuf2/H2ac7/H4c6/H2ac15/Knstrn/Ncapg/H2ac8/H2ac22/Aurkb/H4c2/Cdc20/H2ac6/H2ac13/Plk1/Incenp/H2ac11/Cenpa/Ndc80/Birc5/Mis18bp1/H4c12/Cdca8/H4c16/H4c11/Smc4/Dscc1/Actl6a/Hells/Ska1/Sgo2a/Cenpf/Ezh2/Cenpi/Mis18a/Nudcd2/Mad2l1/Ttk/Nek2/Spc25/Dynll1/Bub3/Cenpn/Spag5/H4c9/Cenpe/Top2a/Pinx1/Cenpk/Wdhd1/Spc24/Aurka/Ercc6l/Rangap1/Spdl1/Nup43/Mad1l1/Kif18a/Cenpm/Knl1/Zwilch/Sgo1/Cenph/Hjurp/Bub1b/Bub1/Dsn1/Cenps/Ikzf1/Kif2c/Cdt1/Pmf1/Ccnb1/Kntc1/Cenpw",77
"GO:0098687","chromosomal region","88/1156","413/25856",0.213075060532688,4.765803430046,16.689803558791,2.99596924846702e-35,8.55349220437335e-33,7.01687534509382e-33,"Mki67/Chek1/H2ac4/Ncapd2/Nuf2/H2ac7/H4c6/H2ac15/Knstrn/Ncapg/H2ac8/H2ac22/Aurkb/H4c2/Cdc20/H2ac6/H2ac13/Plk1/Incenp/H2ac11/Cenpa/Ndc80/Birc5/Mis18bp1/H4c12/Cdca8/H4c16/Chek2/H2ax/H4c11/Smc4/Dscc1/Fen1/Actl6a/Hells/Ska1/Sgo2a/Cenpf/Ezh2/Cenpi/Mis18a/Nudcd2/Mad2l1/Ttk/Nek2/Spc25/Dynll1/Bub3/Cenpn/Spag5/H4c9/Cenpe/Top2a/Pinx1/Cenpk/Wdhd1/Spc24/Aurka/Ercc6l/Rangap1/Spdl1/Nup43/Mad1l1/Kif18a/Cenpm/Knl1/Zwilch/Rad51ap1/Sgo1/Cenph/Hjurp/Dna2/Bub1b/Bub1/Dsn1/Cenps/Ikzf1/Kif2c/Cdt1/Pif1/Pmf1/Wrap53/Rad51/Pold1/Ccnb1/Blm/Kntc1/Cenpw",88
"GO:0000779","condensed chromosome, centromeric region","52/1156","184/25856",0.282608695652174,6.32104708891229,15.6703563708149,1.85406117821916e-27,3.52889644254379e-25,2.89493762914921e-25,"Ncapd2/Nuf2/Knstrn/Ncapg/Aurkb/Cdc20/Plk1/Incenp/Cenpa/Ndc80/Birc5/Actl6a/Ska1/Sgo2a/Cenpf/Cenpi/Nudcd2/Mad2l1/Ttk/Nek2/Spc25/Dynll1/Bub3/Cenpn/Spag5/Cenpe/Pinx1/Cenpk/Spc24/Aurka/Ercc6l/Rangap1/Spdl1/Nup43/Mad1l1/Kif18a/Cenpm/Knl1/Zwilch/Sgo1/Cenph/Hjurp/Bub1b/Bub1/Dsn1/Cenps/Kif2c/Cdt1/Pmf1/Ccnb1/Kntc1/Cenpw",52
"GO:0000776","kinetochore","49/1156","172/25856",0.284883720930233,6.37193208336686,15.2920643750342,4.02693206132226e-26,5.74844551753753e-24,4.71574938760107e-24,"Nuf2/Knstrn/Aurkb/Cdc20/Plk1/Incenp/Ndc80/Birc5/Actl6a/Ska1/Sgo2a/Cenpf/Cenpi/Nudcd2/Mad2l1/Ttk/Nek2/Spc25/Dynll1/Bub3/Cenpn/Spag5/Cenpe/Pinx1/Cenpk/Spc24/Aurka/Ercc6l/Rangap1/Spdl1/Nup43/Mad1l1/Kif18a/Cenpm/Knl1/Zwilch/Sgo1/Cenph/Hjurp/Bub1b/Bub1/Dsn1/Cenps/Kif2c/Cdt1/Pmf1/Ccnb1/Kntc1/Cenpw",49
"GO:0000793","condensed chromosome","68/1156","342/25856",0.198830409356725,4.44719642242862,13.8832939569264,1.36120669089532e-25,1.55449804100246e-23,1.27523574199667e-23,"Mki67/Chek1/Ncapd2/Nuf2/Knstrn/Ncapg/Aurkb/Cdc20/Ncaph/Plk1/Incenp/Cenpa/Ndc80/Smc2/Birc5/H2ax/Smc4/Ncapg2/Actl6a/Ska1/Sgo2a/Cenpf/Cenpi/Nudcd2/Mad2l1/Ttk/Nek2/Spc25/Dynll1/Bub3/Cenpn/Spag5/Cenpe/Top2a/Pinx1/Cenpk/Spc24/Aurka/Ercc6l/Rangap1/Spdl1/Nup43/Mad1l1/Kif18a/Tubg1/Cenpm/Hspa2/Knl1/Rcc1/Zwilch/Sgo1/Ccnb1ip1/Cenph/Hjurp/Bub1b/Bub1/Dsn1/Cenps/Kif2c/Cdt1/Pmf1/Rad51/Ccnb1/Fancd2/Brca1/Blm/Kntc1/Cenpw",68
"GO:0005819","spindle","75/1156","447/25856",0.167785234899329,3.75281577297322,12.7010561043499,2.59244574876393e-23,2.46714420424034e-21,2.02392694421044e-21,"Nusap1/Kif23/Aspm/Ckap2l/Racgap1/Camk2b/Knstrn/Nedd9/Dlgap5/Aurkb/Prc1/Cdc20/Kif11/Gpsm2/Kif22/Plk1/Incenp/Shcbp1/Kif20b/Gpx2/Ckap2/Arhgef2/Kif20a/Kif14/Tubb5/Tacc3/Fam83d/Diaph3/Kif15/Birc5/Cdca8/Cdc7/Ska1/Dzip1l/Nek6/Cenpf/Nudcd2/Mad2l1/Nek2/Ttll12/Dynll1/Spag5/Kif18b/Cenpe/Pinx1/Capg/Aurka/Rangap1/Spdl1/Tpx2/Espl1/Mad1l1/Kifc1/Cdc6/Haspin/Kif18a/Tubg1/Hspa2/Aaas/Sgo1/Hmmr/Bub1b/Ect2/Cdc25b/Cdk1/Dsn1/Kif2c/Pmf1/Fbxo5/Ccnb1/Kifc5b/Wdr62/Misp/Pla2g4c/Kntc1",75
"GO:0000786","nucleosome","38/1156","135/25856",0.281481481481481,6.2958349352813,13.3462762901285,2.35195410597774e-20,1.76503557071511e-18,1.44795064792741e-18,"H2ac10/H3c2/H3c3/H2bc3/H3c7/H2ac4/H2ac7/H1f5/H4c6/H2ac15/H3c4/H2bc18/H2bc12/H3c11/H2ac8/H2ac22/H4c2/H2ac6/H2ac13/H1f1/H3c8/H3c10/H2az1/H2ac11/Cenpa/H4c12/H4c16/H2ax/H2ac12/H4c11/H2ac25/Actl6a/H1f3/H2ac20/H3c13/H4c9/Mrgbp/H2bc22",38
"GO:0072686","mitotic spindle","45/1156","192/25856",0.234375,5.24221453287197,12.7639113718372,2.47290447735918e-20,1.76503557071511e-18,1.44795064792741e-18,"Nusap1/Kif23/Aspm/Ckap2l/Racgap1/Knstrn/Nedd9/Dlgap5/Aurkb/Prc1/Kif11/Gpsm2/Kif22/Plk1/Kif20b/Gpx2/Ckap2/Kif20a/Tubb5/Tacc3/Fam83d/Cdc7/Ska1/Dzip1l/Nudcd2/Mad2l1/Dynll1/Spag5/Kif18b/Cenpe/Capg/Aurka/Rangap1/Tpx2/Espl1/Mad1l1/Kifc1/Cdc6/Kif18a/Tubg1/Aaas/Ect2/Cdk1/Kifc5b/Misp",45
"GO:0032993","protein-DNA complex","49/1156","256/25856",0.19140625,4.28114186851211,11.4137332929919,4.55031582700008e-18,2.88692259690783e-16,2.36829303276612e-16,"H2ac10/H3c2/H3c3/H2bc3/H3c7/H2ac4/H2ac7/H1f5/H4c6/H2ac15/H3c4/H2bc18/H2bc12/H3c11/H2ac8/H2ac22/H4c2/H2ac6/H2ac13/H1f1/H3c8/H3c10/Cdc45/H2az1/H2ac11/Cenpa/Nupr1/H4c12/H4c16/H2ax/H2ac12/H4c11/H2ac25/Actl6a/H1f3/H2ac20/H3c13/H4c9/Mrgbp/Mcm7/Mcm6/Mcm2/Mcm5/Prim1/Ikzf1/Pola2/Pold1/Mcm3/H2bc22",49
"GO:0000922","spindle pole","39/1156","186/25856",0.209677419354839,4.68980913048331,10.9257221141855,4.79884439495406e-16,2.74014014951877e-14,2.24787974289953e-14,"Aspm/Ckap2l/Knstrn/Nedd9/Dlgap5/Aurkb/Prc1/Cdc20/Kif11/Gpsm2/Plk1/Kif20b/Ckap2/Tacc3/Fam83d/Diaph3/Kif15/Nek6/Cenpf/Nudcd2/Mad2l1/Nek2/Spag5/Aurka/Spdl1/Tpx2/Mad1l1/Kifc1/Cdc6/Tubg1/Aaas/Sgo1/Cdc25b/Dsn1/Pmf1/Ccnb1/Wdr62/Misp/Kntc1",39
"GO:0000940","outer kinetochore","15/1156","22/25856",0.681818181818182,15.2500786410821,14.465567805069,6.6292674035121e-16,3.44119244309583e-14,2.82298946848123e-14,"Nuf2/Plk1/Ndc80/Ska1/Cenpf/Spc25/Cenpe/Spc24/Spdl1/Knl1/Bub1b/Bub1/Dsn1/Pmf1/Ccnb1",15
"GO:0043505","CENP-A containing nucleosome","15/1156","24/25856",0.625,13.9792387543253,13.7619044351786,4.67078284417986e-15,2.051551541559e-13,1.68299462806481e-13,"H2ac4/H2ac7/H4c6/H2ac15/H2ac8/H2ac22/H4c2/H2ac6/H2ac13/H2ac11/Cenpa/H4c12/H4c16/H4c11/H4c9",15
"GO:0061638","CENP-A containing chromatin","15/1156","24/25856",0.625,13.9792387543253,13.7619044351786,4.67078284417986e-15,2.051551541559e-13,1.68299462806481e-13,"H2ac4/H2ac7/H4c6/H2ac15/H2ac8/H2ac22/H4c2/H2ac6/H2ac13/H2ac11/Cenpa/H4c12/H4c16/H4c11/H4c9",15
"GO:0034506","chromosome, centromeric core domain","15/1156","25/25856",0.6,13.4200692041522,13.4408310415688,1.11941824081198e-14,4.56562725359742e-13,3.74542193354383e-13,"H2ac4/H2ac7/H4c6/H2ac15/H2ac8/H2ac22/H4c2/H2ac6/H2ac13/H2ac11/Cenpa/H4c12/H4c16/H4c11/H4c9",15
"GO:0000228","nuclear chromosome","41/1156","298/25856",0.13758389261745,3.07730893383804,7.80276450123715,1.66260291335214e-10,6.32897509016046e-09,5.19198804520492e-09,"Chek1/Ncapd2/Ncapg/Ncaph/Plk1/Incenp/Exosc9/Cdc45/Smc2/Birc5/H2ax/Smc4/Ncapg2/Pole/Actl6a/Nek2/Sap30/Mms22l/Top2a/Pinx1/Wdhd1/Mcm7/Mcm6/Mcm2/Tubg1/Hspa2/Pole2/Rcc1/Timeless/E2f1/Ccnb1ip1/Mcm5/Prim1/Mcm10/Pola2/Rad51/Pold1/Mcm3/Brca1/Blm/Fignl1",41
"GO:0051233","spindle midzone","14/1156","40/25856",0.35,7.82837370242214,9.34986869816504,9.19945800843983e-10,3.28305657676196e-08,2.69326237747087e-08,"Racgap1/Camk2b/Aurkb/Prc1/Plk1/Incenp/Kif20b/Kif14/Cdca8/Kif18b/Cenpe/Aurka/Cdc6/Kif18a",14
"GO:0031012","extracellular matrix","50/1156","478/25856",0.104602510460251,2.33962154884105,6.39543498219547,2.52493090263238e-08,8.48079732590051e-07,6.95723994842977e-07,"Col8a1/Lgals3/Gsto1/Mmp15/Fn1/Smoc2/Anxa1/Ccdc80/Pxdn/Lad1/Ptn/Ltbp1/Mfge8/S100a11/Adam10/Reg3g/Col17a1/Ecm1/Col7a1/Adamts9/Thbs2/Anxa2/Adamtsl3/Scara3/Serpinh1/Adamts1/Ltbp3/Cstb/Bmp1/Igfbp7/Vwa5a/Htra1/Col16a1/S100a6/Ctsc/F3/Lgals9/Vwa1/Adamts18/Ltbp2/Fbln1/Timp1/Muc1/Colec12/Spock2/Hmcn1/Mmp3/Mmp7/Emid1/Dmbt1",50
"GO:0030312","external encapsulating structure","50/1156","480/25856",0.104166666666667,2.32987312572088,6.36241446992542,2.88686361446956e-08,9.15777291034509e-07,7.51259829496463e-07,"Col8a1/Lgals3/Gsto1/Mmp15/Fn1/Smoc2/Anxa1/Ccdc80/Pxdn/Lad1/Ptn/Ltbp1/Mfge8/S100a11/Adam10/Reg3g/Col17a1/Ecm1/Col7a1/Adamts9/Thbs2/Anxa2/Adamtsl3/Scara3/Serpinh1/Adamts1/Ltbp3/Cstb/Bmp1/Igfbp7/Vwa5a/Htra1/Col16a1/S100a6/Ctsc/F3/Lgals9/Vwa1/Adamts18/Ltbp2/Fbln1/Timp1/Muc1/Colec12/Spock2/Hmcn1/Mmp3/Mmp7/Emid1/Dmbt1",50
"GO:0045171","intercellular bridge","20/1156","104/25856",0.192307692307692,4.30130423210008,7.29792587482221,3.08989784491058e-08,9.28595615496811e-07,7.61775368966874e-07,"Kif23/Prc1/Septin9/Kif20b/Gpx2/Kif20a/Tubb5/Fam83d/Nupr1/Cdca8/Cdc7/Ska1/Dzip1l/Nudcd2/Nek2/Jpt1/Cenpe/Tpx2/Cdc6/Cep55",20
"GO:0030496","midbody","32/1156","240/25856",0.133333333333333,2.98223760092272,6.67434090024433,3.54299196432695e-08,1.01152420581534e-06,8.29806012697627e-07,"Kif23/Aspm/Racgap1/Aurkb/Kif4/Prc1/Anxa2/Plk1/Incenp/Shcbp1/Kif20b/Kif20a/Kif14/Ran/Birc5/Slc2a1/Cdca8/Cenpf/Erh/Cit/Nek2/Ttll12/Spag5/Cenpe/Capg/Anln/Mitd1/Ankle1/Bcl3/Ect2/Cdk1/Cep55",32
"GO:0005657","replication fork","17/1156","83/25856",0.204819277108434,4.58114812189936,7.0693837172806,1.26617594541897e-07,3.44279268968682e-06,2.82430223414257e-06,"Chek1/Brip1/H2ax/Rfc3/Mms22l/Wdhd1/Bcl6/Timeless/Rad18/Prim1/Mcm10/Xrcc2/Pola2/Pold1/Uhrf1/Blm/Radx",17
"GO:0005875","microtubule associated complex","22/1156","148/25856",0.148648648648649,3.32479191994763,6.13597400508941,7.39228001391465e-07,1.91863267633876e-05,1.57395435702967e-05,"Kif23/Aurkb/Kif4/Kif22/Incenp/Kif20b/Kif20a/Kif14/Kif15/Birc5/Cdca8/Lrp8/Dynll1/Kif18b/Aurka/Kifc1/Kif18a/Kif2c/Dnai1/Dnah11/Kifc5b/Dnah7b",22
"GO:0042555","MCM complex","6/1156","11/25856",0.545454545454545,12.2000629128657,8.0376899223334,3.00153431559031e-06,7.14115039250862e-05,5.85825776507758e-05,"Mms22l/Mcm7/Mcm6/Mcm2/Mcm5/Mcm3",6
"GO:0071162","CMG complex","6/1156","11/25856",0.545454545454545,12.2000629128657,8.0376899223334,3.00153431559031e-06,7.14115039250862e-05,5.85825776507758e-05,"Cdc45/Mcm7/Mcm6/Mcm2/Mcm5/Mcm3",6
