"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000775","chromosome, centromeric region","48/756","286/25856",0.167832167832168,5.74003774003774,13.9892927988015,7.83346479719945e-23,3.50939222914535e-20,2.97671662293579e-20,"H2ac4/H2ac6/H2ac22/H2ac8/H2ac7/H4c6/H2ac15/Wdhd1/H2ac13/H4c2/Mki67/Ncapg/Nuf2/Aurkb/Cdc20/H4c11/Plk1/Incenp/Cenpa/H4c12/Dscc1/Hells/Knstrn/Zwilch/Aurka/Cdca8/Cenpi/Birc5/Ikzf1/Ercc6l/H4c16/Cenpm/Cenpn/Cenph/Spc25/Spc24/Cenpv/Mis18bp1/Cdt1/Spag5/Ttk/Dsn1/Ndc80/Sgo1/H2ac11/Sgo2a/Nek2/Cenps",48
"GO:0098687","chromosomal region","56/756","413/25856",0.135593220338983,4.63743162048247,12.9324858756898,8.83172763832078e-22,1.97830699098385e-19,1.67802825128095e-19,"H2ac4/Chek1/H2ac6/H2ac22/H2ac8/H2ac7/H4c6/H2ac15/Wdhd1/H2ac13/H4c2/Mki67/Ncapg/Nuf2/Aurkb/Fen1/Cdc20/H4c11/Plk1/Incenp/Cenpa/H4c12/Dscc1/Hells/Knstrn/Zwilch/Aurka/H2ax/Rpa2/Cdca8/Cenpi/Birc5/Ikzf1/Ercc6l/H4c16/Dna2/Cenpm/Cenpn/Pold1/Cenph/Spc25/Spc24/Cenpv/Mis18bp1/Cdt1/Spag5/Rad51/Ttk/Dsn1/Ndc80/Sgo1/H2ac11/Sgo2a/Blm/Nek2/Cenps",56
"GO:0032993","protein-DNA complex","42/756","256/25856",0.1640625,5.61111111111111,12.8677286871874,9.57970256028753e-20,1.43056891566961e-17,1.21342899096975e-17,"Nupr1/H1f5/H2bc18/H2bc3/H3c3/H2ac4/H3c4/H3c11/H2ac6/H3c7/H2ac22/H3c2/H2bc12/H3c10/H2ac8/H2ac7/H4c6/H2ac15/H2ac13/H4c2/H2ac10/H1f3/H3c8/H1f1/Cdc45/H4c11/H2ac12/Cenpa/Mcm6/H4c12/H2ax/Rpa2/Pola2/Ikzf1/H4c16/Mcm2/Pold1/Prim1/H2ac11/Mcm3/Mcm5/Gins1",42
"GO:0000786","nucleosome","30/756","135/25856",0.222222222222222,7.60023515579071,13.3437739637411,2.79858896816514e-18,3.13441964434495e-16,2.65865951975688e-16,"H1f5/H2bc18/H2bc3/H3c3/H2ac4/H3c4/H3c11/H2ac6/H3c7/H2ac22/H3c2/H2bc12/H3c10/H2ac8/H2ac7/H4c6/H2ac15/H2ac13/H4c2/H2ac10/H1f3/H3c8/H1f1/H4c11/H2ac12/Cenpa/H4c12/H2ax/H4c16/H2ac11",30
"GO:0043505","CENP-A containing nucleosome","14/756","24/25856",0.583333333333333,19.9506172839506,16.11930355319,4.43601584580593e-16,3.31222516486843e-14,2.80947670234375e-14,"H2ac4/H2ac6/H2ac22/H2ac8/H2ac7/H4c6/H2ac15/H2ac13/H4c2/H4c11/Cenpa/H4c12/H4c16/H2ac11",14
"GO:0061638","CENP-A containing chromatin","14/756","24/25856",0.583333333333333,19.9506172839506,16.11930355319,4.43601584580593e-16,3.31222516486843e-14,2.80947670234375e-14,"H2ac4/H2ac6/H2ac22/H2ac8/H2ac7/H4c6/H2ac15/H2ac13/H4c2/H4c11/Cenpa/H4c12/H4c16/H2ac11",14
"GO:0034506","chromosome, centromeric core domain","14/756","25/25856",0.56,19.1525925925926,15.7592071188943,9.81191221856073e-16,6.27962381987887e-14,5.32646663293297e-14,"H2ac4/H2ac6/H2ac22/H2ac8/H2ac7/H4c6/H2ac15/H2ac13/H4c2/H4c11/Cenpa/H4c12/H4c16/H2ac11",14
"GO:0000779","condensed chromosome, centromeric region","28/756","184/25856",0.152173913043478,5.20450885668277,9.93323337745482,9.00472792270172e-13,5.04264763671296e-11,4.27724576328332e-11,"Ncapg/Nuf2/Aurkb/Cdc20/Plk1/Incenp/Cenpa/Knstrn/Zwilch/Aurka/Cenpi/Birc5/Ercc6l/Cenpm/Cenpn/Cenph/Spc25/Spc24/Cenpv/Cdt1/Spag5/Ttk/Dsn1/Ndc80/Sgo1/Sgo2a/Nek2/Cenps",28
"GO:0000793","condensed chromosome","38/756","342/25856",0.111111111111111,3.80011757789536,9.04682841431235,2.08385084949937e-12,1.03729464508413e-10,8.79848136455288e-11,"Chek1/Hspa2/Mki67/Ncapg/Ncaph/Nuf2/Aurkb/Cdc20/Plk1/Incenp/Cenpa/Knstrn/Zwilch/Aurka/H2ax/Cenpi/Birc5/Ccnb1ip1/Ercc6l/Smc2/Cenpm/Cenpn/Cenph/Spc25/Spc24/Cenpv/Cdt1/Spag5/Rad51/Ttk/Dsn1/Ndc80/Sgo1/Fancd2/Sgo2a/Blm/Nek2/Cenps",38
"GO:0000776","kinetochore","26/756","172/25856",0.151162790697674,5.16992740248554,9.52264720667902,6.86094396871362e-12,3.0737028979837e-10,2.60715870811117e-10,"Nuf2/Aurkb/Cdc20/Plk1/Incenp/Knstrn/Zwilch/Aurka/Cenpi/Birc5/Ercc6l/Cenpm/Cenpn/Cenph/Spc25/Spc24/Cenpv/Cdt1/Spag5/Ttk/Dsn1/Ndc80/Sgo1/Sgo2a/Nek2/Cenps",26
