"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04820","Cytoskeleton in muscle cells - Mus musculus (house mouse)","53/657","233/11213",0.227467811158798,3.88218655483045,11.0910692492546,3.73631623096572e-18,1.22551172375676e-15,8.45587357534348e-16,"12829/12828/16773/70549/67451/14118/18073/76441/16772/104099/109700/373864/20649/64009/12825/12834/12833/665033/109676/12843/98660/22352/77579/53318/50874/12835/14115/12832/11932/13346/20392/14199/50876/98932/13527/12842/12831/18074/212073/213019/18175/53311/53867/17880/13808/12335/93689/13717/380698/22138/245026/319480/12815",53
"mmu04518","Integrin signaling - Mus musculus (house mouse)","35/657","153/11213",0.228758169934641,3.90420907074144,9.0234074440886,1.81224967858104e-12,2.97208947287291e-10,2.0507035836575e-10,"12829/12828/23928/16773/13645/16001/70549/14254/16000/14118/18595/81877/16772/104099/109700/242022/12834/12833/18596/665033/12843/16542/19699/12835/18654/22371/16775/12842/225341/170736/71785/15896/245026/319480/12643",35
"mmu04974","Protein digestion and absorption - Mus musculus (house mouse)","27/657","108/11213",0.25,4.26674277016743,8.51024520312138,7.36949333223273e-11,8.05731270990778e-09,5.55944233835101e-09,"12829/12828/72472/12819/373864/12825/12834/12833/665033/12843/98660/13482/12835/16534/12832/11932/73368/17380/20540/329941/12842/12831/53867/13717/110891/245026/12815",27
"mmu04510","Focal adhesion - Mus musculus (house mouse)","37/657","202/11213",0.183168316831683,3.12612836626128,7.60722608748689,4.23907057871387e-10,3.47603787454537e-08,2.39842151164074e-08,"12829/12828/23928/16773/13645/16001/70549/14254/16000/18595/81877/16772/104099/109700/12834/12833/18596/665033/329251/12843/16542/107589/19699/12835/18654/22371/16775/19417/98932/12842/170736/71785/26414/18719/245026/319480/12643",37
"mmu04151","PI3K-Akt signaling pathway - Mus musculus (house mouse)","53/657","368/11213",0.144021739130435,2.45801485672689,7.09488922484555,8.29215357918581e-10,5.11951047249119e-08,3.53239650701414e-08,"12829/16367/12828/23928/16773/13645/13869/16001/16337/14254/16000/18595/81877/16772/104099/19651/109700/12834/12833/18596/665033/12843/16542/13867/19699/320795/21687/12835/18654/16194/14696/16002/13874/15370/26427/22371/14173/14165/16775/12669/50791/12842/18205/11876/19713/16193/11602/14702/71785/14708/245026/319480/12643",53
"mmu04512","ECM-receptor interaction - Mus musculus (house mouse)","23/657","89/11213",0.258426966292135,4.41056556017307,8.05870863523499,9.36495818138633e-10,5.11951047249119e-08,3.53239650701414e-08,"12829/12828/23928/16773/81877/16772/104099/109700/242022/12834/12833/665033/12843/19699/12835/22371/12491/16775/12842/14723/245026/319480/12643",23
"mmu04022","cGMP-PKG signaling pathway - Mus musculus (house mouse)","33/657","172/11213",0.191860465116279,3.27447700966338,7.49922024176857,1.10451712479566e-09,5.17545167047107e-08,3.57099521550475e-08,"16367/16337/54611/18798/18795/384783/11512/16531/16438/98660/107589/11539/207728/11932/17540/26427/234889/98932/73181/224129/12288/13618/18160/13617/17260/11941/432530/60596/320707/17259/105980076/110891/11551",33
"mmu04020","Calcium signaling pathway - Mus musculus (house mouse)","38/657","255/11213",0.149019607843137,2.54331333751156,6.21917947715487,8.89407830722029e-08,3.64657210596032e-06,2.51608794217416e-06,"13645/13869/18798/14254/18795/18595/12326/16438/68279/18596/252972/19218/16542/13867/107589/14675/72469/18439/14173/14165/12669/19216/14814/18573/73181/19713/12288/13618/13617/18440/11941/432530/18682/12286/320707/71785/110891/18575",38
"mmu04360","Axon guidance - Mus musculus (house mouse)","30/657","181/11213",0.165745856353591,2.82877973712758,6.18796858906288,1.99160769818983e-07,7.06233240243135e-06,4.8729186987251e-06,"14270/20564/20315/19206/238057/65254/12167/226251/268902/53972/13841/20423/243743/223881/18186/107449/98932/12934/73181/270190/20347/26456/218877/18208/140571/20359/108151/20360/22063/22253",30
"mmu04924","Renin secretion - Mus musculus (house mouse)","18/657","75/11213",0.24,4.09607305936073,6.71139444071124,2.15315012269248e-07,7.06233240243135e-06,4.8729186987251e-06,"54611/18798/18795/11512/16531/16438/11421/11539/11826/234889/18573/224129/12288/18160/13617/60596/19701/18575",18
"mmu05032","Morphine addiction - Mus musculus (house mouse)","19/657","93/11213",0.204301075268817,3.48680054336263,6.00764930343308,1.43383631418095e-06,4.27543919137593e-05,2.94999815836272e-05,"54611/11512/11539/207728/18584/14696/14772/218461/18573/29863/224129/14681/432530/12286/14702/14708/14400/18578/18575",19
"mmu04270","Vascular smooth muscle contraction - Mus musculus (house mouse)","24/657","144/11213",0.166666666666667,2.84449518011162,5.55749544701667,2.98475543609937e-06,8.15833152533829e-05,5.6291440242225e-05,"18798/18795/11512/16531/16438/329251/107589/77579/54598/11535/53357/17540/234889/98932/224129/12288/18160/13617/17880/237625/432530/60596/68458/11475",24
"mmu04014","Ras signaling pathway - Mus musculus (house mouse)","32/657","237/11213",0.135021097046413,2.30440115857144,5.06334871248943,8.05178203216132e-06,0.000191274878543684,0.000131977210805173,"13645/14389/16001/16337/14254/16000/18595/19414/18596/19731/16542/21687/18654/85031/14696/16002/53357/16706/14173/14165/19419/19417/19418/225845/18205/19395/237625/11602/14702/71785/14708/26414",32
"mmu04925","Aldosterone synthesis and secretion - Mus musculus (house mouse)","19/657","104/11213",0.182692307692308,3.11800433204543,5.41353026213639,8.16417164515722e-06,0.000191274878543684,0.000131977210805173,"18798/18795/12326/11512/16438/98660/207728/269060/16890/11932/15370/26427/224129/12288/18160/11941/432530/320707/18760",19
"mmu04970","Salivary secretion - Mus musculus (house mouse)","17/657","87/11213",0.195402298850575,3.33492538357914,5.45428269430344,9.59797315108715e-06,0.000209875679570439,0.000144811524735701,"18798/18795/11722/11512/16531/16438/98660/77397/22318/16534/11932/234889/224129/11941/432530/60596/320707",17
