"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-MMU-2299718","Condensation of Prophase Chromosomes","19/243","77/8895",0.246753246753247,9.0323873657207,11.8631058012112,1.20519730141929e-13,4.10972279783978e-11,3.52678789257434e-11,"319173/319150/260423/319148/319178/319185/319172/319165/319157/319169/319167/319184/319170/18817/319166/319183/319191/97908/14211",19
"R-MMU-9909649","Regulation of PD-L1(CD274) transcription","17/243","70/8895",0.242857142857143,8.88977072310406,11.1057908341593,3.2627304183694e-12,5.56295536331982e-10,4.77388977003522e-10,"319173/319150/260423/319148/319178/319185/319172/319165/319157/319169/319167/319184/319170/319166/319183/319191/97908",17
"R-MMU-9841922","MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis","17/243","73/8895",0.232876712328767,8.52443767968882,10.8179606371854,6.8045785680723e-12,7.73453763904218e-10,6.63744856815473e-10,"319173/319150/260423/319148/319178/319185/319172/319165/319157/319169/319167/319184/319170/319166/319183/319191/97908",17
"R-MMU-212300","PRC2 methylates histones and DNA","17/243","80/8895",0.2125,7.77854938271605,10.2061992705975,3.29423038657361e-11,2.77497236410752e-09,2.38136230042256e-09,"319173/319150/260423/319148/319178/319185/319172/319165/319157/319169/319167/319184/319170/319166/319183/319191/97908",17
"R-MMU-8936459","RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function","17/243","81/8895",0.209876543209877,7.68251790885536,10.1248724693661,4.06887443417524e-11,2.77497236410752e-09,2.38136230042256e-09,"319173/319150/260423/319148/319178/319185/319172/319165/319157/319169/319167/319184/319170/319166/319183/319191/97908",17
"R-MMU-9764725","Negative Regulation of CDH1 Gene Transcription","17/243","82/8895",0.207317073170732,7.58882866606444,10.0449250249275,5.00944815351173e-11,2.84703636724584e-09,2.44320453802853e-09,"319173/319150/260423/319148/319178/319185/319172/319165/319157/319169/319167/319184/319170/319166/319183/319191/97908",17
"R-MMU-9940951","Interaction of NuRD complexes with transcription factors","17/243","91/8895",0.186813186813187,6.83828517161851,9.38122230592333,2.85265297536133e-10,1.38964952085459e-08,1.19253763481271e-08,"319173/319150/260423/319148/319178/319185/319172/319165/319157/319169/319167/319184/319170/319166/319183/319191/97908",17
"R-MMU-110330","Recognition and association of DNA glycosylase with site containing an affected purine","14/243","59/8895",0.23728813559322,8.68591755597405,9.9262981989168,3.95343650487855e-10,1.68515231020448e-08,1.44612545836347e-08,"319173/319178/319185/319172/319165/319157/319169/319167/319184/319170/319166/319183/234258/319191",14
"R-MMU-9843940","Regulation of endogenous retroelements by KRAB-ZFP proteins","19/243","120/8895",0.158333333333333,5.79578189300411,8.86379958868369,4.86170223089478e-10,1.84204495637236e-08,1.58076400022076e-08,"319173/319150/260423/666532/319148/319178/319185/433791/319172/319165/319157/319169/319167/319184/319170/319166/319183/319191/97908",19
"R-MMU-110331","Cleavage of the damaged purine","14/243","61/8895",0.229508196721311,8.40113337381097,9.72026028866636,6.37460330310648e-10,2.17373972635931e-08,1.86541022975116e-08,"319173/319178/319185/319172/319165/319157/319169/319167/319184/319170/319166/319183/234258/319191",14
