"sample","group","gene","expr"
"CJI1.A.CD1.ET1.1","Control","Trp53",10.3199284033535
"CJI2.B.CD1.ET2.1","Control","Trp53",10.2885142984659
"CJI3.I.K5PP3W.ET1.1","Mutant","Trp53",11.2513492875189
"CJI4.J.K5PP3W.ET2.1","Mutant","Trp53",10.9387658934856
"CJI5.K.K5PP3W.Rap1.1","Mutant_Rap","Trp53",10.6716727165972
"CJI6.L.K5PP3W.Rap2.1","Mutant_Rap","Trp53",10.7029642684771
"CJI1.A.CD1.ET1.1","Control","Gapdh",11.1483349664776
"CJI2.B.CD1.ET2.1","Control","Gapdh",11.6704880494067
"CJI3.I.K5PP3W.ET1.1","Mutant","Gapdh",12.9604475933239
"CJI4.J.K5PP3W.ET2.1","Mutant","Gapdh",12.8987831309516
"CJI5.K.K5PP3W.Rap1.1","Mutant_Rap","Gapdh",12.1053216704958
"CJI6.L.K5PP3W.Rap2.1","Mutant_Rap","Gapdh",12.1065467220941
