"","CJI1.A.CD1.ET1.1","CJI2.B.CD1.ET2.1","CJI3.I.K5PP3W.ET1.1","CJI4.J.K5PP3W.ET2.1","CJI5.K.K5PP3W.Rap1.1","CJI6.L.K5PP3W.Rap2.1"
"ENSMUSG00000000001",2014,2003,2847,2355,2273,1926
"ENSMUSG00000000003",13736,19194,2853,5711,5413,4394
"ENSMUSG00000000028",40,48,321,198,95,66
"ENSMUSG00000000037",82,55,94,83,155,98
"ENSMUSG00000000049",25,22,19,16,8,18
"ENSMUSG00000000056",419,409,551,614,539,431
"ENSMUSG00000000058",5174,4992,6053,6967,7336,6775
"ENSMUSG00000000078",49738,43955,38960,45614,50105,46076
"ENSMUSG00000000085",2469,2220,1569,1857,2346,2183
"ENSMUSG00000000088",753,734,1432,1178,971,804
"ENSMUSG00000000093",1726,1127,1792,1909,3449,2587
"ENSMUSG00000000120",2082,2202,3647,2603,2724,3019
"ENSMUSG00000000126",232,210,99,108,257,140
"ENSMUSG00000000127",619,719,783,880,917,942
"ENSMUSG00000000131",2179,1960,2283,2347,2171,2063
"ENSMUSG00000000134",906,891,1827,1996,1804,1694
"ENSMUSG00000000142",2622,1731,684,842,1864,1733
"ENSMUSG00000000148",197,205,255,239,246,165
"ENSMUSG00000000149",1218,1223,1105,1321,1809,1647
"ENSMUSG00000000154",107,77,147,133,98,75
"ENSMUSG00000000159",238,230,2651,965,399,78
"ENSMUSG00000000167",26,46,37,43,34,27
"ENSMUSG00000000168",701,751,1028,860,870,684
"ENSMUSG00000000171",617,463,951,710,542,441
"ENSMUSG00000000184",4297,3702,4247,4219,9667,7459
"ENSMUSG00000000194",1940,1695,1331,1562,1720,1370
"ENSMUSG00000000197",40,60,0,4,11,16
"ENSMUSG00000000214",20,7,5,6,34,18
"ENSMUSG00000000216",493,404,405,447,969,906
"ENSMUSG00000000248",13,7,32,10,8,12
"ENSMUSG00000000253",84,72,521,269,226,91
"ENSMUSG00000000266",1383,1306,1116,1141,1280,1320
"ENSMUSG00000000275",1647,1441,1929,1508,1266,979
"ENSMUSG00000000276",374,376,387,378,304,373
"ENSMUSG00000000278",616,651,410,404,470,400
"ENSMUSG00000000282",986,1136,858,1114,1115,1348
"ENSMUSG00000000290",18,9,49,18,8,8
"ENSMUSG00000000295",140,138,311,232,131,140
"ENSMUSG00000000296",300,225,147,129,104,104
"ENSMUSG00000000301",27,21,42,39,29,18
"ENSMUSG00000000303",13364,14039,14643,15984,14643,17226
"ENSMUSG00000000305",21,26,10,15,16,37
"ENSMUSG00000000308",106,146,1412,896,237,169
"ENSMUSG00000000317",41,17,19,28,10,15
"ENSMUSG00000000318",9,8,19,11,10,6
"ENSMUSG00000000320",448,251,427,357,217,172
"ENSMUSG00000000325",2156,1859,1182,1469,1969,1551
"ENSMUSG00000000326",1403,1311,1218,1371,964,928
"ENSMUSG00000000339",336,313,566,484,422,348
"ENSMUSG00000000340",1017,1218,851,959,603,732
"ENSMUSG00000000346",4202,3849,3368,3358,3337,3070
"ENSMUSG00000000355",411,426,624,596,496,435
"ENSMUSG00000000359",32,29,2,8,11,6
"ENSMUSG00000000374",2767,2884,2653,2571,3121,2926
"ENSMUSG00000000378",295,272,275,280,262,239
"ENSMUSG00000000384",623,579,792,600,436,354
"ENSMUSG00000000385",462,383,1640,2369,873,293
"ENSMUSG00000000386",65,13,579,108,9,9
"ENSMUSG00000000392",19,16,10,8,16,12
"ENSMUSG00000000399",473,411,707,579,561,444
"ENSMUSG00000000402",191,174,4,10,54,43
"ENSMUSG00000000409",21,27,40,30,17,16
"ENSMUSG00000000416",1329,1147,498,808,1117,1609
"ENSMUSG00000000420",1665,1828,2080,1930,1809,1759
"ENSMUSG00000000439",1440,1274,1298,1275,1340,1246
"ENSMUSG00000000440",57,68,35,48,18,22
"ENSMUSG00000000441",2328,2078,2365,2361,2238,2144
"ENSMUSG00000000486",46,80,29,34,32,32
"ENSMUSG00000000489",180,114,152,124,151,63
"ENSMUSG00000000530",769,526,244,252,433,452
"ENSMUSG00000000531",69,83,43,51,43,69
"ENSMUSG00000000532",1328,1111,1287,1255,1505,1374
"ENSMUSG00000000538",1395,1315,829,889,1595,1162
"ENSMUSG00000000544",0,23,87,38,17,15
"ENSMUSG00000000552",343,230,329,350,550,515
"ENSMUSG00000000555",169,173,290,257,178,221
"ENSMUSG00000000561",707,798,1629,1150,976,707
"ENSMUSG00000000563",1967,1812,3306,2667,2224,1980
"ENSMUSG00000000567",5188,5050,4513,4880,5915,5703
"ENSMUSG00000000568",3674,3860,3879,3191,3198,3823
"ENSMUSG00000000579",51,49,26,28,28,24
"ENSMUSG00000000581",487,501,940,730,668,577
"ENSMUSG00000000594",1253,981,422,689,805,897
"ENSMUSG00000000600",1284,1179,1318,1510,1618,1489
"ENSMUSG00000000605",1344,1383,1325,1471,1375,1447
"ENSMUSG00000000628",3256,4450,5186,3942,3087,4401
"ENSMUSG00000000631",3726,3341,4190,3223,5903,3651
"ENSMUSG00000000682",32,36,21,8,8,2
"ENSMUSG00000000686",235,244,222,228,287,243
"ENSMUSG00000000690",178,166,101,112,123,83
"ENSMUSG00000000693",123,113,175,137,100,105
"ENSMUSG00000000708",1655,1843,924,1061,1090,1032
"ENSMUSG00000000711",1339,1170,976,1096,1227,1009
"ENSMUSG00000000724",51,26,17,11,16,27
"ENSMUSG00000000732",166,161,84,68,159,88
"ENSMUSG00000000738",766,774,910,940,788,708
"ENSMUSG00000000739",6778,4506,1065,2235,2524,3526
"ENSMUSG00000000740",9200,8420,8132,7400,8576,9232
"ENSMUSG00000000743",1227,1064,1397,1373,1258,1031
"ENSMUSG00000000751",4409,3381,3205,2761,4088,3659
"ENSMUSG00000000753",174,135,169,173,217,307
"ENSMUSG00000000759",1188,1022,1399,1318,1119,1006
"ENSMUSG00000000776",311,335,411,348,297,233
"ENSMUSG00000000782",545,463,370,308,447,447
"ENSMUSG00000000787",20473,23428,18999,16966,18909,22984
"ENSMUSG00000000792",186,214,725,896,1714,514
"ENSMUSG00000000794",56,76,7,15,20,18
"ENSMUSG00000000804",1995,1835,1438,1643,1929,2090
"ENSMUSG00000000811",388,277,292,260,276,394
"ENSMUSG00000000823",1595,1436,1173,1204,1260,1309
"ENSMUSG00000000826",3082,3269,3028,3158,2699,2990
"ENSMUSG00000000827",819,822,1056,1162,866,652
"ENSMUSG00000000838",2815,2812,2587,2436,2753,3006
"ENSMUSG00000000861",2760,2302,2467,2561,3420,3374
"ENSMUSG00000000869",45,39,31,35,36,22
"ENSMUSG00000000876",257,194,187,206,205,159
"ENSMUSG00000000881",1313,1278,1109,1284,1485,1287
"ENSMUSG00000000884",124,112,91,75,88,63
"ENSMUSG00000000901",46,26,49,55,22,27
"ENSMUSG00000000902",657,579,1054,1102,800,653
"ENSMUSG00000000915",2154,1803,1655,1709,1515,1551
"ENSMUSG00000000916",299,366,367,276,280,245
"ENSMUSG00000000934",476,434,595,602,609,496
"ENSMUSG00000000938",1099,928,1202,1110,1118,996
