gene,BB7,CC7,EE6,s29,X15,s7
ENSG00000000003,178.0,197.0,98.0,159.0,807.0,873.0
ENSG00000000005,6.0,5.0,2.0,7.0,27.0,5.0
ENSG00000000419,491.0,688.0,353.0,466.0,1743.0,1563.0
ENSG00000000457,591.0,666.0,321.0,533.0,1024.0,948.0
ENSG00000000460,108.0,196.0,150.0,103.0,397.0,288.0
ENSG00000000938,154.0,121.0,114.0,48.0,159.0,154.0
ENSG00000000971,1045.0,786.0,232.0,588.0,1711.0,2105.0
ENSG00000001036,604.0,784.0,487.0,427.0,1474.0,1301.0
ENSG00000001084,1820.0,2438.0,1449.0,1525.0,2931.0,3761.0
ENSG00000001167,1235.0,1549.0,659.0,900.0,2845.0,2374.0
ENSG00000001460,776.0,986.0,225.0,571.0,1174.0,1196.0
ENSG00000001461,2303.0,3336.0,1400.0,1348.0,14096.0,12016.0
ENSG00000001497,879.0,1275.0,929.0,584.0,1847.0,1439.0
ENSG00000001561,2274.0,3270.0,1714.0,1878.0,3289.0,4395.0
ENSG00000001617,140.0,132.0,22.0,31.0,183.0,114.0
ENSG00000001626,47.0,103.0,100.0,35.0,86.0,60.0
ENSG00000001629,5783.0,8287.0,5591.0,4617.0,14199.0,11971.0
ENSG00000001630,3228.0,4240.0,1825.0,1302.0,8915.0,9629.0
ENSG00000001631,1472.0,2251.0,1213.0,1377.0,2625.0,3217.0
ENSG00000002016,232.0,234.0,222.0,95.0,362.0,250.0
ENSG00000002079,10.0,14.0,15.0,8.0,0.0,0.0
ENSG00000002330,1366.0,1644.0,693.0,1028.0,3114.0,2535.0
ENSG00000002549,2516.0,1659.0,860.0,966.0,3785.0,2542.0
ENSG00000002586,1457.0,1052.0,2656.0,851.0,4873.0,1662.0
ENSG00000002587,507.0,415.0,110.0,267.0,585.0,481.0
ENSG00000002726,0.0,2.0,1.0,1.0,0.0,0.0
ENSG00000002745,58.0,60.0,7.0,59.0,155.0,76.0
ENSG00000002746,5645.0,7012.0,1067.0,3024.0,7792.0,8979.0
ENSG00000002822,703.0,844.0,384.0,365.0,1219.0,834.0
ENSG00000002834,6755.0,10284.0,2582.0,4401.0,14081.0,3808.0
ENSG00000002919,489.0,638.0,310.0,340.0,1819.0,1377.0
ENSG00000002933,366.0,365.0,263.0,144.0,895.0,489.0
ENSG00000003056,1335.0,1920.0,1094.0,1071.0,1741.0,3218.0
ENSG00000003096,231.0,374.0,199.0,292.0,1002.0,846.0
ENSG00000003137,407.0,4226.0,334.0,1389.0,1967.0,1084.0
ENSG00000003147,1489.0,1797.0,577.0,1249.0,3161.0,3074.0
ENSG00000003249,3122.0,2943.0,485.0,1305.0,2907.0,3472.0
ENSG00000003393,3118.0,4175.0,1188.0,2504.0,6212.0,5446.0
ENSG00000003400,146.0,223.0,70.0,57.0,489.0,277.0
ENSG00000003402,1238.0,2365.0,1508.0,926.0,4428.0,3942.0
ENSG00000003436,99.0,92.0,37.0,65.0,112.0,155.0
ENSG00000003509,454.0,488.0,196.0,411.0,1190.0,1270.0
ENSG00000003756,2272.0,3131.0,1890.0,1748.0,5311.0,3660.0
ENSG00000003987,2178.0,3566.0,1098.0,2203.0,4241.0,4325.0
ENSG00000003989,927.0,745.0,610.0,586.0,1936.0,1781.0
ENSG00000004059,3296.0,3994.0,1320.0,2614.0,5134.0,4146.0
ENSG00000004139,1597.0,1818.0,784.0,734.0,2542.0,1904.0
ENSG00000004142,3050.0,3979.0,1322.0,2022.0,6043.0,4803.0
ENSG00000004399,4168.0,4981.0,1452.0,2053.0,4466.0,3717.0
ENSG00000004455,809.0,732.0,477.0,415.0,2518.0,1890.0
ENSG00000004468,918.0,793.0,1020.0,303.0,1150.0,1610.0
ENSG00000004478,4157.0,5279.0,1962.0,2593.0,10438.0,6921.0
ENSG00000004487,2428.0,3796.0,1670.0,2073.0,6181.0,5598.0
ENSG00000004534,1833.0,2136.0,1572.0,1453.0,2934.0,3035.0
ENSG00000004660,6946.0,8116.0,931.0,4022.0,9188.0,7419.0
ENSG00000004700,514.0,661.0,362.0,417.0,1778.0,1537.0
ENSG00000004766,2343.0,3039.0,1032.0,2229.0,4601.0,5270.0
ENSG00000004776,327.0,341.0,379.0,327.0,1311.0,1182.0
ENSG00000004777,1176.0,2302.0,664.0,920.0,2758.0,3328.0
ENSG00000004779,1106.0,1261.0,483.0,790.0,4877.0,2911.0
ENSG00000004799,1973.0,1712.0,2329.0,2284.0,2943.0,7004.0
ENSG00000004809,2.0,3.0,7.0,0.0,17.0,5.0
ENSG00000004838,44.0,62.0,30.0,49.0,67.0,73.0
ENSG00000004846,1.0,8.0,3.0,4.0,4.0,0.0
ENSG00000004848,701.0,931.0,179.0,355.0,1284.0,1052.0
ENSG00000004864,500.0,610.0,383.0,286.0,765.0,706.0
ENSG00000004866,866.0,1150.0,512.0,801.0,1542.0,1506.0
ENSG00000004897,3321.0,4638.0,2117.0,3195.0,8118.0,9321.0
ENSG00000004939,49.0,8.0,20.0,20.0,17.0,28.0
ENSG00000004948,9.0,27.0,1.0,11.0,4.0,91.0
ENSG00000004961,485.0,610.0,184.0,359.0,2088.0,1707.0
ENSG00000004975,592.0,724.0,319.0,330.0,962.0,769.0
ENSG00000005001,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000005007,3350.0,4160.0,1132.0,1810.0,5143.0,3923.0
ENSG00000005020,1161.0,1894.0,639.0,1181.0,4306.0,3854.0
ENSG00000005022,4849.0,4916.0,1839.0,2938.0,9476.0,8385.0
ENSG00000005059,160.0,220.0,145.0,107.0,674.0,457.0
ENSG00000005073,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000005075,445.0,462.0,378.0,327.0,2002.0,1534.0
