"gene","BB7","CC7","EE6","s29","X15","s7"
"ENSG00000000003",178,197,98,159,807,873
"ENSG00000000419",491,688,353,466,1743,1563
"ENSG00000000457",591,666,321,533,1024,948
"ENSG00000000460",108,196,150,103,397,288
"ENSG00000000938",154,121,114,48,159,154
"ENSG00000000971",1045,786,232,588,1711,2105
"ENSG00000001036",604,784,487,427,1474,1301
"ENSG00000001084",1820,2438,1449,1525,2931,3761
"ENSG00000001167",1235,1549,659,900,2845,2374
"ENSG00000001460",776,986,225,571,1174,1196
"ENSG00000001461",2303,3336,1400,1348,14096,12016
"ENSG00000001497",879,1275,929,584,1847,1439
"ENSG00000001561",2274,3270,1714,1878,3289,4395
"ENSG00000001617",140,132,22,31,183,114
"ENSG00000001626",47,103,100,35,86,60
"ENSG00000001629",5783,8287,5591,4617,14199,11971
"ENSG00000001630",3228,4240,1825,1302,8915,9629
"ENSG00000001631",1472,2251,1213,1377,2625,3217
"ENSG00000002016",232,234,222,95,362,250
"ENSG00000002079",10,14,15,8,0,0
"ENSG00000002330",1366,1644,693,1028,3114,2535
"ENSG00000002549",2516,1659,860,966,3785,2542
"ENSG00000002586",1457,1052,2656,851,4873,1662
"ENSG00000002587",507,415,110,267,585,481
"ENSG00000002745",58,60,7,59,155,76
"ENSG00000002746",5645,7012,1067,3024,7792,8979
"ENSG00000002822",703,844,384,365,1219,834
"ENSG00000002834",6755,10284,2582,4401,14081,3808
"ENSG00000002919",489,638,310,340,1819,1377
"ENSG00000002933",366,365,263,144,895,489
"ENSG00000003056",1335,1920,1094,1071,1741,3218
"ENSG00000003096",231,374,199,292,1002,846
"ENSG00000003137",407,4226,334,1389,1967,1084
"ENSG00000003147",1489,1797,577,1249,3161,3074
"ENSG00000003249",3122,2943,485,1305,2907,3472
"ENSG00000003393",3118,4175,1188,2504,6212,5446
"ENSG00000003400",146,223,70,57,489,277
"ENSG00000003402",1238,2365,1508,926,4428,3942
"ENSG00000003436",99,92,37,65,112,155
"ENSG00000003509",454,488,196,411,1190,1270
"ENSG00000003756",2272,3131,1890,1748,5311,3660
"ENSG00000003987",2178,3566,1098,2203,4241,4325
"ENSG00000003989",927,745,610,586,1936,1781
"ENSG00000004059",3296,3994,1320,2614,5134,4146
"ENSG00000004139",1597,1818,784,734,2542,1904
"ENSG00000004142",3050,3979,1322,2022,6043,4803
"ENSG00000004399",4168,4981,1452,2053,4466,3717
"ENSG00000004455",809,732,477,415,2518,1890
"ENSG00000004468",918,793,1020,303,1150,1610
"ENSG00000004478",4157,5279,1962,2593,10438,6921
"ENSG00000004487",2428,3796,1670,2073,6181,5598
"ENSG00000004534",1833,2136,1572,1453,2934,3035
"ENSG00000004660",6946,8116,931,4022,9188,7419
"ENSG00000004700",514,661,362,417,1778,1537
"ENSG00000004766",2343,3039,1032,2229,4601,5270
"ENSG00000004776",327,341,379,327,1311,1182
"ENSG00000004777",1176,2302,664,920,2758,3328
"ENSG00000004779",1106,1261,483,790,4877,2911
