"gene","Subject 1 - CSU v3","Subject 1 - CSU v6","Subject 2 - CSU v3","Subject 2 - CSU v6","Subject 3 - CSU v3","Subject 3 - CSU v6","Subject 4 - CSU v3","Subject 4 - CSU v6","Subject 1 - non-CSU","Subject 2 - non-CSU","Subject 3 - non-CSU","Subject 4 - non-CSU","Subject 5 - non CSU","Subject 6 - non CSU","Subject 5 - CSU v3","Subject 5 - CSU v6","Subject 6 - CSU v3","Subject 6 - CSU v6","Subject 7 - CSU v3","Subject 7 - CSU v6","Subject 8 - CSU v3"
"ENSG00000000003",4.463851,4.333867,4.648463,4.466406,4.612463,4.980025,4.830218,5.447259,4.832269,5.346705,4.43046,4.662356,5.866567,6.379434,6.358606,6.57184,6.193465,6.462777,6.379502,6.474084,6.73326
"ENSG00000000005",3.522092,4.402189,4.635606,4.204521,3.764524,3.976804,4.481208,4.306382,4.360376,3.958424,4.287052,4.696815,5.386817,5.803326,5.661065,5.669073,5.662798,6.230384,5.666265,5.393566,5.662798
"ENSG00000000419",9.795032,9.289021,8.772582,8.618227,8.984076,9.377302,8.960213,9.105939,9.230754,9.606962,9.602654,9.32848,9.550434,9.060087,9.213737,9.7001,9.285877,9.124686,9.383384,9.272535,8.792356
"ENSG00000000457",8.086899,8.090044,8.154185,8.304667,8.497919,8.121435,8.274812,8.515784,8.806588,8.326375,8.373587,8.130816,9.079236,8.80747,9.055737,9.196512,8.857283,8.907419,9.023246,9.286605,9.517152
"ENSG00000000938",8.360181,10.74004,8.436215,8.655861,8.12645,6.899039,8.104545,8.477804,8.702562,7.382002,8.632053,9.113657,9.70542,9.249993,9.676994,8.940878,9.893223,9.42249,9.433588,8.805788,8.90429
"ENSG00000000971",4.338038,3.635919,4.314687,3.741197,3.979915,4.374971,4.155084,4.895506,4.340615,4.230084,4.562236,3.770073,4.840942,4.60954,4.825288,4.913638,4.757539,4.846788,4.751478,5.014308,5.072196
"ENSG00000001036",8.86968,8.514868,8.192636,7.8791,8.151994,8.426876,8.305037,8.413252,8.52046,8.410301,8.532093,8.335042,9.051713,8.443611,8.401112,8.606631,8.393475,8.289802,8.403312,7.853292,8.431678
"ENSG00000001084",7.960787,7.377584,8.190099,7.472936,7.096154,7.598458,7.908123,7.537362,7.808466,8.228804,7.90049,7.7338,9.126799,8.556753,8.734783,8.749405,8.107074,8.807224,9.064969,9.125023,8.6665
"ENSG00000001167",10.46774,10.24665,10.58107,10.66014,10.63158,10.65891,9.845091,10.30936,10.62399,10.5173,10.57749,10.78263,10.55727,11.03851,11.08702,10.89386,11.35798,10.79823,10.71614,10.5569,10.8946
"ENSG00000001460",7.240015,8.499012,7.901786,8.066244,7.371517,7.671107,6.975951,7.251186,7.070825,7.314465,7.353158,7.084773,8.645328,8.274228,7.810658,7.843285,7.657368,8.472845,7.897761,7.803388,8.184549
