"gene","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000045868","Gvin1",822.812147995151,-12.5779578680859,0.942883534003926,-13.3398849534194,1.35668745103895e-40,2.35914380861162e-36
"ENSMUSG00000066258","Trim12a",190.880907801493,-10.4555154094462,0.849473502382585,-12.3082301921376,8.17972121346282e-35,7.11185860904525e-31
"ENSMUSG00000099291","ENSMUSG00000099291",70.9737075748488,-23.7726911505562,2.54435046107168,-9.34332416633485,9.33560976813823e-21,5.41123060860519e-17
"ENSMUSG00000098934","Gvin-ps4",116.204923993861,-10.3060402195896,1.20895998885919,-8.52471571810632,1.53185572901855e-17,6.65935981797591e-14
"ENSMUSG00000060441","Trim5",64.9848472332033,-7.5965554711982,0.923116773648375,-8.22924649194145,1.88394750348679e-16,6.55199262762635e-13
"ENSMUSG00000030761","Myo7a",595.974051162945,-1.76805637665019,0.238809624181745,-7.40362279245756,1.32518508149019e-13,3.84060723033882e-10
"ENSMUSG00000057596","Trim30d",176.400810198798,-3.22224503565349,0.506068839413076,-6.36720695822838,1.92501355428186e-10,4.78200867077247e-07
"ENSMUSG00000096214","ENSMUSG00000096214",102.574374113569,-24.063942588778,4.08722217368667,-5.88760325868764,3.91836358288935e-09,8.51705304285786e-06
"ENSMUSG00000030532","Hddc3",144.809342535372,1.77703331317053,0.303552994202521,5.85411228717759,4.79564549638353e-09,9.26571994851258e-06
"ENSMUSG00000095649","ENSMUSG00000095649",11.1939952049484,-5.59679882278014,1.00156980000164,-5.58802673839702,2.29664288743446e-08,3.99363231695979e-05
"ENSMUSG00000073902","ENSMUSG00000073902",497.319247523475,-4.13525709112772,0.836745684135393,-4.94207161092283,7.72968120887287e-07,0.00122192205946446
"ENSMUSG00000040565","Btaf1",914.492657421497,-0.634698008533327,0.13249703602603,-4.79028080604487,1.6654807134735e-06,0.00241342034388256
"ENSMUSG00000037552","Plekhg2",337.62485601584,-1.31368336425679,0.291599604189953,-4.50509309814094,6.63438500152493e-06,0.00887425544550131
"ENSMUSG00000082154","ENSMUSG00000082154",16.608324120153,-2.93978004861416,0.662010784420917,-4.44068301876031,8.96738019029203e-06,0.0111381267234992
"ENSMUSG00000105338","ENSMUSG00000105338",28.1440037056477,-2.99299155670776,0.690255697550469,-4.33606208152874,1.45057990590837e-05,0.0168160893225605
"ENSMUSG00000090171","Ugt1a2",6.94510926117273,-5.51255126468972,1.31118746760733,-4.20424340597846,2.61956921199733e-05,0.0253064939041231
"ENSMUSG00000027072","Prg3",15.8047974824334,-4.35323573960174,1.03391400412714,-4.21044276625005,2.54870687780403e-05,0.0253064939041231
"ENSMUSG00000030247","Kcnj8",99.9905564333007,-2.31697930620761,0.550070102940599,-4.21215276711342,2.52948372194154e-05,0.0253064939041231
"ENSMUSG00000074743","Thbd",335.084933638097,-1.74927632714758,0.421697469488487,-4.14817838311769,3.35131232026843e-05,0.0306715631248146
"ENSMUSG00000048489","Depp1",81.3373250571255,-2.83695799564891,0.692885588458618,-4.09441045232296,4.23243950682208e-05,0.036635640448746
"ENSMUSG00000026814","Eng",1614.09324140202,-1.83970386690351,0.450856893636666,-4.08046076896869,4.49465150662089e-05,0.036635640448746
"ENSMUSG00000023067","Cdkn1a",125.224342105907,-1.61122866289304,0.39555785785226,-4.07330718100621,4.63502265726846e-05,0.036635640448746
"ENSMUSG00000016356","Col20a1",15.2415288165305,-1.65940529671538,0.409154809205324,-4.05569055863803,4.99864004081653e-05,0.0377918920303298
"ENSMUSG00000073678","Pgap1",190.618797788469,0.911592200093823,0.226386919583249,4.02669996028018,5.65651372023073e-05,0.0409837987837884
"ENSMUSG00000087632","ENSMUSG00000087632",8.27067933683405,-2.85567854203721,0.723718603015058,-3.94584100801094,7.95203690878508e-05,0.0531838345411015
"ENSMUSG00000028862","Map3k6",93.769212713146,-2.43126920181531,0.614778367349292,-3.95470844606665,7.66280388506468e-05,0.0531838345411015
"ENSMUSG00000001783","Rtcb",803.587557763846,0.354889073173869,0.0902883890424747,3.93061695903021,8.47281645305477e-05,0.0545680760378405
"ENSMUSG00000019877","Serinc1",1880.77055812538,0.486158289467026,0.124395006219794,3.9081817208002,9.29933516091284e-05,0.0557607376252115
"ENSMUSG00000057363","Uxs1",256.288622265761,0.401256501193183,0.102475036736858,3.91565120609378,9.01605163689204e-05,0.0557607376252115
