"gene","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000037386","Rims2",2654.54413031887,4.60950142175731,0.310304349445881,14.8547754164214,6.47846779575581e-50,1.17201960893018e-45
"ENSMUSG00000045868","Gvin1",822.812147995151,-13.5023084787889,0.94274615107784,-14.3223162071272,1.58742992196631e-46,1.43590973591463e-42
"ENSMUSG00000041670","Rims1",5481.49217891402,4.9119523140314,0.348899352855513,14.0784219684854,5.15480223744773e-45,3.10851757592223e-41
"ENSMUSG00000049044","Rapgef4",6861.20874288339,4.62519410227965,0.342592130169132,13.5005847915895,1.5513979077083e-41,7.0165848870877e-38
"ENSMUSG00000066258","Trim12a",190.880907801493,-11.4017643433168,0.848806089212526,-13.4327079980007,3.8892465029808e-41,1.40720716970851e-37
"ENSMUSG00000019856","Fam184a",551.544504588341,4.25581727633398,0.320967980924056,13.2593203349494,3.98490908031694e-40,1.2015165028669e-36
"ENSMUSG00000058589","Anks1b",1626.56727586597,3.72446551178826,0.285394537762538,13.0502340408743,6.3352485445362e-39,1.43263726774006e-35
"ENSMUSG00000025104","Hdgfl3",849.919850676591,3.53295777597352,0.2705628842262,13.0578064544132,5.73567327156744e-39,1.43263726774006e-35
"ENSMUSG00000026764","Kif5c",13133.1452919483,5.24927473815362,0.403987472523045,12.9936572175618,1.32920259612263e-38,2.46019121054478e-35
"ENSMUSG00000031099","Smarca1",562.835798288152,4.60837091006529,0.354710801398623,12.9919102883095,1.35989785558829e-38,2.46019121054478e-35
"ENSMUSG00000031647","Mfap3l",844.741494457623,4.11824648965784,0.318098429944661,12.9464533678279,2.46061954817558e-38,4.04682438600403e-35
"ENSMUSG00000027805","Pfn2",698.928897899342,4.31939464980598,0.333922728065261,12.9353119352864,2.84466155383753e-38,4.28856434753956e-35
"ENSMUSG00000046447","Camk2n1",5505.23084968612,4.06940443128915,0.315544755404305,12.8964413497383,4.71366748152542e-38,6.38191570194127e-35
"ENSMUSG00000052684","Jun",6458.20192028113,-3.21471198022159,0.249340769553611,-12.8928453456561,4.938744117361e-38,6.38191570194127e-35
"ENSMUSG00000018451","6330403K07Rik",194.799493718814,3.95194556371448,0.307078416824552,12.8694996039803,6.68337282682339e-38,7.55680611312887e-35
"ENSMUSG00000028278","Rragd",478.365397225917,3.72857233354524,0.289683670694754,12.8711857475533,6.53905104517591e-38,7.55680611312887e-35
"ENSMUSG00000032355","Mlip",948.201193175496,4.89547758028595,0.382851290197896,12.7868906429843,1.94084845605949e-37,2.06540525991601e-34
"ENSMUSG00000048978","Nrsn1",972.33352425868,4.97060879951782,0.390152816883652,12.7401586876152,3.53674719227782e-37,3.55462741419433e-34
"ENSMUSG00000024403","Atp6v1g2",462.231532587236,3.83676553257452,0.310600050284135,12.3527524514715,4.70728822684891e-35,4.48208164799599e-32
"ENSMUSG00000074657","Kif5a",68752.1095675338,5.1583782015658,0.419548845183805,12.295059945418,9.6285310432196e-35,8.49065010590736e-32
"ENSMUSG00000027525","Phactr3",1894.11700764927,4.744134160444,0.385916145442113,12.2931735727435,9.85593124891132e-35,8.49065010590736e-32
"ENSMUSG00000033208","S100b",2278.69699785501,5.17563362633938,0.421273799606249,12.2856765153135,1.08136602689033e-34,8.89226945112405e-32
"ENSMUSG00000021379","Id4",380.115962844909,4.34352753530673,0.353668435574287,12.2813547899849,1.14071855753822e-34,8.97249540192342e-32
"ENSMUSG00000026527","Rgs7",286.228424114144,3.98752348552448,0.325493543581065,12.2506991741032,1.66553776029855e-34,1.25546848423171e-31
"ENSMUSG00000000247","Lhx2",383.81615737059,4.63933187958337,0.380289994253931,12.1994581758193,3.12899058419322e-34,2.26426274634558e-31
