"gene","Bmal1601","Bmal1602","Bmal1621","Bmal1631","Bmal1632","Bmal1633","Bmal1634","Bmal1641","Bmal1642","Bmal1643","Bmal1644","Bmal1645","Bmal121","Bmal122","Bmal131","Bmal132","Bmal133","Bmal171","Bmal141","Bmal142","Bmal151","Bmal191","Bmal192","Bmal193","Bmal1211"
"ENSMUSG00000000001",9.6452085518442,9.67663212605993,9.56248492401467,9.54050005442547,9.66871499690558,9.69967906560141,10.0003627398016,9.40471470791845,9.21894189598757,9.58465405046117,9.84075853519356,9.874104455807,9.39976577066603,9.43703237398443,9.07086031294187,8.95270267536194,8.61325133606248,7.84960414271004,8.22418468481183,7.78073176683467,9.10981911954888,9.3345688130006,9.15135374625804,9.12275733034407,8.31139059360066
"ENSMUSG00000000028",5.70505970355955,5.37011163789631,6.01885006606862,5.991139634409,5.95390802973216,6.09111051834839,6.86273032024548,6.51242079689125,5.97230066049835,5.97709995399319,6.64524752601111,5.99740009600897,5.88639252541629,6.06609042854984,5.38402806543577,5.37693444235014,4.20039498433251,4.92811571690917,4.8274445424036,4.38558801491558,5.57687436104784,5.67077154511542,6.68534678188029,4.95154581861588,4.92425363720675
"ENSMUSG00000000056",9.64420430167489,9.31421275731092,9.31897053819638,9.26159296787618,9.51937413668474,9.60990716545234,9.36385056383536,9.22380790491842,9.16035146080366,8.85897367049751,9.83189583166201,9.55336822426231,9.04303188996263,9.07785328354957,7.98950473260303,8.317014929945,8.06714982338308,8.77441581524782,8.79223981030104,8.58039881268485,8.51221738576589,8.21086784299364,8.49516303440311,8.40687908069714,8.62176874502845
"ENSMUSG00000000058",7.13815031586353,6.23283096667773,6.42106662706581,6.43547591245721,7.30026949812169,7.55982206106974,6.97279507126647,7.58331807161785,7.14828630696406,8.16563308679922,6.39881211394433,6.8656012840023,7.95135423831824,8.2414182586817,8.13597235454244,8.23407688829402,8.73149782594923,7.81485091440266,7.22677109993113,6.88872922141324,8.31734020890997,7.82373524516712,7.54401579244796,8.64765362526354,8.27801660495
"ENSMUSG00000000078",10.8557777746687,10.6235909695808,10.5553957492692,10.2722359405389,10.7430583384103,10.7125497253193,10.9422223105041,10.716020436065,10.6320489080271,10.506717868946,11.0345368320899,10.8515915280864,10.4164684864384,10.4460264432892,8.39054560909455,8.63507527612801,8.89877669898052,7.66674717291247,7.7574058690069,7.75661943361948,8.96442782820829,9.40905845258469,9.33443753838238,8.20830936532238,8.37063502266851
"ENSMUSG00000000085",8.70883639594767,8.79588926364109,8.90004336016013,8.82523298864813,8.75117158495666,8.9016236826352,8.65234095019516,8.93381326802124,8.44394639011112,8.92000818468375,8.69437339825314,8.68941271192531,8.6945782671282,8.87295762048537,8.62941210255411,8.99105821399435,8.73857555525222,9.03763338973677,8.49190003465068,8.81398467978528,8.71448048305039,8.35314259688728,8.47032120800409,8.97568904713074,8.93872513726369
"ENSMUSG00000000088",6.14446962327843,6.43360563805904,7.46307674433458,6.96342929504203,6.873851024212,6.70674924021021,6.72543768477768,6.63219478786404,6.50803853210908,6.73709801778332,7.12745416256071,7.47038862846786,7.66271546148205,7.12575612783278,7.71200603736238,7.57827442250477,6.76346295834913,7.94908200211977,7.56455170204962,7.63619628018682,8.17755502060993,8.07208435714455,7.93821951281401,8.09268745955565,7.50720043507516
"ENSMUSG00000000093",6.02201277025587,5.71157311922812,5.33098274931914,5.89729579127872,6.70318550116585,6.2354520810932,5.35657038942686,6.75213448529921,6.10171918312501,7.82003694881997,5.48969708600459,5.70861784212626,6.74841298276271,7.52950660507919,5.90905722064816,6.38150739844726,6.1789806185115,6.51933826776645,5.61755958244972,5.19674241525686,6.11449922039404,5.86763074676662,5.34781302100578,4.89791484058362,6.33196751166359
"ENSMUSG00000000094",4.90736655703114,5.49455776270224,4.58363940639317,4.40777547584714,5.06522443999724,4.50532234436721,5.16562028825671,5.28290434333177,4.78186851858589,5.64918543766109,4.56868831852482,4.50937167261155,5.60492277823846,5.54353457242196,4.61248202795491,4.10797491339632,4.20039498433251,4.03813899853819,4.67146583508365,3.60733409976779,3.60733409976779,3.60733409976779,5.00204575573998,3.60733409976779,5.11217490608867
"ENSMUSG00000000120",5.35007512507594,5.31654310030605,4.7924063493275,4.87358763473956,4.45297707167868,4.77039633771829,4.86028273473603,4.62807733554344,5.66814651738252,4.99676048419247,4.9438770889495,5.38312618027876,4.79269451580499,5.05474132340905,5.18176621521064,5.58381288728768,4.89921806095593,5.37875991678331,5.34949168548277,5.95291135934487,4.73565260417841,4.5916213785826,5.4619890552145,4.71742358104329,5.58098723182889
