gene_id,gene_name,GO_term,15_count,s29_count,BB7_count,s7_count,15_FPKM,s29_FPKM,BB7_FPKM,s7_FPKM
GENE1,GENE1,GO:0008150,1889.0,1250.0,1368.0,1794.0,2.747,9.118,13.588,27.672
GENE2,GENE2,GO:0008150,1156.0,1551.0,1667.0,450.0,28.963,13.425,28.283,4.256
GENE3,GENE3,GO:0008150,111.0,600.0,570.0,1747.0,17.261,27.84,28.372,0.398
GENE4,GENE4,GO:0008150,-5.0,10.0,999.0,1642.0,24.11,8.353,11.186,7.909
GENE5,GENE5,GO:0008150,262.0,1594.0,238.0,935.0,8.458,26.958,28.206,4.033
GENE6,GENE6,GO:0008150,1632.0,606.0,683.0,556.0,24.054,20.414,12.177,5.659
GENE7,GENE7,GO:0008150,1438.0,509.0,1980.0,890.0,21.085,25.605,11.243,17.5
GENE8,GENE8,GO:0008150,956.0,1009.0,1165.0,1106.0,19.31,12.098,22.699,12.669
GENE9,GENE9,GO:0008150,1018.0,1991.0,1615.0,1585.0,28.517,0.098,14.136,12.877
GENE10,GENE10,GO:0008150,1400.0,1244.0,682.0,1977.0,13.005,23.609,13.446,6.168
GENE11,GENE11,GO:0008150,932.0,430.0,1690.0,320.0,12.453,7.364,11.584,19.938
GENE12,GENE12,GO:0008150,1714.0,1225.0,229.0,87.0,20.764,4.274,12.984,8.685
GENE13,GENE13,GO:0008150,889.0,71.0,283.0,1029.0,25.052,23.985,4.195,11.974
GENE14,GENE14,GO:0008150,1940.0,932.0,1616.0,1834.0,10.052,20.59,1.831,13.902
GENE15,GENE15,GO:0008150,1646.0,1258.0,882.0,1028.0,20.09,6.372,22.62,27.133
GENE16,GENE16,GO:0008150,532.0,993.0,758.0,495.0,6.271,8.027,16.935,7.391
GENE17,GENE17,GO:0008150,1986.0,23.0,194.0,384.0,16.551,28.177,20.157,21.56
GENE18,GENE18,GO:0008150,1938.0,1384.0,1763.0,401.0,23.075,8.056,24.07,9.281
GENE19,GENE19,GO:0008150,1441.0,739.0,978.0,7.0,1.959,21.072,6.903,26.833
GENE20,GENE20,GO:0008150,1235.0,1660.0,1327.0,308.0,21.835,3.887,7.013,11.822
GENE21,GENE21,GO:0008150,1067.0,535.0,1929.0,1760.0,0.463,24.451,8.337,15.155
GENE22,GENE22,GO:0008150,372.0,1019.0,1879.0,1694.0,28.751,3.528,9.118,26.316
GENE23,GENE23,GO:0008150,1415.0,1279.0,84.0,1483.0,14.06,15.481,22.821,20.183
GENE24,GENE24,GO:0008150,947.0,182.0,488.0,1082.0,12.272,1.057,11.225,2.831
GENE25,GENE25,GO:0008150,1453.0,1015.0,1225.0,1742.0,21.613,16.502,9.696,4.105
GENE26,GENE26,GO:0008150,1372.0,722.0,1286.0,1196.0,15.699,25.399,19.089,29.722
GENE27,GENE27,GO:0008150,216.0,118.0,1320.0,775.0,21.925,2.532,5.597,0.873
GENE28,GENE28,GO:0008150,1196.0,646.0,451.0,300.0,2.543,8.228,3.193,9.026
GENE29,GENE29,GO:0008150,763.0,1632.0,801.0,758.0,16.884,22.941,20.914,28.767
GENE30,GENE30,GO:0008150,1150.0,1957.0,784.0,1179.0,16.743,18.243,22.693,0.453
GENE31,GENE31,GO:0008150,878.0,1210.0,891.0,1275.0,27.963,9.384,8.891,4.842
GENE32,GENE32,GO:0008150,1094.0,1352.0,1913.0,301.0,1.188,18.867,19.081,6.401
GENE33,GENE33,GO:0008150,1123.0,880.0,715.0,479.0,13.585,13.641,1.022,2.592
GENE34,GENE34,GO:0008150,104.0,804.0,1652.0,193.0,18.932,25.871,12.13,14.159
GENE35,GENE35,GO:0008150,812.0,1935.0,1902.0,430.0,16.522,8.788,17.339,17.773
GENE36,GENE36,GO:0008150,15.0,1343.0,28.0,600.0,2.225,22.732,7.603,9.55
