gene,15,s29,BB7,s7
ACTB,1564.0,484.0,1138.0,1450.0
GENE1,1889.0,1250.0,1368.0,1794.0
GENE10,1400.0,1244.0,682.0,1977.0
GENE100,1140.0,1876.0,1715.0,1076.0
GENE101,1285.0,1623.0,874.0,1316.0
GENE102,432.0,1221.0,473.0,382.0
GENE103,1522.0,1148.0,753.0,79.0
GENE104,473.0,1603.0,936.0,1920.0
GENE105,1801.0,1708.0,31.0,101.0
GENE106,1157.0,677.0,1683.0,636.0
GENE107,306.0,225.0,602.0,1253.0
GENE108,252.0,1594.0,605.0,627.0
GENE109,1325.0,1725.0,871.0,1594.0
GENE11,932.0,430.0,1690.0,320.0
GENE110,609.0,258.0,1657.0,1533.0
GENE111,1501.0,1765.0,996.0,394.0
GENE112,1170.0,1147.0,772.0,1277.0
GENE113,526.0,1218.0,1587.0,192.0
GENE114,907.0,1322.0,102.0,1263.0
GENE115,1825.0,1647.0,1370.0,1607.0
GENE116,723.0,654.0,167.0,1444.0
GENE117,628.0,1734.0,931.0,1785.0
GENE118,276.0,323.0,693.0,53.0
GENE119,983.0,1301.0,1323.0,429.0
GENE12,1714.0,1225.0,229.0,87.0
GENE120,328.0,1127.0,1266.0,1889.0
GENE121,1791.0,758.0,323.0,505.0
GENE122,1763.0,913.0,1985.0,1314.0
GENE123,1190.0,202.0,1181.0,761.0
GENE124,1687.0,267.0,383.0,1324.0
GENE125,1360.0,1661.0,1049.0,753.0
GENE126,611.0,743.0,1325.0,1079.0
GENE127,591.0,430.0,1421.0,494.0
GENE128,417.0,659.0,1707.0,914.0
GENE129,1189.0,163.0,689.0,1505.0
GENE13,889.0,71.0,283.0,1029.0
GENE130,1545.0,1158.0,1752.0,599.0
GENE131,328.0,155.0,399.0,1526.0
GENE132,1807.0,262.0,1003.0,266.0
GENE133,1689.0,261.0,1281.0,162.0
GENE134,1476.0,1812.0,1463.0,538.0
GENE135,1683.0,612.0,1507.0,1665.0
GENE136,970.0,1239.0,1710.0,374.0
GENE137,39.0,869.0,362.0,1767.0
GENE138,1733.0,750.0,617.0,1421.0
GENE139,906.0,193.0,1325.0,1454.0
GENE14,1940.0,932.0,1616.0,1834.0
GENE140,140.0,1552.0,1067.0,1651.0
GENE141,1700.0,1348.0,666.0,741.0
GENE142,1448.0,128.0,462.0,1037.0
GENE143,1885.0,1514.0,1631.0,381.0
GENE144,560.0,532.0,1499.0,1072.0
GENE145,422.0,1496.0,1276.0,1793.0
GENE146,1117.0,251.0,1777.0,368.0
GENE147,109.0,1599.0,901.0,1289.0
GENE148,259.0,1441.0,810.0,1993.0
GENE149,1271.0,1878.0,1585.0,1686.0
GENE15,1646.0,1258.0,882.0,1028.0
GENE150,175.0,1554.0,1206.0,790.0
GENE151,624.0,1282.0,395.0,368.0
GENE152,1748.0,1518.0,1181.0,1515.0
GENE153,644.0,1442.0,411.0,889.0
GENE154,294.0,756.0,680.0,839.0
GENE155,952.0,66.0,684.0,1688.0
GENE156,866.0,1084.0,205.0,775.0
GENE157,1939.0,1096.0,40.0,1443.0
GENE158,1539.0,762.0,63.0,1661.0
GENE159,504.0,1838.0,726.0,774.0
GENE16,532.0,993.0,758.0,495.0
GENE160,1586.0,275.0,59.0,1520.0
GENE161,1851.0,1985.0,257.0,295.0
GENE162,677.0,1425.0,1824.0,1650.0
GENE163,748.0,1841.0,512.0,246.0
GENE164,869.0,183.0,1357.0,1975.0
GENE165,214.0,233.0,357.0,353.0
GENE166,1069.0,1149.0,1901.0,892.0
GENE167,1853.0,1500.0,1709.0,381.0
GENE168,908.0,1828.0,1502.0,434.0
GENE169,1691.0,1538.0,292.0,135.0
GENE17,1986.0,23.0,194.0,384.0
GENE170,517.0,946.0,307.0,65.0
GENE171,220.0,627.0,779.0,624.0
GENE172,894.0,1439.0,495.0,910.0
GENE173,1457.0,113.0,1879.0,1990.0
GENE174,580.0,1777.0,505.0,1832.0
GENE175,1320.0,493.0,123.0,788.0
GENE176,1488.0,454.0,1029.0,249.0
GENE177,849.0,66.0,1972.0,1006.0
GENE178,1684.0,246.0,335.0,352.0
GENE179,1137.0,1720.0,1214.0,968.0
GENE18,1938.0,1384.0,1763.0,401.0
GENE180,1884.0,367.0,329.0,1339.0
GENE181,1708.0,531.0,521.0,1053.0
GENE182,1556.0,565.0,1648.0,1032.0
GENE183,1410.0,1257.0,961.0,1072.0
GENE184,1989.0,791.0,1889.0,1581.0
GENE185,364.0,1746.0,766.0,358.0
GENE186,505.0,272.0,678.0,226.0
GENE187,1088.0,1959.0,1928.0,1883.0
GENE188,487.0,461.0,1356.0,1939.0
GENE189,1652.0,415.0,1472.0,1012.0
GENE19,1441.0,739.0,978.0,7.0
GENE190,884.0,994.0,1090.0,1829.0
GENE191,1584.0,81.0,1525.0,630.0
GENE192,675.0,1199.0,1968.0,132.0
GENE193,1027.0,473.0,1827.0,930.0
GENE194,1710.0,1761.0,200.0,1521.0
GENE195,1580.0,1657.0,1975.0,1522.0
GENE196,1667.0,1415.0,590.0,1699.0
GENE197,1400.0,1362.0,1946.0,1471.0
GENE198,677.0,603.0,655.0,335.0
GENE199,162.0,1513.0,1566.0,331.0
GENE2,1156.0,1551.0,1667.0,450.0
GENE20,1235.0,1660.0,1327.0,308.0
GENE200,788.0,1838.0,1674.0,1193.0
GENE21,1067.0,535.0,1929.0,1760.0
GENE22,372.0,1019.0,1879.0,1694.0
GENE23,1415.0,1279.0,84.0,1483.0
GENE24,947.0,182.0,488.0,1082.0
GENE25,1453.0,1015.0,1225.0,1742.0
GENE26,1372.0,722.0,1286.0,1196.0
GENE27,216.0,118.0,1320.0,775.0
GENE28,1196.0,646.0,451.0,300.0
GENE29,763.0,1632.0,801.0,758.0
GENE3,111.0,600.0,570.0,1747.0
GENE30,1150.0,1957.0,784.0,1179.0
GENE31,878.0,1210.0,891.0,1275.0
GENE32,1094.0,1352.0,1913.0,301.0
GENE33,1123.0,880.0,715.0,479.0
GENE34,104.0,804.0,1652.0,193.0
GENE35,812.0,1935.0,1902.0,430.0
GENE36,15.0,1343.0,28.0,600.0
GENE37,994.0,1748.0,185.0,1324.0
GENE38,1066.0,263.0,1691.0,1690.0
GENE39,965.0,1889.0,1213.0,1807.0
GENE4,0.0,10.0,999.0,1642.0
GENE40,1921.0,1139.0,561.0,290.0
GENE41,1125.0,384.0,1500.0,1855.0
GENE42,490.0,1104.0,98.0,361.0
GENE43,754.0,1768.0,1939.0,1283.0
GENE44,1166.0,1139.0,121.0,752.0
GENE45,1966.0,821.0,426.0,478.0
GENE46,1426.0,76.0,1938.0,1752.0
GENE47,1135.0,935.0,1522.0,1095.0
GENE48,954.0,644.0,893.0,1502.0
GENE49,110.0,50.0,1440.0,744.0
GENE5,262.0,1594.0,238.0,935.0
GENE50,1607.0,60.0,1814.0,245.0
GENE51,831.0,1934.0,217.0,1315.0
GENE52,1455.0,856.0,158.0,1047.0
GENE53,866.0,1745.0,1364.0,688.0
GENE54,116.0,1180.0,559.0,1367.0
GENE55,1727.0,710.0,1806.0,1038.0
GENE56,1061.0,1530.0,1578.0,1818.0
GENE57,1998.0,302.0,825.0,1866.0
GENE58,615.0,10.0,1152.0,1505.0
GENE59,1486.0,1621.0,1287.0,273.0
GENE6,1632.0,606.0,683.0,556.0
GENE60,1694.0,837.0,1694.0,1630.0
GENE61,1940.0,28.0,1732.0,1256.0
GENE62,970.0,1586.0,1904.0,1026.0
GENE63,174.0,1451.0,461.0,452.0
GENE64,385.0,397.0,1819.0,726.0
GENE65,212.0,358.0,789.0,692.0
GENE66,620.0,1896.0,1733.0,1146.0
GENE67,1972.0,680.0,275.0,543.0
GENE68,178.0,1904.0,437.0,888.0
GENE69,404.0,1960.0,316.0,1031.0
GENE7,1438.0,509.0,1980.0,890.0
GENE70,1901.0,1042.0,1797.0,1793.0
GENE71,1535.0,1485.0,1153.0,1161.0
GENE72,1662.0,853.0,1891.0,1756.0
GENE73,748.0,823.0,1428.0,1845.0
GENE74,193.0,137.0,496.0,859.0
GENE75,325.0,1039.0,1082.0,1901.0
GENE76,1491.0,501.0,1572.0,1612.0
GENE77,1359.0,1352.0,620.0,1434.0
GENE78,269.0,1259.0,1842.0,1943.0
GENE79,596.0,665.0,1237.0,796.0
GENE8,956.0,1009.0,1165.0,1106.0
GENE80,1462.0,405.0,337.0,101.0
GENE81,938.0,425.0,599.0,1830.0
GENE82,1628.0,1680.0,1186.0,224.0
GENE83,1493.0,1207.0,1817.0,958.0
GENE84,346.0,1189.0,912.0,1318.0
GENE85,751.0,613.0,250.0,1922.0
GENE86,1510.0,931.0,468.0,1256.0
GENE87,824.0,1270.0,180.0,367.0
GENE88,1469.0,123.0,1355.0,823.0
GENE89,6.0,1528.0,1399.0,1630.0
GENE9,1018.0,1991.0,1615.0,1585.0
GENE90,1790.0,1459.0,1682.0,226.0
GENE91,1836.0,1826.0,1388.0,1604.0
GENE92,1482.0,1755.0,1778.0,1046.0
GENE93,1632.0,1831.0,594.0,93.0
GENE94,340.0,60.0,869.0,40.0
GENE95,517.0,505.0,1413.0,497.0
GENE96,1899.0,375.0,1943.0,1134.0
GENE97,487.0,77.0,611.0,1180.0
GENE98,218.0,332.0,229.0,1355.0
GENE99,176.0,42.0,911.0,621.0
