gene,GSM001,GSM002,GSM003,GSM004
ILMN_0,12.0818,2.8887,8.8362,6.8645
ILMN_1,7.0947,7.5688,3.96,7.5361
ILMN_2,6.2696,14.646,8.4516,7.2947
ILMN_3,7.4374,6.6639,5.8897,7.2184
ILMN_4,8.9639,7.5229,9.9155,7.6004
ILMN_5,8.0485,11.0916,9.0902,6.9895
ILMN_6,7.6343,9.0811,11.8702,7.4608
ILMN_7,7.5129,10.0046,6.2271,7.4166
ILMN_8,9.7651,9.1607,8.183,9.3402
ILMN_9,2.3437,10.0426,6.0807,4.6628
ILMN_10,8.5529,9.4011,7.1105,5.8472
ILMN_11,8.0522,7.8945,10.8112,9.4948
ILMN_12,8.3876,10.2233,7.589,6.1482
ILMN_13,9.1681,9.1651,7.5703,6.4344
ILMN_14,8.4583,3.0122,9.3802,8.9827
ILMN_15,4.7223,8.1227,6.0718,9.5144
ILMN_16,3.9317,6.171,9.4192,10.3128
ILMN_17,3.684,7.0039,8.656,6.7816
ILMN_18,11.1813,5.6175,8.7091,5.9032
ILMN_19,10.8119,7.9567,7.2555,4.5636
ILMN_20,11.3637,9.5056,9.5071,10.2758
ILMN_21,8.6985,6.7215,6.3995,6.3996
ILMN_22,10.7401,5.0792,6.8073,7.3575
ILMN_23,8.4492,9.1507,5.5018,4.54
ILMN_24,7.9912,10.4271,9.5141,8.4313
ILMN_25,7.3657,8.5865,7.5133,9.6344
ILMN_26,6.4111,8.2685,7.7784,9.0867
ILMN_27,8.4493,13.1001,10.9973,10.9935
ILMN_28,3.921,7.3194,6.7828,9.0654
ILMN_29,3.4419,10.349,10.134,5.3959
ILMN_30,6.0429,6.3977,8.0866,9.2819
ILMN_31,12.0958,7.6051,9.535,8.3108
ILMN_32,11.5199,9.4843,10.7371,5.8446
ILMN_33,7.6155,6.3725,11.0099,9.3153
ILMN_34,7.3897,7.0951,8.9693,6.597
ILMN_35,6.1388,8.9625,12.9263,7.5077
ILMN_36,6.8883,5.6577,5.33,9.05
ILMN_37,9.7016,8.0183,8.6652,8.2318
ILMN_38,8.2773,4.9477,7.0838,8.223
ILMN_39,6.4337,7.0471,6.3618,7.333
ILMN_40,9.7062,7.1868,7.6923,9.6274
ILMN_41,9.2895,11.3904,3.819,9.7137
ILMN_42,7.0354,8.2694,9.6754,10.1665
ILMN_43,10.0787,8.3102,11.2193,7.4341
ILMN_44,7.718,9.5987,6.8973,12.3218
ILMN_45,10.0384,12.3512,7.9468,7.2338
ILMN_46,8.3341,9.4692,6.8251,8.7594
ILMN_47,7.9664,11.2314,6.6746,10.0923
ILMN_48,6.7123,6.0787,6.5794,5.6196
ILMN_49,8.2927,10.0625,8.3286,9.2487
ILMN_50,11.2643,8.5401,8.3903,7.4499
ILMN_51,4.7835,9.5195,4.4871,9.3054
ILMN_52,7.9714,10.2536,7.8645,6.3536
ILMN_53,8.7158,6.8795,7.6381,8.0837
ILMN_54,7.7309,7.6224,6.3351,7.6217
ILMN_55,3.7233,7.6853,5.6039,10.2405
ILMN_56,10.5399,4.0979,8.2898,7.7473
ILMN_57,5.9066,9.0633,7.0766,4.4648
ILMN_58,7.4666,7.7035,8.2129,5.5375
ILMN_59,9.2314,9.4709,5.7083,6.6823
ILMN_60,7.8393,6.8681,11.4875,8.4167
ILMN_61,5.9788,6.4238,7.8851,12.5916
ILMN_62,7.6435,8.255,9.0281,7.9197
ILMN_63,12.5613,6.937,9.4884,8.3209
ILMN_64,9.2424,5.6467,11.5362,7.7569
ILMN_65,8.0683,6.13,6.5406,9.1285
ILMN_66,9.973,9.5065,10.4179,9.429
ILMN_67,8.0569,9.6731,9.1872,7.7988
ILMN_68,9.4521,10.5714,8.4691,7.2876
ILMN_69,9.4374,11.8014,7.5789,7.8154
ILMN_70,7.7272,10.446,4.3256,8.7317
ILMN_71,10.3845,6.3732,10.978,9.0706
ILMN_72,6.9019,8.4083,4.931,6.8689
ILMN_73,11.6538,6.2124,11.6891,7.8369
ILMN_74,9.9893,8.0878,3.517,6.8547
ILMN_75,8.3797,5.6981,5.3052,8.7324
ILMN_76,6.7012,4.6083,6.6318,9.7215
ILMN_77,7.0525,9.8695,11.0545,8.065
ILMN_78,5.7406,5.3969,7.9475,9.7621
ILMN_79,8.538,9.0945,7.1133,8.6008
ILMN_80,7.0574,7.3488,5.4155,4.8556
ILMN_81,7.0361,5.7848,6.0825,9.3421
ILMN_82,7.7858,13.8283,9.8527,6.7336
ILMN_83,9.556,8.7136,6.6286,10.2052
ILMN_84,6.4493,1.8832,9.5881,6.7655
ILMN_85,10.9721,6.7007,5.6373,11.0969
ILMN_86,5.849,8.4068,10.8995,8.229
ILMN_87,7.8388,8.2048,9.6781,6.3864
ILMN_88,9.2213,9.1542,12.6654,7.3269
ILMN_89,6.1703,9.4714,7.2057,8.5782
ILMN_90,8.2652,10.3368,6.6863,7.8154
ILMN_91,2.8958,6.2198,11.0727,6.637
ILMN_92,6.597,5.5642,9.1597,8.356
ILMN_93,5.6263,9.3349,8.5202,9.5081
ILMN_94,6.717,11.476,8.8197,7.7662
ILMN_95,6.9623,7.5103,9.7176,7.4621
ILMN_96,10.1563,9.1614,10.693,9.6282
ILMN_97,7.8741,4.1813,8.5971,9.5782
ILMN_98,8.3258,9.1129,7.0568,7.239
ILMN_99,6.1152,10.7238,8.3168,7.015
ILMN_100,5.3363,7.6934,10.8853,8.9238
ILMN_101,6.551,10.859,10.857,9.9616
ILMN_102,9.5776,10.3113,9.0865,9.55
ILMN_103,6.4399,10.9991,8.4624,12.0484
ILMN_104,3.9155,9.4108,9.9629,7.3141
ILMN_105,8.9049,9.4967,9.1548,6.9207
ILMN_106,7.7161,10.0381,10.5546,8.198
ILMN_107,8.1541,8.401,10.0753,5.8919
ILMN_108,5.3419,8.2486,5.7869,6.8258
ILMN_109,8.1726,8.965,5.8558,9.6032
ILMN_110,4.4526,9.0908,4.8445,5.4502
ILMN_111,9.2844,7.1873,6.4089,7.1104
ILMN_112,8.9301,7.8919,7.9412,10.1096
ILMN_113,6.5672,7.0561,6.9551,10.3378
ILMN_114,9.9828,10.5742,7.9325,7.6864
ILMN_115,9.7055,7.2112,9.6613,9.4486
ILMN_116,6.6034,7.8336,7.7615,11.4667
ILMN_117,13.1756,7.8001,8.0281,3.4368
ILMN_118,8.4231,7.9859,5.8543,9.5712
ILMN_119,4.8685,7.5703,8.2777,5.502
ILMN_120,9.7135,10.1111,5.2272,5.1843
ILMN_121,9.2045,7.939,5.5772,7.4095
ILMN_122,7.785,7.7139,9.655,8.7684
ILMN_123,11.5389,10.7487,9.3569,10.1542
ILMN_124,10.6476,9.412,5.5485,9.7188
ILMN_125,8.1445,11.2376,8.1869,9.052
ILMN_126,8.6593,11.3625,8.3544,7.4609
ILMN_127,8.6182,7.121,8.3241,7.9851
ILMN_128,8.5432,11.8466,7.1886,8.0739
ILMN_129,7.601,9.3452,5.6369,6.6145
ILMN_130,7.921,9.0923,7.9074,6.9994
ILMN_131,6.2663,9.0235,10.8844,8.6458
ILMN_132,8.3763,8.8877,6.1147,7.3767
ILMN_133,7.4641,8.5905,7.9359,5.5672
ILMN_134,10.2505,11.3848,7.4736,8.7977
ILMN_135,8.5343,9.5693,5.0404,11.226
ILMN_136,7.0643,10.5285,8.1613,7.2209
ILMN_137,7.7191,9.7943,6.2734,7.2496
ILMN_138,7.0356,4.5691,10.6009,9.1578
ILMN_139,7.9574,10.3273,6.0871,7.8531
ILMN_140,11.4508,9.9593,3.5491,1.3358
ILMN_141,5.9242,10.1226,7.0551,7.5645
ILMN_142,9.2165,6.2296,8.4258,9.5842
ILMN_143,8.934,8.7919,6.7959,9.0286
ILMN_144,7.1447,10.6099,13.1402,6.5202
ILMN_145,3.651,7.1491,8.7537,10.1003
ILMN_146,10.158,6.4321,6.4135,10.5346
ILMN_147,5.8152,10.1805,7.5462,9.5328
ILMN_148,9.4123,9.5533,9.6409,6.0212
ILMN_149,8.595,8.028,8.6168,10.4665
ILMN_150,7.4578,6.5761,6.5438,7.3784
ILMN_151,9.5052,6.3704,10.3185,8.5809
ILMN_152,7.5478,5.3367,8.4899,9.3829
ILMN_153,4.4685,10.3839,11.2955,8.677
ILMN_154,8.9836,12.8274,10.4638,6.2045
ILMN_155,7.9667,7.6861,7.6982,3.2715
