"gene","GSM001","GSM002","GSM003","GSM004"
"ILMN_20",11.3637,9.5056,9.5071,10.2758
"ILMN_27",8.4493,13.1001,10.9973,10.9935
"ILMN_29",3.4419,10.349,10.134,5.3959
"ILMN_32",11.5199,9.4843,10.7371,5.8446
"ILMN_43",10.0787,8.3102,11.2193,7.4341
"ILMN_45",10.0384,12.3512,7.9468,7.2338
"ILMN_47",7.9664,11.2314,6.6746,10.0923
"ILMN_66",9.973,9.5065,10.4179,9.429
"ILMN_71",10.3845,6.3732,10.978,9.0706
"ILMN_73",11.6538,6.2124,11.6891,7.8369
"ILMN_85",10.9721,6.7007,5.6373,11.0969
"ILMN_96",10.1563,9.1614,10.693,9.6282
"ILMN_101",6.551,10.859,10.857,9.9616
"ILMN_103",6.4399,10.9991,8.4624,12.0484
"ILMN_114",9.9828,10.5742,7.9325,7.6864
"ILMN_123",11.5389,10.7487,9.3569,10.1542
"ILMN_134",10.2505,11.3848,7.4736,8.7977
"ILMN_144",7.1447,10.6099,13.1402,6.5202
"ILMN_146",10.158,6.4321,6.4135,10.5346
"ILMN_153",4.4685,10.3839,11.2955,8.677
"ILMN_154",8.9836,12.8274,10.4638,6.2045
"ILMN_158",10.8098,7.3604,10.7399,8.5244
"ILMN_159",6.9345,11.0503,6.3627,10.0281
"ILMN_164",7.555,11.3306,10.0222,10.4595
"ILMN_170",10.6674,11.4487,6.89,8.1533
"ILMN_196",10.5711,10.1887,4.9195,8.4128
"ILMN_205",11.6723,8.4522,11.2867,9.1213
"ILMN_206",12.3386,8.1994,4.8592,10.9812
"ILMN_211",8.9977,10.8434,10.9913,8.0686
"ILMN_234",8.3588,10.7357,11.5374,4.8302
"ILMN_235",13.2926,8.3983,10.6297,6.6636
"ILMN_240",8.3414,6.6546,10.7456,11.6553
"ILMN_242",10.0023,6.4708,10.6463,8.8705
"ILMN_259",8.1312,10.7422,10.3061,8.7738
"ILMN_262",4.6346,7.1575,10.6886,10.3992
"ILMN_264",5.2935,10.1471,8.3805,10.6789
"ILMN_267",4.9611,9.3936,10.3219,10.9198
"ILMN_278",9.2787,11.9567,6.4483,10.6676
"ILMN_288",11.8745,4.978,7.1924,10.2811
"ILMN_293",12.1057,6.4693,5.5857,10.0339
