"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031012","extracellular matrix","58/680","478/25856",0.121338912133891,4.61373369431455,13.1061386883351,2.31233863921575e-22,6.18575611846985e-20,4.93600233562111e-20,"Spon2/Fcgbp/Tgm4/Col15a1/Fbn1/Fcgbpl1/Tnxb/Lamc3/Vit/Col1a2/Nid1/Lama2/Col1a1/Serping1/Mfap4/Col6a2/Igf1/Crispld2/Col6a1/Trf/Fgl2/Cilp/Mgp/Sparcl1/Col5a2/Egfl6/Lama4/Postn/Coch/Adamts5/Lox/Aspn/Col27a1/Entpd2/Entpd1/Col8a2/Dpt/Igfbp6/Ecm2/Mmrn2/Wnt2/Emilin1/Vwf/Ntn1/Col6a5/Adamts15/F13a1/Sspo/Col14a1/Angptl7/Col5a3/Hmcn2/Egfl7/Acta2/Fbln5/Abi3bp/Egflam/Adamts4",58
"GO:0030312","external encapsulating structure","58/680","480/25856",0.120833333333333,4.59450980392157,13.0641774509572,2.85057885643772e-22,6.18575611846985e-20,4.93600233562111e-20,"Spon2/Fcgbp/Tgm4/Col15a1/Fbn1/Fcgbpl1/Tnxb/Lamc3/Vit/Col1a2/Nid1/Lama2/Col1a1/Serping1/Mfap4/Col6a2/Igf1/Crispld2/Col6a1/Trf/Fgl2/Cilp/Mgp/Sparcl1/Col5a2/Egfl6/Lama4/Postn/Coch/Adamts5/Lox/Aspn/Col27a1/Entpd2/Entpd1/Col8a2/Dpt/Igfbp6/Ecm2/Mmrn2/Wnt2/Emilin1/Vwf/Ntn1/Col6a5/Adamts15/F13a1/Sspo/Col14a1/Angptl7/Col5a3/Hmcn2/Egfl7/Acta2/Fbln5/Abi3bp/Egflam/Adamts4",58
"GO:0009925","basal plasma membrane","37/680","343/25856",0.107871720116618,4.10166352255188,9.50373549072599,4.33619376394721e-13,6.27302697851029e-11,5.00564122224081e-11,"Ace/Lrrc7/Epcam/Slc38a1/Cldn7/Ceacam1/Ceacam2/Slc16a10/Erbb4/Erbb3/Cldn8/Atp12a/Cd34/Slc7a8/Atp2b4/Trf/P2ry2/Tek/Slco4c1/Slc22a1/Pianp/Ank2/Adora1/Entpd1/Rasgrf1/Aqp1/Muc20/Aqp5/Slc43a3/Cd300lg/Slc22a21/Slco1a5/Itga9/Ptprq/Slc7a7/Lepr/Rab17",37
"GO:0045178","basal part of cell","37/680","365/25856",0.101369863013699,3.85443996776793,9.02624821069645,2.85055570994325e-12,3.09285294528843e-10,2.46798112781929e-10,"Ace/Lrrc7/Epcam/Slc38a1/Cldn7/Ceacam1/Ceacam2/Slc16a10/Erbb4/Erbb3/Cldn8/Atp12a/Cd34/Slc7a8/Atp2b4/Trf/P2ry2/Tek/Slco4c1/Slc22a1/Pianp/Ank2/Adora1/Entpd1/Rasgrf1/Aqp1/Muc20/Aqp5/Slc43a3/Cd300lg/Slc22a21/Slco1a5/Itga9/Ptprq/Slc7a7/Lepr/Rab17",37
"GO:0016323","basolateral plasma membrane","30/680","309/25856",0.0970873786407767,3.69160479725871,7.82265076214747,9.47035265279313e-10,8.22026610262444e-08,6.55946531109251e-08,"Lrrc7/Epcam/Slc38a1/Cldn7/Ceacam2/Slc16a10/Erbb4/Erbb3/Cldn8/Atp12a/Slc7a8/Atp2b4/P2ry2/Tek/Slco4c1/Slc22a1/Pianp/Ank2/Adora1/Entpd1/Rasgrf1/Aqp1/Muc20/Slc43a3/Cd300lg/Slc22a21/Slco1a5/Slc7a7/Lepr/Rab17",30
"GO:0005604","basement membrane","17/680","121/25856",0.140495867768595,5.34214876033058,7.86807805103325,1.9627138150117e-08,1.4196963261918e-06,1.13286464059447e-06,"Col15a1/Fbn1/Lamc3/Nid1/Lama2/Col6a1/Trf/Egfl6/Lama4/Entpd2/Entpd1/Col8a2/Mmrn2/Ntn1/Hmcn2/Acta2/Egflam",17
"GO:0031253","cell projection membrane","31/680","406/25856",0.0763546798029557,2.90327441321356,6.35263488386139,1.3935024087824e-07,8.63971493445089e-06,6.89416981187083e-06,"Lcp1/Ace/Slc5a1/Ptprj/Ceacam1/Dpp4/Scnn1a/Spata13/Jcad/Slc7a8/Pde9a/Abcb1a/Cd36/Scarb1/Adora1/Entpd2/Aqp1/Muc20/Plxnd1/Cys1/Slc28a3/Fgd5/Slc22a21/Cntnap2/Slco1a5/Gpr37l1/Shank3/Atp1b2/Ripor2/Prcd/Kcnb1",31
"GO:0005581","collagen trimer","13/680","83/25856",0.156626506024096,5.95549255846917,7.43150458493207,2.50620215709585e-07,1.3596146702245e-05,1.08492172326912e-05,"Col15a1/Col1a2/Col1a1/Col6a2/Col6a1/Col5a2/Lox/Col27a1/Col8a2/Emilin1/Col6a5/Col14a1/Col5a3",13
"GO:0098857","membrane microdomain","27/680","348/25856",0.0775862068965517,2.9501014198783,6.01924441939424,6.51207537114802e-07,3.1402674567536e-05,2.50581613696807e-05,"Dpp4/Erbb4/Kdr/Mal/Atp2b4/Tek/Gab2/Rftn1/Pecam1/Mal2/S1pr1/Plvap/Tfpi/Cd36/Slc6a4/Scarb1/Entpd1/Aqp1/Mme/Cntnap2/Cavin2/Dysf/Clip3/Atp1a2/Cd14/Bst2/Pllp",27
"GO:0045121","membrane raft","26/680","346/25856",0.0751445086705202,2.85725943556613,5.71595440624867,1.89824556785164e-06,7.60754215417169e-05,6.07053448635093e-05,"Dpp4/Erbb4/Kdr/Mal/Atp2b4/Tek/Gab2/Rftn1/Pecam1/Mal2/S1pr1/Plvap/Tfpi/Cd36/Slc6a4/Scarb1/Entpd1/Aqp1/Mme/Cntnap2/Cavin2/Clip3/Atp1a2/Cd14/Bst2/Pllp",26
"GO:0042383","sarcolemma","18/680","184/25856",0.0978260869565217,3.71969309462916,6.08460402653872,1.92817888700204e-06,7.60754215417169e-05,6.07053448635093e-05,"Cd59a/Lama2/Col6a2/Atp2b4/Ednra/Col6a1/Cacnb2/Sntb1/Pde9a/Cd36/Ank2/Aqp1/Dysf/Abcc9/Atp1a2/Des/Kcnb1/Dtna",18
"GO:0005583","fibrillar collagen trimer","5/680","11/25856",0.454545454545455,17.283422459893,8.87742735719314,5.02237576852742e-06,0.0001676700833493,0.00013379446379316,"Col1a2/Col1a1/Col5a2/Col27a1/Col5a3",5
"GO:0098643","fibrillar collagen","5/680","11/25856",0.454545454545455,17.283422459893,8.87742735719314,5.02237576852742e-06,0.0001676700833493,0.00013379446379316,"Col1a2/Col1a1/Col5a2/Col27a1/Col5a3",5
"GO:0098858","actin-based cell projection","21/680","275/25856",0.0763636363636364,2.90361497326203,5.21578958364027,1.4265202861803e-05,0.000442221288715893,0.000352876070791969,"Clic5/Lcp1/Lrrc7/Ceacam1/Spata13/Akr1b1/Slc7a8/Adgra2/Iqgap2/Pdgfra/Tek/Scarb1/Morn4/Muc20/Aqp5/Ptprq/Unc5c/Ripor2/Acta2/Kcnn3/Aoc3",21
"GO:0031252","cell leading edge","30/680","488/25856",0.0614754098360656,2.33751205400193,4.90227718615678,1.77587662252557e-05,0.000513820302784064,0.000410009409691868,"Lcp1/Vim/Ptprj/Dpp4/Spata13/Jcad/Mcf2l/Adgre5/Pdgfrb/Prkcz/Iqgap2/Dpysl3/Pecam1/Pde9a/Sorbs2/Bspry/Adora1/Plxnd1/Parvb/Fgd5/Cntnap2/Dynlt1b/Dysf/Pear1/Unc5c/Cadm4/Ripor2/Acta2/Ldb2/Kcnb1",30
"GO:0042641","actomyosin","12/680","110/25856",0.109090909090909,4.14802139037433,5.437665612139,3.33329201745233e-05,0.000904155459733945,0.000721482285356459,"Lcp1/Mlph/Myo5c/Myh14/Prkcz/Limch1/Tek/Dixdc1/Micall2/Myl9/Pdlim3/Acta2",12
"GO:0150034","distal axon","27/680","433/25856",0.0623556581986143,2.37098220350496,4.72819880858701,3.61588446462969e-05,0.000923114033911345,0.000736610519419918,"Exoc6/Unc13b/Slc18a1/Myh14/Dpysl3/Basp1/Elfn1/Dixdc1/Clu/Adora1/Ngef/Rasgrf1/Aqp1/Nrp1/Prex1/Chrm1/Ptprn2/Kif5c/Cacna1a/Septin4/Dynlt1b/Unc5c/Kcnip3/Syt11/Hap1/Cpeb1/Tmod2",27
"GO:0001725","stress fiber","11/680","100/25856",0.11,4.18258823529412,5.2405227091347,6.52065674405428e-05,0.00148945527732608,0.00118852967800214,"Lcp1/Mlph/Myh14/Prkcz/Limch1/Tek/Dixdc1/Micall2/Myl9/Pdlim3/Acta2",11
"GO:0097517","contractile actin filament bundle","11/680","100/25856",0.11,4.18258823529412,5.2405227091347,6.52065674405428e-05,0.00148945527732608,0.00118852967800214,"Lcp1/Mlph/Myh14/Prkcz/Limch1/Tek/Dixdc1/Micall2/Myl9/Pdlim3/Acta2",11
"GO:0005614","interstitial matrix","5/680","20/25856",0.25,9.50588235294118,6.25395992425705,0.000138439075775565,0.00300412794432977,0.0023971818910611,"Vit/Igf1/Ecm2/Col14a1/Egflam",5
"GO:0032432","actin filament bundle","11/680","110/25856",0.1,3.80235294117647,4.84058280795224,0.0001549610454274,0.00316123744111552,0.0025225494012297,"Lcp1/Mlph/Myh14/Prkcz/Limch1/Tek/Dixdc1/Micall2/Myl9/Pdlim3/Acta2",11
"GO:0030133","transport vesicle","26/680","448/25856",0.0580357142857143,2.20672268907563,4.23442658471851,0.000160247059227054,0.00316123744111552,0.0025225494012297,"Unc13b/Arfgef3/Ceacam1/Slc18a1/Atp8a1/Igf1/Crispld2/Mt3/Dpysl3/Syt10/Mal2/Atp6v0e2/Slc30a2/Doc2b/Entpd1/Ptprn2/Sh3gl2/Syt1/Mme/Galnt15/Septin4/Slc35g2/Ap3m2/Syt11/Hap1/Laptm5",26
"GO:0098644","complex of collagen trimers","5/680","22/25856",0.227272727272727,8.64171122994652,5.89304147290423,0.000225117922594684,0.00424787732200403,0.00338964743861103,"Col1a2/Col1a1/Col5a2/Col27a1/Col5a3",5
"GO:0070382","exocytic vesicle","20/680","312/25856",0.0641025641025641,2.43740573152338,4.19803039743112,0.000250710873943092,0.0043532436544956,0.00347372583635472,"Unc13b/Slc18a1/Atp8a1/Igf1/Mt3/Dpysl3/Syt10/Mal2/Atp6v0e2/Doc2b/Entpd1/Ptprn2/Sh3gl2/Syt1/Mme/Septin4/Slc35g2/Ap3m2/Syt11/Hap1",20
"GO:0016328","lateral plasma membrane","9/680","80/25856",0.1125,4.27764705882353,4.82539401024849,0.000250762883323479,0.0043532436544956,0.00347372583635472,"Epcam/Cldn7/Ceacam1/Ceacam2/Erbb3/Cldn3/Slc22a1/Atp1b2/Kcnb1",9
"GO:0098862","cluster of actin-based cell projections","16/680","229/25856",0.0698689956331878,2.65666581042897,4.13844443716485,0.000397907548208358,0.00664199522778567,0.00530006410366598,"Slc9a2/Clic5/Ace/Slc5a1/Myh14/Cgn/Abcb1a/Cd36/Aqp1/Morn4/Slc28a3/Slc22a21/Mme/Slco1a5/Ptprq/Ripor2",16
"GO:0098637","protein complex involved in cell-matrix adhesion","4/680","16/25856",0.25,9.50588235294118,5.59327884109265,0.0006706270514153,0.0107797089005274,0.00860180506493699,"Nid1/Lama2/Mmrn2/Emilin1",4
"GO:0098636","protein complex involved in cell adhesion","7/680","58/25856",0.120689655172414,4.58904665314402,4.497109307015,0.000792285301368898,0.0119454878596184,0.00953205313076514,"Nid1/Lama2/Itgbl1/Jam2/Mmrn2/Emilin1/Itga9",7
"GO:0005903","brush border","12/680","154/25856",0.0779220779220779,2.96287242169595,4.01515519555832,0.000798200801679573,0.0119454878596184,0.00953205313076514,"Slc9a2/Ace/Slc5a1/Myh14/Cgn/Abcb1a/Cd36/Aqp1/Slc28a3/Slc22a21/Mme/Slco1a5",12
"GO:0043296","apical junction complex","13/680","177/25856",0.0734463276836158,2.79268860086407,3.93310733879587,0.000855641278029095,0.0122080627519556,0.00974157808729905,"Epcam/Cldn7/Cldn8/Cldn3/Prkcz/Cgn/Camsap3/Cdh5/Shroom1/Jam2/Micall2/Cldn23/Ildr2",13
"GO:0016327","apicolateral plasma membrane","5/680","29/25856",0.172413793103448,6.55578093306288,4.91972121203745,0.000872004482282544,0.0122080627519556,0.00974157808729905,"Cldn7/Cldn8/Cldn3/Sbpl/Rasgrf1",5
"GO:0030175","filopodium","10/680","119/25856",0.0840336134453782,3.1952545724172,3.94468902944501,0.00120591192158817,0.0163551804365395,0.0130508230987667,"Lcp1/Lrrc7/Spata13/Adgra2/Iqgap2/Morn4/Unc5c/Ripor2/Acta2/Kcnn3",10
"GO:0005902","microvillus","10/680","121/25856",0.0826446280991736,3.14244044725328,3.88215364998136,0.00136878476235244,0.0180015935412412,0.0143645992604132,"Ceacam1/Akr1b1/Slc7a8/Iqgap2/Pdgfra/Tek/Scarb1/Muc20/Aqp5/Aoc3",10
"GO:0044217","other organism part","5/680","33/25856",0.151515151515152,5.76114081996435,4.49777795534841,0.00159824460150355,0.0197959369870341,0.0157964183088388,"C1rb/C1s2/C1ra/C1s1/C7",5
"GO:0044853","plasma membrane raft","11/680","145/25856",0.0758620689655172,2.88454361054767,3.73993514761288,0.00161392791269789,0.0197959369870341,0.0157964183088388,"Erbb4/Mal/Plvap/Tfpi/Cd36/Scarb1/Entpd1/Aqp1/Cntnap2/Cavin2/Atp1a2",11
