"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031012","extracellular matrix","97/1356","478/25856",0.202928870292887,3.86941657101245,14.8969694613826,3.00531903439634e-31,1.16188306413632e-28,8.45332879479983e-29,"Spon2/Tgm4/Fcgbpl1/Pmp22/Col4a4/Col4a3/Lamc3/Lama2/Fcgbp/Prelp/Vit/Crispld2/Egfl6/Igf1/Fbn1/Nid1/Tnxb/Lama1/Col15a1/Col27a1/Serping1/Coch/Frem2/Sparcl1/Col3a1/Col6a2/Col6a1/Col6a5/Col1a2/Ccbe1/Tgfb3/Tinagl1/Mgp/Ogn/Adamts5/Reln/Trf/Efemp2/Dpt/Fbln2/Plod1/Spon1/Adamtsl1/Aspn/Lox/Igf2/Col5a2/Shh/Sspo/Mmrn2/Col20a1/Igfbp6/Fmod/Vwf/Mfap4/Il16/Svep1/Emilin1/Lama4/Mamdc2/Entpd1/Fbln5/Ecm2/Fgl2/Col8a2/Sned1/Col1a1/Col5a1/Rtbdn/Nid2/Egflam/Rarres2/Col5a3/Adamts4/Ntn1/Egfl7/Abi3bp/Sfrp1/Adam19/Timp4/Cilp/Wnt2/Clec3b/Eln/Angpt4/Optc/Ssc5d/Angptl4/Clec14a/Mfap5/Adamts8/Col6a6/Col11a2/Acta2/Adamts2/Angptl7/Mfap2",97
"GO:0030312","external encapsulating structure","97/1356","480/25856",0.202083333333333,3.85329400196657,14.8448096430418,4.27162891226587e-31,1.16188306413632e-28,8.45332879479983e-29,"Spon2/Tgm4/Fcgbpl1/Pmp22/Col4a4/Col4a3/Lamc3/Lama2/Fcgbp/Prelp/Vit/Crispld2/Egfl6/Igf1/Fbn1/Nid1/Tnxb/Lama1/Col15a1/Col27a1/Serping1/Coch/Frem2/Sparcl1/Col3a1/Col6a2/Col6a1/Col6a5/Col1a2/Ccbe1/Tgfb3/Tinagl1/Mgp/Ogn/Adamts5/Reln/Trf/Efemp2/Dpt/Fbln2/Plod1/Spon1/Adamtsl1/Aspn/Lox/Igf2/Col5a2/Shh/Sspo/Mmrn2/Col20a1/Igfbp6/Fmod/Vwf/Mfap4/Il16/Svep1/Emilin1/Lama4/Mamdc2/Entpd1/Fbln5/Ecm2/Fgl2/Col8a2/Sned1/Col1a1/Col5a1/Rtbdn/Nid2/Egflam/Rarres2/Col5a3/Adamts4/Ntn1/Egfl7/Abi3bp/Sfrp1/Adam19/Timp4/Cilp/Wnt2/Clec3b/Eln/Angpt4/Optc/Ssc5d/Angptl4/Clec14a/Mfap5/Adamts8/Col6a6/Col11a2/Acta2/Adamts2/Angptl7/Mfap2",97
"GO:0045211","postsynaptic membrane","58/1356","417/25856",0.139088729016787,2.65212254974781,8.00164615629519,1.22117979604596e-11,2.21440603016334e-09,1.61110036250274e-09,"Erbb4/Slc6a4/Lrrc7/Srgap2/Tenm2/Kcnma1/Syne1/Ptch1/Syt1/Chrnb1/Adam22/Ank2/Kcnk2/Erbb3/Adora1/Apbb1/Olfm1/Robo2/Dgki/Ptprt/Iqsec2/Akap5/Cadps2/Dagla/Epha7/Kcnb1/Grik5/Flrt2/Rgs9/Nrp1/Chrm1/Grin2d/Shank3/Magi2/Gper1/Gnao1/Cacna1c/Kcna1/Igsf9b/Mdga2/Dgkb/P2rx6/Atp2b2/Kcna2/Adcy1/Nlgn3/Olfm2/Cacna1a/Kcnd3/Trpc1/Slc8a2/Grik3/Gabrb1/Slc12a5/Adra2a/Pcdh17/Dnm3/Chrna4",58
"GO:0150034","distal axon","58/1356","433/25856",0.133949191685912,2.55412264028831,7.67246490053946,5.63079941029384e-11,7.65788719799962e-09,5.5715278375539e-09,"Dpysl3/Unc13b/Slc18a1/Tenm2/Exoc6/Kcnma1/Ptch1/Ndrg2/Unc13c/Dixdc1/Kif5c/Kcnk2/Kcnip3/Pink1/Adora1/Rapgef3/Cpeb1/Myh10/Apbb1/Olfm1/Hdac5/Penk/Brsk2/Dgki/Ngef/Aqp1/P2rx7/Grik5/Ptprn2/Tspoap1/Nrp1/Chrm1/Pgr/Brsk1/Rasgrf1/Tmod2/Dpysl2/Gper1/Pclo/Ptprn/Septin4/Kcna1/Slc2a13/Syt7/Kcna2/Erc2/Adcy10/Cacna1a/Kcna6/Kif5a/Unc5c/Slc8a2/Grik3/Adra2a/Aatk/Prex1/Syt11/Opn1sw",58
"GO:0005581","collagen trimer","22/1356","83/25856",0.265060240963855,5.05412801649074,8.70308231501761,1.83517612059385e-10,1.99667161920611e-08,1.45268678177535e-08,"Col4a4/Col4a3/Col15a1/Col27a1/Col3a1/Col6a2/Col6a1/Col6a5/Col1a2/Ccbe1/Lox/Col5a2/Col20a1/C1qtnf7/Emilin1/Col8a2/Col1a1/Col5a1/Col5a3/C1qtnf5/Col6a6/Col11a2",22
"GO:0042734","presynaptic membrane","42/1356","278/25856",0.151079136690647,2.88075380403642,7.41720237980453,6.594762649982e-10,5.97925146931701e-08,4.35022939718111e-08,"Erbb4/Slc6a4/Unc13b/Tenm2/Kcnma1/Syt1/Unc13c/Podxl/Adora1/Pde2a/Apbb1/Dgki/Cadps2/Grik5/Nrxn1/Adam23/Flrt2/Rgs9/Chrm1/Grin2d/Adam11/Gper1/Gnao1/Cacna1c/Kcna1/Syt7/Atp2b2/Kcna2/Cntnap2/Erc2/Stx19/Cacna1a/Atp2b3/Trpc1/Grik3/Napb/Gabrb1/Adra2a/Apba1/Pcdh17/Syt11/Chrna4",42
"GO:0042383","sarcolemma","32/1356","184/25856",0.173913043478261,3.31614723611646,7.41761514844641,2.12520799880571e-09,1.65159021621472e-07,1.20162136473827e-07,"Lama2/Igf1r/Cd59a/Adcy6/Sntb1/Col6a2/Col6a1/Cacnb2/Akap7/Dst/Ank2/Kcnk2/Atp1a2/Tgfb3/Aqp1/Kcnb1/Des/Sgce/Cd36/Abcc9/Dtna/Adcy5/Cacna1c/Stac2/Ednra/Capn3/Cd59b/Kcnd3/Obscn/Rem1/Fxyd1/Slc8a2",32
"GO:0031253","cell projection membrane","52/1356","406/25856",0.12807881773399,2.4421872502434,6.89064457004632,2.71101518902511e-09,1.84349032853708e-07,1.34123909351769e-07,"Scnn1a/Kank1/Insr/Jcad/Adcy6/Wwc1/Dlc1/Cys1/Spry4/Ptger3/Mxra8/Ehd3/Fgd5/Ace/Podxl/Adora1/Gabarapl1/Rapgef3/Lcp1/Robo2/Dpp4/Aqp1/Slc26a3/Eps8l2/Akap5/Dagla/Kcnn4/Kcnb1/Atp1b2/Abcb1a/Ksr1/Sgce/Arl13b/Cd36/Shank3/Abcc2/Gper1/Enpep/Rasgrp2/Plxnd1/Atp2b2/Kcna2/Cntnap2/Atp6v0a4/Npc1l1/Ripor2/Apc2/Gpr37l1/Dpep1/Slc12a5/Slc26a4/Gpr157",52
"GO:0044306","neuron projection terminus","37/1356","238/25856",0.15546218487395,2.96432909446965,7.16224529363024,3.06109406958404e-09,1.85026130428191e-07,1.34616534522058e-07,"Unc13b/Slc18a1/Kcnma1/Syt1/Unc13c/Dixdc1/Kcnk2/Kcnip3/Adora1/Rapgef3/Penk/Vamp2/Dgki/Aqp1/P2rx7/Grik5/Ptprn2/Tspoap1/Chrm1/Mme/Pgr/Dpysl2/Gper1/Pclo/Ptprn/Septin4/Kcna1/Syt7/Kcna2/Erc2/Cacna1a/Kcna6/Slc8a2/Grik3/Adra2a/Syt11/Opn1sw",37
"GO:0005583","fibrillar collagen trimer","8/1356","11/25856",0.727272727272727,13.8675248055779,10.0420449750378,8.03066239640156e-09,3.9715275851295e-07,2.88950149382487e-07,"Col27a1/Col3a1/Col1a2/Col5a2/Col1a1/Col5a1/Col5a3/Col11a2",8
