"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030527","structural constituent of chromatin","36/1133","97/23909",0.371134020618557,7.8318122674043,15.0373637534341,3.86057309104654e-23,3.82582793322712e-20,3.23069011303368e-20,"H2ac10/H3c2/H3c3/H2bc3/H3c7/H2ac4/H2ac7/H1f5/H4c6/H2ac15/H3c4/H2bc18/H2bc12/H3c11/H2ac8/H2ac22/H4c2/H2ac6/H2ac13/H1f1/H3c8/H3c10/H2az1/H2ac11/Cenpa/H4c12/H4c16/H2ax/H2ac12/H4c11/H2ac25/H1f3/H2ac20/H3c13/H4c9/H2bc22",36
"GO:0046982","protein heterodimerization activity","54/1133","372/23909",0.145161290322581,3.06324915297668,8.94531097943918,2.22532323917589e-13,1.10264766501165e-10,9.31122092181489e-11,"H2ac10/Tenm4/H3c2/H3c3/H2bc3/H3c7/Bhlhe41/H2ac4/H2ac7/H4c6/H2ac15/H3c4/H2bc18/H2bc12/H3c11/H2ac8/H2ac22/H4c2/Tfe3/Bak1/H2ac6/H2ac13/H3c8/H3c10/P2ry1/H2az1/H2ac11/Taf9/Cenpa/Ran/Birc5/H4c12/H4c16/H2ax/H2ac12/H4c11/Tpm2/H2ac25/H2ac20/H3c13/Hes6/Hif1a/H4c9/Top2a/Aurka/Bard1/Sdcbp2/Rcc1/Bok/Cenps/Lsm5/H2bc22/Krt1/Cenpw",54
"GO:0120543","macromolecular conformation isomerase activity","43/1133","277/23909",0.155234657039711,3.27582119608337,8.49719597941155,6.66677601510527e-12,2.20225834365644e-09,1.85967962526621e-09,"Anxa1/Kif23/Kif4/Kif11/Brip1/Kif22/Kif20b/Myo19/Kif20a/Kif14/Myo7a/Kif26b/Kif15/Dscc1/Myo1b/Hells/Rfc3/Kif18b/Cenpe/Top2a/Ddx39a/Ercc6l/Mcm7/Mcm6/Kifc1/Ddx31/Mcm2/Kif18a/Rigi/Chtf18/Dna2/Mcm5/Kif2c/Pif1/Rad51/Dnah11/Kifc5b/Rad54b/Mcm3/Dhx58/Blm/Fignl1/Dnah7b",43
"GO:0016853","isomerase activity","54/1133","437/23909",0.123569794050343,2.60761712793438,7.56477728219076,1.27596045848487e-10,3.16119203589626e-08,2.66944359077755e-08,"Mif/Anxa1/Kif23/Kif4/Ppic/Kif11/Brip1/Kif22/Kif20b/Myo19/Kif20a/Kif14/Myo7a/Pgam1/Tpi1/Kif26b/Kif15/Qsox1/Dscc1/Myo1b/Hells/Gale/Rfc3/Pgm2/Gnpda1/Kif18b/Cenpe/Top2a/Ddx39a/Ercc6l/Mcm7/Mcm6/Kifc1/Ddx31/Mcm2/Kif18a/Ppil1/Rigi/Chtf18/Dna2/Mcm5/Kif2c/Pif1/Alox15/Rad51/Dnah11/Kifc5b/Rad54b/Mcm3/Dhx58/Blm/Fignl1/Dnah7b/Pus7l",54
"GO:0008017","microtubule binding","40/1133","282/23909",0.141843971631206,2.99324582323963,7.5098104891509,5.85704176332785e-10,1.02661709723529e-07,8.66918681079242e-08,"Clip4/Nusap1/Nuf2/Kif23/Racgap1/Gjb6/Knstrn/Dlgap5/Kif4/Prc1/Kif11/Gapdh/Kif22/Plk1/Kif20b/Ccdc88c/Arhgef2/Kif20a/Kif14/Fam83d/Diaph3/Kif26b/Ndc80/Kif15/Birc5/Togaram2/Ska1/Cenpf/Gas2l3/Spag5/Kif18b/Cenpe/Spc24/Gtse1/Kifc1/Kif18a/Knl1/Kif2c/Kifc5b/Mx2",40
"GO:0016887","ATP hydrolysis activity","49/1133","392/23909",0.125,2.63779788172992,7.29222785775991,6.2156433737757e-10,1.02661709723529e-07,8.66918681079242e-08,"Abcc5/Kif23/Abcd3/Abcg2/Brip1/Kif22/Atp10b/Kif20b/Myo19/Atp11a/Kif20a/Kif14/Smc2/Kif15/Abcf2/Ak6/Slfn9/Smc4/Slfn8/Kif18b/Atad2/Ddx39a/Ercc6l/Mcm7/Mcm6/Trip13/Kifc1/Ddx31/Nlrp10/Cdc6/Mcm2/Kif18a/Hspa2/Rigi/Chtf18/Dna2/Mcm5/Kif2c/Pif1/Tor3a/Atp10a/Kifc5b/Mcm3/Dhx58/Blm/Fignl1/Abcb5/Rnf213/Atp8a2",49
"GO:0017116","single-stranded DNA helicase activity","11/1133","23/23909",0.478260869565217,10.0924440692275,9.73017595123593,2.06211155295366e-09,2.91936078425297e-07,2.46523110465889e-07,"Dscc1/Rfc3/Mcm7/Mcm6/Mcm2/Chtf18/Dna2/Mcm5/Pif1/Rad51/Mcm3",11
"GO:0003777","microtubule motor activity","17/1133","65/23909",0.261538461538462,5.51908479869645,8.13702150814306,5.88635767559373e-09,7.29172557064174e-07,6.15743993696976e-07,"Kif23/Kif4/Kif11/Kif22/Kif20b/Kif20a/Kif14/Kif26b/Kif15/Kif18b/Cenpe/Kifc1/Kif18a/Kif2c/Dnah11/Kifc5b/Dnah7b",17
"GO:0015631","tubulin binding","47/1133","397/23909",0.118387909319899,2.49826701141171,6.71409583110251,8.07544777662294e-09,8.89196527403704e-07,7.50874968703537e-07,"Clip4/Nusap1/Nuf2/Kif23/Racgap1/Gjb6/Knstrn/Dlgap5/Slc6a2/Gja1/Ttll7/Kif4/Prc1/Kif11/Gapdh/Kif22/Plk1/Kif20b/Ccdc88c/Arhgef2/Kif20a/Kif14/Fam83d/Diaph3/Kif26b/Ndc80/Kif15/Birc5/Togaram2/Ska1/Cenpf/Nme1/Gas2l3/Spag5/Cacybp/Kif18b/Cenpe/Lyn/Spc24/Gtse1/Kifc1/Kif18a/Knl1/Kif2c/Clxn/Kifc5b/Mx2",47
"GO:0004857","enzyme inhibitor activity","51/1133","475/23909",0.107368421052632,2.26572954893854,6.21458829112701,4.86146398749784e-08,4.81771081161036e-06,4.06827775795872e-06,"Lgals3/Anxa1/Anxa8/Cib1/Pla2r1/Wfdc18/Ptn/Wfdc2/Col7a1/Cip2a/Gapdh/Anxa2/Serpinb2/Gbp2b/Serpinh1/Serpinb8/Birc5/Cstb/Pttg1/Cit/Ppp1r14b/Hc/Dynll1/Pinx1/Ifit1bl1/Mgat5/Cdkn2c/Elfn1/Bsn/Dtx3l/C1qbp/Ppp1r1b/Tprn/Slpi/Sh3rf2/Parp9/Timp1/Serpinb11/Ifit1/Csta1/Pif1/Serpina3f/Ltf/Fbxo5/Wfdc17/Cdkn1c/Serpinb10/Ppp1r36/Bst2/Serpina3g/Gbp2",51
