"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"mmu05322","Systemic lupus erythematosus - Mus musculus (house mouse)","18/223","150/11213",0.12,6.03390134529148,8.84115497192442,9.3546525475452e-10,1.30384169954603e-07,1.05534236446509e-07,"319173/319150/260423/319148/319178/319185/319172/319165/319157/319169/319167/319184/15139/319170/319166/319183/319191/97908",18
"mmu04613","Neutrophil extracellular trap formation - Mus musculus (house mouse)","21/223","209/11213",0.100478468899522,5.05230973888043,8.42355886987279,9.87758863292448e-10,1.30384169954603e-07,1.05534236446509e-07,"319173/18602/319150/18708/260423/319148/319178/18710/319185/319172/319165/319157/319169/319167/319184/15139/319170/319166/319183/319191/97908",21
"mmu05034","Alcoholism - Mus musculus (house mouse)","19/223","208/11213",0.0913461538461538,4.59311400482925,7.45079768429181,3.08112557931807e-08,2.7113905097999e-06,2.19462628983007e-06,"18212/319173/319150/260423/319148/319178/319185/319172/319165/319157/319169/319167/319184/319170/319166/319183/319191/97908/14701",19
"mmu04519","Cadherin signaling - Mus musculus (house mouse)","24/223","414/11213",0.0579710144927536,2.91492818613115,5.65530486144297,2.46947016972305e-06,0.000150463383326631,0.000121786550300263,"13507/16669/16665/14609/22417/237091/279653/93840/13800/22409/17921/22420/242894/109052/209760/93897/53883/22422/16663/16666/93878/22418/93888/93890",24
"mmu04110","Cell cycle - Mus musculus (house mouse)","14/223","157/11213",0.089171974522293,4.48379080860301,6.26178295452827,2.8496852902771e-06,0.000150463383326631,0.000121786550300263,"12444/12649/12428/55948/20877/12577/56150/107995/67052/12532/18817/12580/12545/12442",14
"mmu04550","Signaling pathways regulating pluripotency of stem cells - Mus musculus (house mouse)","11/223","140/11213",0.0785714285714286,3.95076873798847,5.00451126767013,0.000107659790656483,0.00473703078888526,0.00383419956197651,"22417/18708/22409/22420/18710/14184/93897/22422/22418/16324/16878",11
"mmu05205","Proteoglycans in cancer - Mus musculus (house mouse)","13/223","204/11213",0.0637254901960784,3.20427767519564,4.52587525898094,0.000217498640576337,0.00820280587316472,0.0066394321860145,"16398/12323/18792/22417/18708/22409/22420/18710/14268/93897/22422/15251/22418",13
"mmu04914","Progesterone-mediated oocyte maturation - Mus musculus (house mouse)","8/223","93/11213",0.0860215053763441,4.32537730845267,4.58696196993291,0.000514866394225077,0.0169905910094275,0.0137523523720646,"18708/18710/12428/56150/12532/18817/110033/12442",8
"mmu04115","p53 signaling pathway - Mus musculus (house mouse)","7/223","75/11213",0.0933333333333333,4.69303437967115,4.57093984036703,0.000705696777123511,0.0183822738268356,0.0148787942059315,"22062/12444/75747/12649/55948/20135/12442",7
"mmu05225","Hepatocellular carcinoma - Mus musculus (house mouse)","11/223","174/11213",0.0632183908045977,3.17877944435854,4.12589485938483,0.000707650807639572,0.0183822738268356,0.0148787942059315,"14873/22417/18708/22409/22420/18710/93897/22422/68214/22418/15368",11
"mmu04217","Necroptosis - Mus musculus (house mouse)","11/223","177/11213",0.0621468926553672,3.12490182665755,4.05896014497337,0.000815421085545919,0.0183822738268356,0.0148787942059315,"12323/77125/319173/18783/319172/319165/319169/319167/319170/319166/319191",11
"mmu04916","Melanogenesis - Mus musculus (house mouse)","8/223","100/11213",0.08,4.02260089686099,4.32474275259894,0.000835557901219798,0.0183822738268356,0.0148787942059315,"12323/22417/22409/22420/93897/13614/22422/22418",8
"mmu04150","mTOR signaling pathway - Mus musculus (house mouse)","10/223","158/11213",0.0632911392405063,3.18243741840268,3.93537478811688,0.00121848209769878,0.0247445595224982,0.0200284911605548,"22417/18708/22409/22420/18710/71962/93897/22422/80909/22418",10
"mmu05202","Transcriptional misregulation in cancer - Mus musculus (house mouse)","12/223","219/11213",0.0547945205479452,2.7552060937404,3.73652109946681,0.00143459116595326,0.0268830133354297,0.0217593768225368,"12444/16178/209446/319150/18792/260423/319148/58208/12428/18516/12580/97908",12
"mmu05217","Basal cell carcinoma - Mus musculus (house mouse)","6/223","63/11213",0.0952380952380952,4.78881059150117,4.29566955347202,0.00152744393951305,0.0268830133354297,0.0217593768225368,"22417/22409/22420/93897/22422/22418",6
"mmu04810","Regulation of actin cytoskeleton - Mus musculus (house mouse)","12/223","234/11213",0.0512820512820513,2.57859031850063,3.47609070962731,0.00249939199873263,0.0412399679790884,0.0333800378778108,"16398/404710/18708/13800/18710/241226/242894/14268/14184/56419/15139/14701",12
"mmu00982","Drug metabolism - cytochrome P450 - Mus musculus (house mouse)","6/223","72/11213",0.0833333333333333,4.19020926756353,3.86828499631848,0.00302997169921891,0.04382088832147,0.0354690603239968,"14873/11670/226565/14261/68214/100727",6
"mmu04310","Wnt signaling pathway - Mus musculus (house mouse)","10/223","179/11213",0.0558659217877095,2.80907883859007,3.47546283804315,0.00306527198488767,0.04382088832147,0.0354690603239968,"12323/12444/22417/93840/22409/22420/93897/53883/22422/22418",10
"mmu00480","Glutathione metabolism - Mus musculus (house mouse)","6/223","73/11213",0.0821917808219178,4.1328091406106,3.82514499239936,0.00324766650746116,0.04382088832147,0.0354690603239968,"14873/16790/14768/20135/18263/68214",6
"mmu04360","Axon guidance - Mus musculus (house mouse)","10/223","181/11213",0.0552486187845304,2.77803929341228,3.43517324867991,0.00331976426677803,0.04382088832147,0.0354690603239968,"12323/22417/18708/13800/18710/13838/13638/13639/22066/22418",10
