"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04613","Neutrophil extracellular trap formation - Mus musculus (house mouse)","39/408","209/11213",0.186602870813397,5.12837742752603,11.7067538678644,1.55901947199505e-17,4.82298664141412e-15,4.04534552045094e-15,"18710/319185/12728/319189/319178/319148/319172/319149/319153/319164/319181/260423/319170/319150/319187/319184/319152/319166/319165/319157/319169/319183/319191/20963/326620/319173/97908/24088/319180/319159/319168/319160/15270/320332/19354/319167/19094/665622/18602",39
"mmu05322","Systemic lupus erythematosus - Mus musculus (house mouse)","33/408","150/11213",0.22,6.04622549019608,12.0902440320751,3.06221374058039e-17,4.82298664141412e-15,4.04534552045094e-15,"319185/319189/319178/319148/319172/319149/319153/319164/319181/260423/319170/319150/319187/319184/319152/319166/319165/319157/319169/319183/319191/326620/319173/97908/319180/319159/319168/319160/21926/15270/320332/319167/665622",33
"mmu05034","Alcoholism - Mus musculus (house mouse)","36/408","208/11213",0.173076923076923,4.75664592760181,10.6266444065421,3.44983965841223e-15,3.62233164133284e-13,3.03827983951392e-13,"63959/19049/319185/319189/319178/319148/319172/319149/319153/319164/319181/260423/319170/319150/319187/319184/319152/319166/319165/319157/319169/319183/70405/319191/326620/319173/97908/319180/319159/319168/319160/15270/55984/320332/319167/665622",36
"mmu04110","Cell cycle - Mus musculus (house mouse)","24/408","157/11213",0.152866242038217,4.20119895091795,7.84915160643073,2.18575570815316e-09,1.72128262017062e-07,1.44374916512222e-07,"12649/12428/12442/12544/20877/107995/18817/17219/12532/242705/30939/17216/23834/69716/67849/67177/67141/22137/67052/72415/17215/105988/13555/17218",24
"mmu03030","DNA replication - Mus musculus (house mouse)","11/408","37/11213",0.297297297297297,8.17057498675146,8.48928058118251,4.71203431437088e-08,2.96858161805365e-06,2.48993813243598e-06,"14156/17219/18973/19891/18969/17216/327762/18971/19075/17215/17218",11
"mmu01232","Nucleotide metabolism - Mus musculus (house mouse)","14/408","84/11213",0.166666666666667,4.58047385620915,6.40046193773474,1.77113859680123e-06,7.98261993830142e-05,6.6955308421509e-05,"209558/18102/22171/11636/18103/22169/210808/14544/13178/66422/11639/11637/320685/66355",14
"mmu04217","Necroptosis - Mus musculus (house mouse)","21/408","177/11213",0.11864406779661,3.26067630442007,5.8908560446527,1.77391554184476e-06,7.98261993830142e-05,6.6955308421509e-05,"319172/319164/319170/22035/20847/74568/319166/319165/319169/16391/319191/16175/319173/319168/21926/15270/110095/16176/20846/319167/11687",21
"mmu05160","Hepatitis C - Mus musculus (house mouse)","20/408","164/11213",0.121951219512195,3.3515662362506,5.89490612821072,2.03423816292467e-06,8.0098127665159e-05,6.71833919597491e-05,"53624/18710/667373/20778/12739/246730/20847/23960/15957/16391/17858/58185/71908/17857/230073/21926/246728/242705/20846/13555",20
"mmu01523","Antifolate resistance - Mus musculus (house mouse)","8/408","28/11213",0.285714285714286,7.85224089635854,7.0542830976283,4.69829913664094e-06,0.000164440469782433,0.000137926676408991,"108037/239273/22171/14287/14450/21926/16176/13361",8
"mmu05203","Viral carcinogenesis - Mus musculus (house mouse)","23/408","227/11213",0.101321585903084,2.78460525179235,5.27830568898197,8.66777705156596e-06,0.000273034977124328,0.000229011793678216,"18710/319185/18746/319189/319178/12649/319181/319187/319184/319157/12428/319183/16391/20963/326620/319180/107995/319159/58801/319160/320332/110557/665622",23
