"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-MMU-1650814","Collagen biosynthesis and modifying enzymes","18/665","57/8895",0.315789473684211,4.22398100514444,6.94084540250086,8.23458033750173e-08,4.80899491710101e-05,4.53335317527727e-05,"12829/12819/373864/12825/12834/12833/665033/12843/18822/12832/73368/329941/12831/53867/269132/245026/12815/216725",18
"R-MMU-8948216","Collagen chain trimerization","13/665","33/8895",0.393939393939394,5.26930963773069,6.98406412854743,2.8652830800659e-07,8.36662659379242e-05,7.88706868881297e-05,"12819/373864/12825/12834/12833/665033/12832/73368/329941/12831/53867/245026/12815",13
"R-MMU-216083","Integrin cell surface interactions","18/665","66/8895",0.272727272727273,3.64798359535202,6.13749239819719,9.58238189819049e-07,0.000186537034284775,0.000175845113429952,"12829/14118/104099/109700/12825/12834/12833/665033/67374/18613/12832/22371/329941/12831/53867/83964/15896/245026",18
"R-MMU-2022090","Assembly of collagen fibrils and other multimeric structures","12/665","32/8895",0.375,5.01597744360902,6.46897312614103,1.54695170535948e-06,0.000188709657939805,0.000177893206745707,"12819/373864/12825/12834/12833/665033/12832/329941/12831/53867/245026/12815",12
"R-MMU-186797","Signaling by PDGF","11/665","27/8895",0.407407407407407,5.44945697577277,6.58166114733041,1.61566487962162e-06,0.000188709657939805,0.000177893206745707,"18595/12825/12834/12833/18596/665033/12832/12831/53867/71785/245026",11
"R-MMU-419037","NCAM1 interactions","8/665","16/8895",0.5,6.68796992481203,6.47283776971753,7.02294034285251e-06,0.000683566193370978,0.000644385578826643,"12825/12834/12833/665033/12832/12831/53867/245026",8
"R-MMU-2129379","Molecules associated with elastic fibres","10/665","32/8895",0.3125,4.17998120300752,5.12234275036232,7.24722939101035e-05,0.0060462599490715,0.00569970070902017,"12159/14118/58859/14115/76293/100952/23876/13717/50530/17150",10
"R-MMU-1566948","Elastic fibre formation","7/665","17/8895",0.411764705882353,5.5077399380805,5.287924071969,0.000126596026103028,0.00924150990552101,0.00871180548051098,"14118/67573/16948/23876/13717/50530/17150",7
"R-MMU-8874081","MET activates PTK2 signaling","7/665","18/8895",0.388888888888889,5.20175438596491,5.07216382481251,0.000193880504622571,0.0125806905221757,0.0118595911014742,"373864/12825/12832/16775/12831/53867/12815",7
"R-MMU-3000178","ECM proteoglycans","10/665","36/8895",0.277777777777778,3.71553884711779,4.64060268650514,0.000217197927796913,0.0126843589833397,0.0119573174987142,"81877/104099/12825/12834/12833/665033/12832/12831/53867/245026",10
"R-MMU-3000171","Non-integrin membrane-ECM interactions","6/665","14/8895",0.428571428571429,5.73254564983888,5.03717874629338,0.000304458606385503,0.0161639841935576,0.0152374977167098,"12825/18214/12832/12831/53867/12815",6
"R-MMU-5673001","RAF/MAP kinase cascade","20/665","118/8895",0.169491525423729,2.26710844908882,3.93859394480537,0.000427842705963755,0.0200143164934754,0.0188671368530779,"16367/13645/13869/242274/384783/18595/18596/19731/13867/21687/13874/14173/14165/14814/19419/19417/19418/11876/19713/71746",20
"R-MMU-1442490","Collagen degradation","11/665","46/8895",0.239130434782609,3.19859431186662,4.24948583507921,0.000445527401298251,0.0200143164934754,0.0188671368530779,"12819/12825/12834/12833/665033/12832/329941/12831/53867/245026/12815",11
"R-MMU-9013148","CDC42 GTPase cycle","16/665","85/8895",0.188235294117647,2.51782397169394,3.99670766872018,0.000479795258405232,0.0200143164934754,0.0188671368530779,"109294/14270/50768/236920/243362/239027/71302/319899/244867/53972/12549/19418/442801/106952/52666/277360",16
"R-MMU-383280","Nuclear Receptor transcription pathway","11/665","50/8895",0.22,2.94270676691729,3.91564043014951,0.000948361441059574,0.0369228721052527,0.0348065286788882,"225998/19885/21833/19013/19883/21834/15370/217166/18667/26381/15378",11
