"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-MMU-2299718","Condensation of Prophase Chromosomes","43/668","77/8895",0.558441558441558,7.43613422505638,16.162236340952,8.91120131596159e-29,5.04373994483426e-26,4.38055896268849e-26,"319173/319150/319148/319178/260423/319185/319172/319165/319157/319181/319169/319149/319189/319184/319153/319166/319170/326620/319183/319164/319187/319191/18817/97908/319180/319152/319167/14211/68024/319160/320332/15270/319168/319159/70099/76044/319161/319176/319154/319158/12534/268697/319188",43
"R-MMU-606279","Deposition of new CENPA-containing nucleosomes at the centromere","41/668","78/8895",0.525641025641026,6.99936665131276,15.1638098811503,4.31564602220592e-26,1.22132782428427e-23,1.06074036440535e-23,"319173/319178/319185/319172/319165/319157/319181/319169/319189/319184/319166/319170/326620/319183/319164/319187/319191/319180/319167/12615/68024/217653/319160/320332/15270/319168/319159/319161/102920/66578/319176/72155/319158/60411/66570/26886/212427/381280/69928/319188/66311",41
"R-MMU-9909649","Regulation of PD-L1(CD274) transcription","38/668","70/8895",0.542857142857143,7.22861420017109,14.9073050872625,6.06825626037753e-25,1.14487768112456e-22,9.94342341612739e-23,"319173/319150/319148/319178/260423/319185/319172/319165/319157/319181/319169/319149/319189/319184/319153/319166/319170/326620/319183/319164/319187/319191/97908/319180/319152/319167/68024/319160/320332/15270/319168/319159/319161/14056/319176/319154/319158/319188",38
"R-MMU-9841922","MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis","37/668","73/8895",0.506849315068493,6.7491387088836,14.0538960010828,6.3948583580924e-23,9.04872457670075e-21,7.85894435060303e-21,"319173/319150/319148/319178/260423/319185/319172/319165/319157/319181/319169/319149/319189/319184/319153/319166/319170/326620/319183/319164/319187/319191/97908/319180/319152/319167/68024/319160/320332/15270/319168/319159/319161/319176/319154/319158/319188",37
"R-MMU-212300","PRC2 methylates histones and DNA","38/668","80/8895",0.475,6.3250374251497,13.6324070347098,3.30575149909861e-22,3.74211069697962e-20,3.25007568437695e-20,"319173/319150/319148/319178/260423/319185/319172/319165/319157/319181/319169/319149/319189/319184/319153/319166/319170/326620/319183/319164/319187/319191/97908/319180/319152/319167/68024/319160/320332/15270/319168/319159/319161/14056/319176/319154/319158/319188",38
"R-MMU-9764725","Negative Regulation of CDH1 Gene Transcription","38/668","82/8895",0.463414634146341,6.17076821965824,13.4034363765748,1.00485955865544e-21,9.47917516998294e-20,8.23279673494892e-20,"319173/319150/319148/319178/260423/319185/319172/319165/319157/319181/319169/319149/319189/319184/319153/319166/319170/326620/319183/319164/319187/319191/97908/319180/319152/319167/68024/319160/320332/15270/319168/319159/319161/14056/319176/319154/319158/319188",38
"R-MMU-8936459","RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function","37/668","81/8895",0.45679012345679,6.08255710800621,13.093456165054,6.52169399008234e-21,5.27325542626658e-19,4.57989638100519e-19,"319173/319150/319148/319178/260423/319185/319172/319165/319157/319181/319169/319149/319189/319184/319153/319166/319170/326620/319183/319164/319187/319191/97908/319180/319152/319167/68024/319160/320332/15270/319168/319159/319161/319176/319154/319158/319188",37
"R-MMU-110330","Recognition and association of DNA glycosylase with site containing an affected purine","30/668","59/8895",0.508474576271186,6.7707804729524,12.6721046539924,7.33426275575228e-19,4.82177198267483e-17,4.18777667083717e-17,"319173/319178/319185/319172/319165/319157/319181/319169/319189/319184/319166/319170/326620/319183/319164/319187/319191/319180/319167/68024/319160/234258/320332/15270/319168/319159/319161/319176/319158/319188",30
"R-MMU-141444","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal","37/668","91/8895",0.406593406593407,5.41414423899454,12.0598871704417,8.5190317715103e-19,4.82177198267483e-17,4.18777667083717e-17,"66977/20877/107995/18817/16319/12615/67052/52276/66468/68549/108000/102920/56150/66442/56455/12237/72155/229841/60411/67629/236930/19387/70385/69912/17120/228421/66570/68014/72415/26886/12236/12235/66934/69928/73804/67037/208628",37
"R-MMU-9940951","Interaction of NuRD complexes with transcription factors","37/668","91/8895",0.406593406593407,5.41414423899454,12.0598871704417,8.5190317715103e-19,4.82177198267483e-17,4.18777667083717e-17,"319173/319150/319148/319178/260423/319185/319172/319165/319157/319181/319169/319149/319189/319184/319153/319166/319170/326620/319183/319164/319187/319191/97908/319180/319152/319167/68024/319160/320332/15270/319168/319159/319161/319176/319154/319158/319188",37
