"Gene","distance","Z","FC","p_value","p_adj"
"ADIRF",0.00267376769292991,3.66395039292399,34619.7135757363,0,0
"SRGN",0.000149091040748928,2.07476086129541,107.641370949678,3.22091132774073e-25,8.05227831935182e-23
"SORBS2",7.57974092861427e-05,1.77214525157571,27.8217761159502,1.33020448828232e-07,2.21700748047054e-05
"FRZB",7.32028838208424e-05,1.75718844379035,25.9497099770906,3.50428080158735e-07,4.38035100198419e-05
"C12orf75",6.92751301080908e-05,1.73362702401992,23.2397166089132,1.43013100290382e-06,0.000143013100290382
"CRIP1",6.79737718949533e-05,1.72555915412414,22.3747848107306,2.24299600537913e-06,0.000186916333781594
"CCDC3",6.48559316389514e-05,1.7056586832515,20.3692731517172,6.38467783754003e-06,0.000456048416967145
"HLA-DRA",5.90349036011594e-05,1.66612082548491,16.8769453636517,3.98830764395549e-05,0.00249269227747218
"BGN",5.67086510999396e-05,1.64934734810127,15.5730888619981,7.93763381345408e-05,0.00440979656303005
"HLA-DRB1",5.28378150515653e-05,1.62003540995583,13.5196618212354,0.000236076954502165,0.0118038477251083
"RERGL",4.95529112889156e-05,1.59362800288929,11.8908931694909,0.000564090652899574,0.0256404842227079
"CD74",4.69341030878631e-05,1.57143991154719,10.6672671932071,0.0010904810814784,0.0454367117282668
"ARPC1A",4.62277506213308e-05,1.56526759396809,10.3486012034265,0.00129572834485101,0.0485660677987218
"S100A4",4.60282356326743e-05,1.56350904181136,10.2594666256848,0.00135984989836421,0.0485660677987218
"HLA-DPB1",4.55732422349461e-05,1.55947327128274,10.0576375631931,0.00151717651461044,0.0505725504870147
"GADD45B",3.57010028211879e-05,1.46171559824879,6.17215691131663,0.0129776291234496,0.405550910107799
"NTRK2",3.51738010192609e-05,1.45584612603703,5.99121262101687,0.0143773155650007,0.422862222500022
"C2orf40",3.38340486434569e-05,1.44057201284654,5.54350018471072,0.0185494461239668,0.49176289108901
"ATF3",3.37945743984625e-05,1.44011390560453,5.53057250734757,0.0186869898613824,0.49176289108901
"CRIM1",3.29004955618925e-05,1.4296088402357,5.2418067613484,0.022050362124628,0.547043057809476
"LBH",3.23802148918722e-05,1.42337876672261,5.07733221746481,0.0242406406563302,0.547043057809476
"BCAM",3.23294177267055e-05,1.42276575633271,5.06141436269092,0.0244642648444286,0.547043057809476
"NR4A1",3.19448965424073e-05,1.41809755215783,4.94173098128514,0.0262157699235409,0.547043057809476
"ID4",3.18760702969326e-05,1.41725673272439,4.92045970317196,0.0265404542565162,0.547043057809476
"PTN",3.1517031489386e-05,1.41284426237874,4.8102399275658,0.0282911060683277,0.547043057809476
"RRAD",3.14861475561827e-05,1.41246263201053,4.80081731800368,0.0284462390060928,0.547043057809476
"CYBA",2.8816630267474e-05,1.37815155760673,4.02126335506661,0.0449300453864193,0.832037877526284
"SNCG",2.72952706463969e-05,1.35731635203958,3.60787047297268,0.057506712102962,0.999999999999909
"HLA-DPA1",2.71418095030392e-05,1.35515793793252,3.56741573616908,0.0589239451944794,0.999999999999909
"JUNB",2.69049652405396e-05,1.35180543628303,3.50542757143137,0.0611680544811332,0.999999999999909
"MT1E",2.64341661522523e-05,1.34506295862449,3.38382082200224,0.0658392585509946,0.999999999999909
"RCAN2",2.60792161729264e-05,1.33990889378412,3.29355709234436,0.0695521916429885,0.999999999999909
"MT1X",2.58467252590005e-05,1.33649921315957,3.23509605847434,0.0720760764814989,0.999999999999909
"NOV",2.49321947238001e-05,1.32281762097906,3.01021245176412,0.0827414457307746,0.999999999999909
"MTHFD2",2.48259866115461e-05,1.32120002509059,2.98462080009754,0.0840589741887035,0.999999999999909
"C11orf96",2.46816332629327e-05,1.31899160369616,2.9500129167568,0.0858768716768142,0.999999999999909
"WFDC1",2.42754115530037e-05,1.31271495057145,2.85370667125124,0.0911635305101304,0.999999999999909
"VASN",2.3731515418384e-05,1.30416372825212,2.72726331742382,0.0986481917423578,0.999999999999909
"ARC",2.21801379637691e-05,1.27878197307477,2.38234477961413,0.122713235731383,0.999999999999909
"JUN",2.21323969906485e-05,1.27797622952171,2.3721002035854,0.123520773719439,0.999999999999909
"NOTCH3",2.17735624097935e-05,1.27187026734981,2.29580558813202,0.129723889420217,0.999999999999909
"EGR1",2.1567878113024e-05,1.26833001356413,2.2526357315843,0.133387036573726,0.999999999999909
"MT1M",2.13105522856198e-05,1.26385854223073,2.19920410630157,0.138082015578297,0.999999999999909
"FOSB",2.09221110970288e-05,1.25701727472863,2.11976216052396,0.145409123511407,0.999999999999909
"MAP3K7CL",2.09028705280042e-05,1.25667549131196,2.11586516597548,0.145779649587171,0.999999999999909
"ZFP36",2.08815668496785e-05,1.2562967341864,2.11155449096054,0.146190748783091,0.999999999999909
"HLA-B",2.07416611358502e-05,1.25380081667125,2.08335460597036,0.14891259846346,0.999999999999909
"FXYD5",2.01868438963074e-05,1.24375370342825,1.97339024454337,0.160088465997698,0.999999999999909
"CEBPB",2.00050069623807e-05,1.24040758383043,1.93799896751431,0.163885967886167,0.999999999999909
