"Gene","distance","Z","FC","p_value","p_adj"
"ACTA2",1.91466248502154e-05,4.84916598616987,747175.017636738,0,0
"ACTB",1.02430159433126e-07,1.60206403858555,21.3842283755404,3.75850276670495e-06,0.00241872561407119
"TAGLN",1.00003377788518e-07,1.59156926937941,20.3829587267497,6.3391794512717e-06,0.00241872561407119
"CNN1",9.96977251277841e-08,1.59023171570695,20.2585512360048,6.76504078818848e-06,0.00241872561407119
"LGALS1",9.9689930537342e-08,1.59019755929726,20.2553836424239,6.77625084376551e-06,0.00241872561407119
"TPM2",9.91647674435573e-08,1.58789086660892,20.0425364429501,7.57385497106293e-06,0.00241872561407119
"TPM1",9.86369254667234e-08,1.58556162517857,19.8297363489774,8.46553964924917e-06,0.00241872561407119
"TGFB1I1",9.66836182102161e-08,1.57684631593122,19.0521361296372,1.27195314201286e-05,0.00305839441839122
"PALLD",9.61745341090046e-08,1.57454960825734,18.8520276822684,1.41260856912484e-05,0.00305839441839122
"MYL9",9.54995576548258e-08,1.57148804873916,18.5883399509338,1.62209672103909e-05,0.00305839441839122
"RAMP1",9.50137153545688e-08,1.56927263858591,18.3996892387592,1.79087186381022e-05,0.00305839441839122
"CSRP1",9.48937907514433e-08,1.5687242668714,18.3532710375249,1.83503665103473e-05,0.00305839441839122
"MYH11",9.43399297123772e-08,1.56618377708218,18.1396533395864,2.05281762737024e-05,0.00315818096518499
"MYLK",9.37196789910404e-08,1.56332324863843,17.9019141966969,2.3258705561253e-05,0.00332267222303615
"DES",9.27565690132025e-08,1.55884853119394,17.5358668265434,2.81938637224718e-05,0.00371572301051159
"PDLIM7",9.2490147207033e-08,1.55760353727616,17.4352760472111,2.97257840840927e-05,0.00371572301051159
"TPM4",8.93397478228397e-08,1.5426389794924,16.2677440586584,5.49921661100386e-05,0.00646966660118102
"PPP1CB",8.88333062466083e-08,1.5401904608394,16.0838323994165,6.05991911066374e-05,0.00673324345629305
"TCEAL4",8.71704468807771e-08,1.53206424597625,15.4873256854506,8.30603295571654e-05,0.00874319258496478
"SMTN",8.60522021950147e-08,1.52652298264635,15.0925236297276,0.000102367915674278,0.0102367915674278
"ALDOA",8.50708895146968e-08,1.5216081763992,14.7502653876896,0.000122730250255027,0.0116885952623835
"EMX2",8.45994539861167e-08,1.51922939797071,14.587235910996,0.000133817892553047,0.0120224751966755
"FHL2",8.4420903817597e-08,1.51832544082105,14.5257271232665,0.000138258464761768,0.0120224751966755
"ZYX",8.33153431568879e-08,1.51269075732149,14.1477657790614,0.000168997683165944,0.0140831402638287
"CXCL12",8.26424948136009e-08,1.50922940160949,13.9201759538571,0.000190740000308798,0.014730788898412
"FHL1",8.25596888149974e-08,1.50880171965082,13.8922944966018,0.000193590521113141,0.014730788898412
"LPP",8.24094269341605e-08,1.50802467884702,13.8417714706508,0.000198865650128562,0.014730788898412
"SMOC2",8.14007216042185e-08,1.50277612834743,13.5049940191118,0.00023792940421281,0.0167372403672497
"FXYD6",8.12886153155014e-08,1.50218930653994,13.4678210756606,0.000242689985325121,0.0167372403672497
"EMILIN1",8.07355045118686e-08,1.49928364702211,13.2851668605936,0.000267514220064763,0.0178342813376509
"SLMAP",8.02210037683709e-08,1.49656515900943,13.116382409667,0.000292724729103289,0.0180313580811332
"RSPO3",8.01573634325321e-08,1.49622784192627,13.0955798806277,0.000295993361481103,0.0180313580811332
"PDLIM3",8.01279149211388e-08,1.49607167482322,13.085959442108,0.000297517408338698,0.0180313580811332
"PBX1",7.88779757549135e-08,1.48939648139623,12.68088021093,0.000369413627094,0.0217302133584706
"ISOC1",7.77328724779534e-08,1.48319952164068,12.3153658997779,0.000449244637002817,0.0256711221144467
"SYNPO2",7.7258945522329e-08,1.48061140375629,12.1656533973035,0.000486776098553602,0.0270431165863112
"ANTXR2",7.64150989391686e-08,1.47596861259834,11.9013505120779,0.000560932601075496,0.030320681139216
"ACTG2",7.62344967314465e-08,1.47496913334603,11.8451608267854,0.000578113822661905,0.030427043297995
"PARVA",7.59801512649892e-08,1.47355803329311,11.766253317484,0.000603142576474765,0.0309303885371675
"WT1",7.57071124139123e-08,1.47203862138818,11.6818399061667,0.00063113089527177,0.0315565447635885
"PGR",7.49986997903176e-08,1.46807398689885,11.4642422666401,0.000709481534822186,0.0345762638884457
"ST5",7.48578294958836e-08,1.46728170716374,11.4212160679102,0.00072610154165736,0.0345762638884457
"OLFML3",7.42641344507171e-08,1.46392827736662,11.2407718685323,0.000800198714297598,0.0372185448510511
"COL3A1",7.3824336952762e-08,1.46142898459529,11.1080287882832,0.000859548005463475,0.0390703638847034
