"cluster","gene","avg_log2FC","pct_in","pct_out","p_val","p_val_adj","auc"
"0","ADIRF",2.3271586602991,100,80.672268907563,9.19107080455776e-195,2.11670360628965e-191,0.947814991500959
"0","CRIP1",1.92969441197379,83.7573385518591,26.1268143621085,3.29396547672145e-145,1.08371464184136e-142,0.847405213642119
"0","S100A4",1.8230345133752,94.1291585127202,50.7257448433919,3.42445497659087e-136,7.88651981108878e-134,0.864454872858234
"0","C12orf75",1.72156544783706,91.1937377690802,31.7799847211612,2.56999452613408e-170,1.97289913122893e-167,0.88927326846056
"0","SORBS2",1.65676683847879,90.2152641878669,18.6401833460657,1.40155874275788e-189,1.6138948922857e-186,0.888172205370317
"0","BGN",1.61402281773345,93.1506849315068,37.5859434682964,5.35585373277447e-146,2.0557551910966e-143,0.867134649625728
"0","SOD3",1.55572185969603,95.8904109589041,53.8579067990833,1.06557615936102e-138,2.7266909944538e-136,0.869876468644743
"0","PPP1R14A",1.53438105059536,96.6731898238748,51.8716577540107,3.5924357112762e-132,7.52125403915372e-130,0.860102945287704
"0","MYL9",1.41491593820287,99.8043052837573,93.2773109243697,2.78941722332175e-76,1.73622374738108e-74,0.778388067555789
"0","MT1X",1.40652974309664,90.4109589041096,51.1077158135982,3.74117923872804e-94,3.31382145645795e-92,0.801524594893997
"1","CD74",2.92432431162517,97.196261682243,16.8779186124083,1.15237937034712e-227,2.65392968990943e-224,0.968995945375837
"1","IFI27",2.58463089662759,95.3271028037383,18.4122748498999,7.8073395382377e-221,8.99015147828071e-218,0.966333734431469
"1","TM4SF1",1.98657731519063,88.4735202492212,33.7558372248165,1.73817521011842e-125,1.8195534131376e-123,0.882879344277286
"1","HLA-B",1.71195242341108,98.7538940809969,71.180787191461,4.16016140523292e-128,5.04255353486917e-126,0.924661092857336
"1","HLA-E",1.63350074965778,98.1308411214953,62.7751834556371,4.44779804934509e-134,6.02545818096573e-132,0.931055802518397
"1","ID3",1.63317074206492,96.8847352024922,73.9826551034023,7.7849319342396e-92,3.9841551654564e-90,0.859019200754813
"1","TMSB10",1.54231080000487,99.6884735202492,95.663775850567,1.03532670065456e-126,1.13540828171784e-124,0.925227410173761
"1","CAVIN2",1.53822269037701,80.6853582554517,12.8752501667779,1.07071984957757e-171,2.73985312619683e-169,0.876258107689654
"1","HLA-DRA",1.5004425576488,78.816199376947,5.6704469646431,6.51876425815768e-213,3.75317852163429e-210,0.87512339482812
"1","HLA-DRB1",1.47160289269346,77.2585669781931,5.93729152768512,2.44431758074257e-203,1.12585267769003e-200,0.866070630680059
"2","DES",3.05267422391282,99.203187250996,44.7418738049713,1.95302635017783e-122,4.49781968445955e-119,0.936050571455415
"2","ACTG2",2.54801361194969,96.0159362549801,61.8865519439133,1.31918034671241e-87,3.79759042309834e-85,0.882146366731925
"2","CNN1",1.9653010001719,100,73.4862970044614,6.87031850228187e-93,3.16446870215103e-90,0.898898986590286
"2","MYLK",1.78961310689879,98.804780876494,67.4314850223072,6.15505116554407e-87,1.57500920380533e-84,0.883558182820026
"2","CSRP1",1.72537799585422,100,76.9917144678139,4.26703780538274e-88,1.63783134429941e-85,0.889060710631026
"2","TCEAL4",1.71309436629708,99.203187250996,57.8075207138305,5.25593152143596e-102,3.02610257346675e-99,0.910584557880651
"2","ACTA2",1.70522363115696,100,86.5519439133206,4.483695788204e-68,3.56067289663235e-66,0.841978167635386
"2","TPM2",1.69872891246068,100,90.8221797323136,2.55496788174936e-86,5.88409103166878e-84,0.886444026316658
"2","TAGLN",1.65324049395319,100,94.5188017845762,2.30492778223861e-70,2.52773746785501e-68,0.848091382081616
