"MouseRNAseqData","cluster","refs_agree","cell_type_final"
"Fibroblasts","0",NA,"Fibroblasts"
"Fibroblasts","1",NA,"Fibroblasts"
"Fibroblasts","2",NA,"Fibroblasts"
"Fibroblasts","3",NA,"Fibroblasts"
"Fibroblasts","4",NA,"Fibroblasts"
"Fibroblasts","5",NA,"Fibroblasts"
"Fibroblasts","6",NA,"Fibroblasts"
"Fibroblasts","7",NA,"Fibroblasts"
"Fibroblasts","8",NA,"Fibroblasts"
"Fibroblasts","9",NA,"Fibroblasts"
"Fibroblasts","10",NA,"Fibroblasts"
"Fibroblasts","11",NA,"Fibroblasts"
"Fibroblasts","12",NA,"Fibroblasts"
"Fibroblasts","13",NA,"Fibroblasts"
"Fibroblasts","14",NA,"Fibroblasts"
"Fibroblasts","15",NA,"Fibroblasts"
"Fibroblasts","16",NA,"Fibroblasts"
"Fibroblasts","17",NA,"Fibroblasts"
"Fibroblasts","18",NA,"Fibroblasts"
"Fibroblasts","19",NA,"Fibroblasts"
"Macrophages","20",NA,"Macrophages"
