"MouseRNAseqData","cluster","refs_agree","cell_type_final"
"Hepatocytes","0",NA,"Hepatocytes"
"Neurons","1",NA,"Neurons"
"Monocytes","2",NA,"Monocytes"
"Monocytes","3",NA,"Monocytes"
"Hepatocytes","4",NA,"Hepatocytes"
"Granulocytes","5",NA,"Granulocytes"
"Dendritic cells","6",NA,"Dendritic cells"
"Granulocytes","7",NA,"Granulocytes"
"Cardiomyocytes","8",NA,"Cardiomyocytes"
"Monocytes","9",NA,"Monocytes"
"Monocytes","10",NA,"Monocytes"
"Hepatocytes","11",NA,"Hepatocytes"
"Erythrocytes","12",NA,"Erythrocytes"
"Monocytes","13",NA,"Monocytes"
"Granulocytes","14",NA,"Granulocytes"
"Fibroblasts","15",NA,"Fibroblasts"
"Monocytes","16",NA,"Monocytes"
"Oligodendrocytes","17",NA,"Oligodendrocytes"
"Erythrocytes","18",NA,"Erythrocytes"
"Monocytes","19",NA,"Monocytes"
"Monocytes","20",NA,"Monocytes"
"Oligodendrocytes","21",NA,"Oligodendrocytes"
