"HPCA","BlueprintEncode","cluster","refs_agree","cell_type_final"
"Monocyte","Monocytes","0",FALSE,"Monocyte"
"T_cells","CD4+ T-cells","1",FALSE,"T_cells"
"Monocyte","Monocytes","2",FALSE,"Monocyte"
"Monocyte","Monocytes","3",FALSE,"Monocyte"
"NK_cell","NK cells","4",FALSE,"NK_cell"
"Monocyte","Monocytes","5",FALSE,"Monocyte"
"Monocyte","Monocytes","6",FALSE,"Monocyte"
"T_cells","CD8+ T-cells","7",FALSE,"T_cells"
"T_cells","CD8+ T-cells","8",FALSE,"T_cells"
"T_cells","CD4+ T-cells","9",FALSE,"T_cells"
"Myelocyte","Neutrophils","10",FALSE,"Myelocyte"
"B_cell","B-cells","11",FALSE,"B_cell"
"Neutrophils","Neutrophils","12",TRUE,"Neutrophils"
"Pre-B_cell_CD34-","Monocytes","13",FALSE,"Pre-B_cell_CD34-"
"Monocyte","Monocytes","14",FALSE,"Monocyte"
"NK_cell","NK cells","15",FALSE,"NK_cell"
"T_cells","CD8+ T-cells","16",FALSE,"T_cells"
"Platelets","Monocytes","17",FALSE,"Platelets"
"NK_cell","NK cells","18",FALSE,"NK_cell"
"NK_cell","NK cells","19",FALSE,"NK_cell"
"T_cells","CD8+ T-cells","20",FALSE,"T_cells"
"Monocyte","Monocytes","21",FALSE,"Monocyte"
"T_cells","CD8+ T-cells","22",FALSE,"T_cells"
"Monocyte","Monocytes","23",FALSE,"Monocyte"
"Pre-B_cell_CD34-","Monocytes","24",FALSE,"Pre-B_cell_CD34-"
"Pre-B_cell_CD34-","Monocytes","25",FALSE,"Pre-B_cell_CD34-"
"Monocyte","Monocytes","26",FALSE,"Monocyte"
