"MouseRNAseqData","cluster","refs_agree","cell_type_final"
"Oligodendrocytes","0",NA,"Oligodendrocytes"
"Astrocytes","1",NA,"Astrocytes"
"Oligodendrocytes","2",NA,"Oligodendrocytes"
"Neurons","3",NA,"Neurons"
"Neurons","4",NA,"Neurons"
"Fibroblasts","5",NA,"Fibroblasts"
"Neurons","6",NA,"Neurons"
"Fibroblasts","7",NA,"Fibroblasts"
"Astrocytes","8",NA,"Astrocytes"
"Fibroblasts","9",NA,"Fibroblasts"
"Neurons","10",NA,"Neurons"
"Fibroblasts","11",NA,"Fibroblasts"
"Endothelial cells","12",NA,"Endothelial cells"
"Neurons","13",NA,"Neurons"
"Fibroblasts","14",NA,"Fibroblasts"
"Neurons","15",NA,"Neurons"
"Astrocytes","16",NA,"Astrocytes"
"Neurons","17",NA,"Neurons"
"Fibroblasts","18",NA,"Fibroblasts"
"Endothelial cells","19",NA,"Endothelial cells"
"Oligodendrocytes","20",NA,"Oligodendrocytes"
"Neurons","21",NA,"Neurons"
"Neurons","22",NA,"Neurons"
"Oligodendrocytes","23",NA,"Oligodendrocytes"
"Neurons","24",NA,"Neurons"
"Astrocytes","25",NA,"Astrocytes"
"Astrocytes","26",NA,"Astrocytes"
"Microglia","27",NA,"Microglia"
