step,X,Y
1,947,410
2,947,410
3,956,406
4,956,406
5,978,412
6,978,411
7,968,413
8,953,421
9,952,421
10,947,414
11,939,411
12,939,411
13,965,408
14,980,406
15,980,406
16,980,406
17,978,407
18,963,411
19,955,414
20,950,414
21,950,414
22,939,414
23,939,413
24,939,410
25,940,408
26,942,408
27,956,408
28,976,409
29,1002,408
30,1002,408
31,1037,411
32,1038,411
33,1060,410
34,1060,410
35,1067,410
36,1078,412
37,1087,412
38,1108,416
39,1110,416
40,1125,416
41,1125,416
42,1112,415
43,1088,411
44,1087,411
45,1069,410
46,1038,408
47,1033,408
48,1004,408
49,999,408
50,995,408
51,996,408
52,1023,409
53,1042,411
54,1090,411
55,1106,411
56,1111,411
57,1116,410
58,1133,409
59,1142,409
60,1148,409
61,1172,409
62,1187,409
63,1201,409
64,1215,409
65,1240,412
66,1246,413
67,1252,414
68,1255,414
69,1255,414
70,1254,426
71,1254,426
72,1250,432
73,1245,434
74,1234,436
75,1233,436
76,1220,433
77,1210,430
78,1205,429
79,1180,420
80,1143,419
81,1146,418
82,1198,418
83,1225,418
84,1231,419
85,1242,427
86,1247,433
87,1251,439
88,1251,447
89,1252,451
90,1255,461
91,1243,448
92,1242,440
93,1240,431
94,1235,428
95,1217,424
96,1209,424
97,1194,420
98,1193,420
99,1193,418
100,1216,415
101,1227,415
102,1231,417
103,1231,432
104,1225,438
105,1225,439
106,1210,431
107,1202,430
108,1195,430
109,1194,428
110,1194,424
111,1185,418
112,1178,415
113,1173,414
114,1140,414
115,1153,414
116,1186,414
117,1220,418
118,1227,421
119,1184,429
120,1162,425
121,1127,419
122,1109,416
123,1095,416
124,1058,416
125,1033,415
126,1019,413
127,997,410
128,985,410
129,955,408
130,954,408
131,953,406
132,953,406
133,998,407
134,1023,406
135,1080,406
136,1090,408
137,1145,413
138,1158,413
139,1167,414
140,1218,418
141,1220,418
142,1257,422
143,1250,423
144,1250,423
145,1252,423
146,1253,423
147,1253,423
148,1253,428
149,1253,433
150,1253,453
