step,X,Y
1,925,421
2,929,471
3,924,525
4,915,585
5,925,634
6,916,681
7,924,712
8,924,727
9,944,734
10,978,731
11,1007,728
12,1032,727
13,1082,723
14,1104,722
15,1129,722
16,1183,726
17,1199,722
18,1208,719
19,1222,709
20,1223,687
21,1237,666
22,1242,624
23,1239,584
24,1235,543
25,1235,454
26,1237,421
27,1236,408
28,1226,430
29,1231,491
30,1232,514
31,1232,569
32,1230,610
33,1232,626
34,1235,661
35,1235,694
36,1235,717
37,1235,717
38,1234,730
39,1226,730
40,1216,729
41,1213,729
42,1209,729
43,1209,729
44,1209,729
45,1203,730
46,1201,730
47,1200,731
48,1199,731
49,1198,731
50,1198,723
51,1198,723
52,1198,722
53,1201,719
54,1206,717
55,1232,717
56,1232,717
57,1232,719
58,1232,720
59,1233,729
60,1236,729
61,1243,722
62,1248,712
63,1248,699
64,1226,706
65,1209,720
66,1195,730
67,1186,735
68,1159,740
69,1153,740
70,1129,734
71,1114,732
72,1085,728
73,1054,729
74,1053,729
75,1028,729
76,1019,729
77,978,728
78,976,727
79,958,722
80,954,718
81,939,709
82,934,701
83,934,694
84,951,697
85,968,701
86,982,701
87,1008,698
88,1009,697
89,1028,692
90,1039,668
91,1044,644
92,1047,629
93,1053,601
94,1061,582
95,1077,557
96,1097,537
97,1112,516
98,1139,499
99,1167,486
100,1186,479
101,1187,486
102,1187,506
103,1181,541
104,1175,570
105,1169,591
106,1161,617
107,1160,624
108,1079,611
109,1058,597
110,1024,581
111,1000,561
112,971,531
113,951,499
114,949,461
115,949,433
116,954,422
117,971,418
118,1014,414
119,1066,409
120,1111,404
121,1168,402
122,1171,402
123,1214,402
124,1237,409
125,1241,410
126,1246,435
127,1229,462
128,1216,480
129,1165,500
130,1091,503
131,1068,483
132,1076,451
133,1143,446
134,1147,457
135,1133,496
136,1131,499
137,1105,519
138,1094,544
139,1096,575
140,1104,577
141,1186,591
142,1186,591
143,1166,626
144,1148,641
145,1140,641
146,1123,623
147,1085,617
148,1054,612
149,1010,597
150,998,567
151,1002,532
152,1003,511
153,1003,486
154,989,463
155,970,475
156,963,499
157,959,537
158,962,557
159,969,597
160,998,611
161,1014,611
162,1036,596
163,1049,559
164,1059,526
165,1074,511
166,1138,491
167,1164,499
168,1184,519
169,1181,540
170,1178,582
171,1173,610
172,1146,639
173,1109,662
174,1076,661
175,998,658
176,978,629
177,965,586
178,951,533
179,949,491
180,951,468
181,956,446
182,964,439
183,1032,434
184,1057,434
185,1009,474
186,1009,477
187,1037,486
188,1053,494
189,1082,505
190,1102,505
191,1126,482
192,1153,442
193,1168,429
194,1208,413
195,1211,411
196,1223,411
197,1231,412
198,1233,414
199,1239,417
200,1239,417
201,1239,417
202,1239,417
203,1239,417
204,1239,417
205,1239,417
206,1239,417
207,1239,417
208,1239,417
209,1239,417
210,1206,424
211,1199,426
212,1188,418
213,1188,418
214,1193,412
215,1211,412
216,1217,415
217,1226,425
218,1227,432
219,1229,447
220,1231,462
221,1225,495
222,1225,505
223,1225,512
224,1179,501
225,1161,493
226,1158,488
227,1111,462
228,1089,426
229,1092,416
230,1118,411
231,1146,409
232,1179,409
233,1234,416
234,1244,416
235,1247,416
236,1252,436
237,1251,451
238,1249,472
239,1248,475
240,1246,476
241,1246,476
242,1246,476
243,1246,476
244,1246,476
245,1244,476
246,1229,454
247,1229,453
248,1229,432
249,1209,422
250,1188,421
251,1130,437
252,1130,437
253,1103,444
254,1103,444
255,1219,444
256,1218,459
257,1209,462
258,1201,475
259,1201,481
260,1201,482
261,1202,485
262,1201,510
263,1202,525
264,1202,529
265,1202,551
266,1202,561
267,1203,567
268,1200,585
269,1195,589
270,1138,586
271,1120,561
272,1115,532
273,1126,503
274,1139,494
275,1144,511
276,1139,551
277,1134,570
278,1114,592
279,1043,599
280,1011,598
281,1012,586
282,1019,576
283,1044,569
284,1048,571
285,1083,574
286,1092,574
287,1109,556
288,1098,538
289,1044,516
290,1035,516
291,1033,521
292,1019,544
293,1014,565
294,1014,590
295,1028,625
296,1043,637
297,1040,665
298,1084,666
299,1099,666
300,1114,666
301,1126,662
302,1156,636
303,1163,618
304,1171,602
305,1186,626
306,1187,647
307,1189,666
308,1196,675
309,1207,679
310,1212,686
311,1221,690
312,1234,689
313,1243,683
314,1245,659
315,1244,633
316,1245,608
317,1245,589
318,1247,567
319,1251,556
320,1223,482
321,1156,448
322,1064,470
323,1030,466
324,970,439
325,938,424
326,938,424
327,938,455
328,943,555
329,961,582
330,961,617
331,1007,629
332,973,672
333,971,689
334,960,667
335,968,644
336,1047,636
337,1076,646
338,1093,687
339,1081,701
340,1092,701
341,1133,706
342,1141,706
343,1142,706
344,1142,706
