"Factor","KPC-2","NDM-1","NDM-5","OXA-181","None","Total"
"None detected","1 (7.7)","2 (11.1)","10 (45.5)","–","10 (76.9)","23 (34.3)"
"*CTX-M-55*","–","2 (11.1)","8 (36.4)","1 (100.0)","2 (15.4)","13 (19.4)"
"*CTX-M-65*","5 (38.5)","–","1 (4.5)","–","1 (7.7)","7 (10.4)"
"*SHV-12*","–","7 (38.9)","–","–","–","7 (10.4)"
"*CTX-M-14*","1 (7.7)","1 (5.6)","2 (9.1)","–","–","4 (6.0)"
"*CTX-M-3*","3 (23.1)","1 (5.6)","–","–","–","4 (6.0)"
"*CTX-M-15*","1 (7.7)","2 (11.1)","–","–","–","3 (4.5)"
"*CTX-M-15*;*CTX-M-27*","–","1 (5.6)","–","–","–","1 (1.5)"
"*CTX-M-15*;*SHV-12*","–","1 (5.6)","–","–","–","1 (1.5)"
"*CTX-M-65*;*SHV-12*","1 (7.7)","–","–","–","–","1 (1.5)"
"*OXY-5-1*","1 (7.7)","–","–","–","–","1 (1.5)"
"*SFO-1.v1*","–","1 (5.6)","–","–","–","1 (1.5)"
"*SRT-1*","–","–","1 (4.5)","–","–","1 (1.5)"
