"Species_ST","KPC-2","NDM-1","NDM-5","OXA-181","None","Total"
"*C. freundii* ST116","–","1","–","–","–","1"
"*C. freundii* ST216","–","1","–","–","–","1"
"*C. werkmanii* — untypeable","–","1","–","–","–","1"
"*E. asburiae* ST27","–","1","–","–","–","1"
"*E. cloacae* ST454","–","–","–","–","1","1"
"*E. hormaechei* ST45","–","2","–","–","–","2"
"*E. hormaechei* ST171","–","4","–","–","–","4"
"*E. hormaechei* ST418","–","1","–","–","–","1"
"*E. hormaechei* ST536","–","–","–","–","1","1"
"*E. hormaechei* ST1452","–","–","–","–","1","1"
"*E. hormaechei* — untypeable","–","–","–","–","2","2"
"*E. kobei* ST777","–","–","–","–","1","1"
"*E. roggenkampii* ST232","–","–","–","–","1","1"
"*E. roggenkampii* ST1626","–","–","1","–","–","1"
"*E. roggenkampii* — untypeable","–","–","–","–","1","1"
"*E. coli / Shigella* ST10","–","–","2","–","–","2"
"*E. coli / Shigella* ST58","–","–","1","–","–","1"
"*E. coli / Shigella* ST131","–","2","–","–","1","3"
"*E. coli / Shigella* ST156","–","–","2","–","–","2"
"*E. coli / Shigella* ST218","–","–","1","–","–","1"
"*E. coli / Shigella* ST224","–","–","1","–","–","1"
"*E. coli / Shigella* ST361","–","–","1","–","–","1"
"*E. coli / Shigella* ST410","–","–","4","1","–","5"
"*E. coli / Shigella* ST448","–","–","1","–","–","1"
"*E. coli / Shigella* ST533","–","–","1","–","–","1"
"*E. coli / Shigella* ST654","–","–","1","–","–","1"
"*E. coli / Shigella* ST1193","1","–","–","–","–","1"
"*E. coli / Shigella* ST4214","–","–","1","–","–","1"
"*E. coli / Shigella* ST8346","–","–","1","–","–","1"
"*E. coli / Shigella* — untypeable","–","–","1","–","–","1"
"*K. aerogenes* ST4","–","–","–","–","1","1"
"*K. aerogenes* — untypeable","–","–","–","–","1","1"
"*K. michiganensis* ST83","1","–","–","–","–","1"
"*K. ornithinolytica* — untypeable","–","1","–","–","–","1"
"*K. pneumoniae* ST11","5","–","–","–","1","6"
"*K. pneumoniae* ST15","1","–","–","–","1","2"
"*K. pneumoniae* ST17","–","–","1","–","–","1"
"*K. pneumoniae* ST35","–","1","–","–","–","1"
"*K. pneumoniae* ST45","–","–","1","–","–","1"
"*K. pneumoniae* ST290","1","–","–","–","–","1"
"*K. pneumoniae* ST299","–","1","–","–","–","1"
"*K. pneumoniae* ST540","1","–","–","–","–","1"
"*K. pneumoniae* — untypeable","1","–","–","–","–","1"
"*K. quasipneumoniae subsp. quasipneumoniae* ST571","–","2","–","–","–","2"
"*M. morganii* — untypeable","2","–","–","–","–","2"
"*S. marcescens* — untypeable","–","–","1","–","–","1"
