"Factor","CRE","CSE","Statistic","P"
"**Surgery**","","","0.042","0.8382"
"Yes","37 (55.22)","41 (56.94)","",""
"No","30 (44.78)","31 (43.06)","",""
"**Invasive procedures**","","","",""
"Urinary catheterization","54 (80.60)","18 (25.00)","42.965","**<0.0001**"
"Endotracheal intubation","65 (97.01)","26 (36.11)","56.941","**<0.0001**"
"Puncture drainage","32 (47.76)","35 (48.61)","0.010","0.9202"
"Tracheotomy","34 (50.75)","39 (54.17)","0.163","0.6866"
"Hemodialysis","19 (28.36)","22 (30.56)","0.081","0.7765"
"Gastric tube","58 (86.57)","30 (41.67)","30.121","**<0.0001**"
"**Basic diseases**","","","",""
"Diabetes","61 (91.04)","16 (22.22)","66.528","**<0.0001**"
"Hypertension","38 (56.72)","39 (54.17)","0.091","0.7625"
"Coronary artery disease","30 (44.78)","29 (40.28)","0.287","0.5918"
"Cerebrovascular disease","55 (82.09)","10 (13.89)","64.842","**<0.0001**"
"Renal insufficiency","26 (38.81)","24 (33.33)","0.451","0.5017"
"Pulmonary disease","52 (77.61)","11 (15.28)","54.415","**<0.0001**"
"**Antibiotic usage**","","","3.626","0.0569"
"Multiple therapy","64 (95.52)","62 (86.11)","",""
"Monotherapy","3 (4.48)","10 (13.89)","",""
"**Laboratory parameters**","","","",""
"**Albumin**","","","19.228","**<0.0001**"
"≤35 g/L","54 (80.60)","32 (44.44)","",""
">35 g/L","13 (19.40)","40 (55.56)","",""
"**Prealbumin**","","","0.004","0.9493"
"≤280 mg/L","18 (26.87)","19 (26.39)","",""
">280 mg/L","49 (73.13)","53 (73.61)","",""
"**Hospital length of stay**","","","62.626","**<0.0001**"
">7 days","58 (86.57)","14 (19.44)","",""
"≤7 days","9 (13.43)","58 (80.56)","",""
