"strata","time","n.risk","n.event","n.censor","surv"
"expression_group=Low Expression",1,36,0,0,1
"expression_group=Low Expression",2,36,0,0,1
"expression_group=Low Expression",5,36,0,1,1
"expression_group=Low Expression",8,35,0,2,1
"expression_group=Low Expression",10,33,0,2,1
"expression_group=Low Expression",11,31,0,2,1
"expression_group=Low Expression",12,29,1,2,0.96551724137931
"expression_group=Low Expression",13,26,0,1,0.96551724137931
"expression_group=Low Expression",14,25,0,1,0.96551724137931
"expression_group=Low Expression",15,24,0,1,0.96551724137931
"expression_group=Low Expression",16,23,0,0,0.96551724137931
"expression_group=Low Expression",17,23,0,1,0.96551724137931
"expression_group=Low Expression",20,22,0,1,0.96551724137931
"expression_group=Low Expression",21,21,0,1,0.96551724137931
"expression_group=Low Expression",22,20,0,0,0.96551724137931
"expression_group=Low Expression",23,20,0,0,0.96551724137931
"expression_group=Low Expression",24,20,0,1,0.96551724137931
"expression_group=Low Expression",29,19,0,1,0.96551724137931
"expression_group=Low Expression",31,18,0,1,0.96551724137931
"expression_group=Low Expression",32,17,1,0,0.908722109533469
"expression_group=Low Expression",34,16,0,1,0.908722109533469
"expression_group=Low Expression",35,15,1,2,0.848140635564571
"expression_group=Low Expression",36,12,0,2,0.848140635564571
"expression_group=Low Expression",37,10,0,1,0.848140635564571
"expression_group=Low Expression",39,9,0,0,0.848140635564571
"expression_group=Low Expression",40,9,0,2,0.848140635564571
"expression_group=Low Expression",41,7,0,1,0.848140635564571
"expression_group=Low Expression",42,6,1,0,0.706783862970476
"expression_group=Low Expression",45,5,0,2,0.706783862970476
"expression_group=Low Expression",46,3,0,1,0.706783862970476
"expression_group=Low Expression",47,2,1,1,0.353391931485238
"expression_group=High Expression",1,16,0,1,1
"expression_group=High Expression",2,15,0,1,1
"expression_group=High Expression",5,14,0,1,1
"expression_group=High Expression",8,13,0,0,1
"expression_group=High Expression",10,13,0,0,1
"expression_group=High Expression",11,13,0,2,1
"expression_group=High Expression",12,11,0,0,1
"expression_group=High Expression",13,11,0,0,1
"expression_group=High Expression",14,11,0,0,1
"expression_group=High Expression",15,11,0,0,1
"expression_group=High Expression",16,11,0,1,1
"expression_group=High Expression",17,10,0,0,1
"expression_group=High Expression",20,10,0,0,1
"expression_group=High Expression",21,10,0,1,1
"expression_group=High Expression",22,9,0,1,1
"expression_group=High Expression",23,8,0,1,1
"expression_group=High Expression",24,7,0,1,1
"expression_group=High Expression",29,6,0,0,1
"expression_group=High Expression",31,6,0,0,1
"expression_group=High Expression",32,6,0,0,1
"expression_group=High Expression",34,6,0,0,1
"expression_group=High Expression",35,6,2,1,0.666666666666667
"expression_group=High Expression",36,3,0,1,0.666666666666667
"expression_group=High Expression",37,2,0,0,0.666666666666667
"expression_group=High Expression",39,2,1,0,0.333333333333333
"expression_group=High Expression",40,1,0,0,0.333333333333333
"expression_group=High Expression",41,1,0,0,0.333333333333333
"expression_group=High Expression",42,1,0,0,0.333333333333333
"expression_group=High Expression",45,1,1,0,0
